agg_sector,fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
1A1_Energy-transformation,biomass,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.44E-05,4.43E-05,4.43E-05,4.42E-05,4.41E-05,4.41E-05,4.41E-05,4.41E-05,4.41E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,4.40E-05,4.39E-05,4.40E-05,4.41E-05,4.41E-05,4.42E-05,4.43E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05,4.42E-05
1A1_Energy-transformation,brown_coal,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,3.36E-06,3.69E-06,3.51E-06,4.22E-06,4.14E-06,3.87E-06,3.62E-06,3.97E-06,3.88E-06,3.86E-06,3.85E-06,3.83E-06,3.82E-06,3.80E-06,3.54E-06,3.27E-06,3.01E-06,2.74E-06,2.48E-06,2.38E-06,2.29E-06,2.19E-06,2.09E-06,1.99E-06,2.26E-06,2.53E-06,2.80E-06,3.07E-06,3.34E-06,3.49E-06,3.64E-06,3.79E-06,3.94E-06,4.09E-06,4.16E-06,4.22E-06,4.29E-06,4.36E-06,4.43E-06,4.48E-06,4.53E-06,4.57E-06,4.62E-06,4.67E-06,4.72E-06,4.77E-06,4.82E-06,4.87E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06,4.92E-06
1A1_Energy-transformation,diesel_oil,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,3.91E-06,4.04E-06,4.16E-06,4.29E-06,4.42E-06,4.55E-06,4.34E-06,4.14E-06,3.93E-06,3.73E-06,3.52E-06,3.55E-06,3.57E-06,3.59E-06,3.61E-06,3.63E-06,3.59E-06,3.56E-06,3.53E-06,3.49E-06,3.46E-06,3.45E-06,3.45E-06,3.44E-06,3.43E-06,3.42E-06,3.40E-06,3.38E-06,3.36E-06,3.34E-06,3.32E-06,3.35E-06,3.37E-06,3.40E-06,3.42E-06,3.44E-06,3.46E-06,3.48E-06,3.50E-06,3.52E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06
1A1_Energy-transformation,hard_coal,0.003749974,0.003749971,0.00375,0.003750049,0.003722565,0.003581586,0.003422121,0.003333889,0.003282687,0.003051432,0.00286716,0.002606325,0.002224781,0.000814212,0.000550259,0.000363206,0.000227542,0.000167951,0.00013753,0.000107217,0.000102263,9.45E-05,0.000133652,0.000121045,0.000108439,9.58E-05,8.32E-05,7.06E-05,6.83E-05,6.60E-05,6.36E-05,6.13E-05,5.90E-05,5.95E-05,6.01E-05,6.07E-05,6.13E-05,6.19E-05,5.88E-05,5.57E-05,5.26E-05,4.95E-05,4.64E-05,4.47E-05,4.31E-05,4.14E-05,3.98E-05,3.81E-05,4.02E-05,4.23E-05,4.45E-05,4.66E-05,4.87E-05,5.38E-05,5.88E-05,6.39E-05,6.90E-05,7.40E-05,7.35E-05,7.30E-05,7.25E-05,7.20E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05,7.14E-05
1A1_Energy-transformation,heavy_oil,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,8.97E-05,9.03E-05,9.01E-05,9.00E-05,8.99E-05,9.00E-05,9.00E-05,9.01E-05,9.00E-05,9.01E-05,9.01E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05
1A2_Industry-combustion,biomass,0.00018527,0.00018403,0.000181457,0.000180614,0.000176482,0.000177945,0.0001877,0.000192162,0.000199751,0.000213191,0.000221388,0.00023936,0.000252366,0.00026355,0.000288145,0.000301509,0.000293552,0.000279615,0.000256449,0.000292672,0.000306721,0.000301872,0.000307161,0.000306671,0.00030618,0.000305689,0.000305198,0.000304707,0.000311539,0.00031837,0.000325201,0.000332033,0.000338864,0.000341908,0.000344953,0.000347998,0.000351042,0.000354087,0.000343173,0.00033226,0.000321346,0.000310432,0.000299519,0.000302621,0.000305724,0.000308827,0.00031193,0.000315033,0.000317526,0.000320019,0.000322513,0.000325006,0.000327499,0.000328543,0.000329587,0.00033063,0.000331674,0.000332718,0.000332875,0.000333032,0.000333189,0.000333346,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503,0.000333503
1A2_Industry-combustion,brown_coal,8.79E-05,8.79E-05,8.81E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.60E-05,8.15E-05,7.62E-05,7.24E-05,7.77E-05,7.08E-05,6.81E-05,6.59E-05,6.56E-05,6.53E-05,6.50E-05,6.47E-05,6.44E-05,6.42E-05,6.41E-05,6.39E-05,6.37E-05,6.35E-05,6.34E-05,6.33E-05,6.31E-05,6.30E-05,6.29E-05,6.12E-05,5.94E-05,5.77E-05,5.60E-05,5.43E-05,5.39E-05,5.36E-05,5.33E-05,5.30E-05,5.26E-05,5.23E-05,5.19E-05,5.16E-05,5.12E-05,5.08E-05,4.95E-05,4.82E-05,4.68E-05,4.55E-05,4.42E-05,4.29E-05,4.17E-05,4.05E-05,3.93E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05
1A2_Industry-combustion,coal_coke,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.16E-06,4.16E-06,4.17E-06,4.18E-06,4.19E-06,4.22E-06,4.25E-06,4.27E-06,4.30E-06,4.33E-06,4.30E-06,4.28E-06,4.26E-06,4.23E-06,4.21E-06,4.20E-06,4.20E-06,4.19E-06,4.19E-06,4.18E-06,4.19E-06,4.20E-06,4.21E-06,4.22E-06,4.24E-06,4.24E-06,4.24E-06,4.25E-06,4.25E-06,4.25E-06,4.23E-06,4.21E-06,4.19E-06,4.17E-06,4.14E-06,4.17E-06,4.20E-06,4.22E-06,4.25E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06,4.28E-06
1A2_Industry-combustion,diesel_oil,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.002153846,0.001930969,0.001930939,0.001930908,0.001930877,0.001930846,0.001930816,0.001935139,0.001939461,0.001943784,0.001948107,0.00195243,0.001954226,0.001956022,0.001957818,0.001959615,0.001961411,0.001973891,0.001986371,0.001998851,0.002011331,0.002023811,0.002028484,0.002033156,0.002037829,0.002042501,0.002047174,0.002048039,0.002048904,0.002049769,0.002050634,0.0020515,0.002054375,0.002057251,0.002060127,0.002063002,0.002065878,0.002068299,0.00207072,0.002073141,0.002075562,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983,0.002077983
1A2_Industry-combustion,hard_coal,0.000180275,0.000180185,0.000183991,0.000182603,0.000180198,0.000180183,0.000183614,0.000183849,0.000182433,0.000184423,0.000185939,0.000181636,0.000190843,0.000190908,0.00019612,0.000202835,0.000192154,0.000186334,0.000187585,0.000163549,0.000138277,0.000147127,0.000231468,0.00021744,0.000203411,0.000189382,0.000175354,0.000161325,0.000162733,0.00016414,0.000165548,0.000166955,0.000168363,0.000169042,0.000169722,0.000170401,0.000171081,0.00017176,0.000185694,0.000199629,0.000213563,0.000227497,0.000241432,0.000242458,0.000243484,0.00024451,0.000245536,0.000246562,0.000242427,0.000238292,0.000234157,0.000230022,0.000225887,0.00022744,0.000228994,0.000230547,0.0002321,0.000233654,0.000232938,0.000232223,0.000231507,0.000230792,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077,0.000230077
