Region,fuel,sector,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
Canada      ,biomass,1A2a_Ind-Comb-Iron-steel,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2b_Ind-Comb-Non-ferrous-metals,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2c_Ind-Comb-Chemicals,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2d_Ind-Comb-Pulp-paper,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2e_Ind-Comb-Food-tobacco,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2f_Ind-Comb-Non-metalic-minerals,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2g_Ind-Comb-Construction,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2g_Ind-Comb-machinery,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2g_Ind-Comb-mining-quarying,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
Canada      ,biomass,1A2g_Ind-Comb-other,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.75E-05,7.74E-05,7.74E-05,7.73E-05,7.75E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.73E-05,7.74E-05,7.75E-05,7.75E-05,7.73E-05,7.75E-05,7.75E-05,7.75E-05,7.75E-05,7.73E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05,7.74E-05
