Region,fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
Canada      ,biomass,0.000187954,0.000180192,0.000178378,0.000167604,0.000164235,0.000158919,0.000155926,0.000149019,0.000146069,0.000154524,0.000154382,0.0001575,0.000165796,0.000181148,0.000205097,0.000209976,0.000210048,0.000231188,0.000208781,0.000188455,0.000182951,0.000161752,0.000139442,0.000137549,0.000135656,0.000133763,0.00013187,0.000129977,0.000122233,0.000114489,0.000106745,9.90E-05,9.13E-05,9.09E-05,9.05E-05,9.01E-05,8.96E-05,8.92E-05,8.81E-05,8.69E-05,8.58E-05,8.46E-05,8.35E-05,8.30E-05,8.26E-05,8.22E-05,8.18E-05,8.13E-05,8.13E-05,8.12E-05,8.11E-05,8.11E-05,8.10E-05,8.09E-05,8.07E-05,8.06E-05,8.04E-05,8.02E-05,8.02E-05,8.01E-05,8.01E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05
Canada      ,brown_coal,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,7.50E-05,6.92E-05,6.57E-05,6.40E-05,6.31E-05,6.27E-05,6.25E-05,6.24E-05,6.22E-05,6.21E-05,6.19E-05,5.36E-05,4.54E-05,3.71E-05,2.88E-05,2.05E-05,2.00E-05,1.95E-05,1.90E-05,1.85E-05,1.80E-05,1.65E-05,1.50E-05,1.35E-05,1.20E-05,1.06E-05,9.38E-06,8.20E-06,7.02E-06,5.84E-06,4.66E-06,4.52E-06,4.37E-06,4.22E-06,4.08E-06,3.93E-06,3.74E-06,3.54E-06,3.35E-06,3.15E-06,2.96E-06,2.87E-06,2.79E-06,2.70E-06,2.62E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06
Canada      ,coal_coke,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.77E-06,4.87E-06,4.97E-06,5.07E-06,5.17E-06,5.27E-06,5.08E-06,4.89E-06,4.70E-06,4.50E-06,4.31E-06,4.27E-06,4.24E-06,4.20E-06,4.16E-06,4.12E-06,4.16E-06,4.21E-06,4.25E-06,4.30E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06,4.35E-06
Canada      ,diesel_oil,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002465209,0.002464413,0.002468193,0.002466077,0.001247475,0.001781748,0.00181828,0.000810282,0.000806449,0.000802615,0.000798782,0.000794949,0.000791115,0.000926818,0.00106252,0.001198223,0.001333926,0.001469628,0.00149566,0.001521691,0.001547722,0.001573754,0.001599785,0.001599042,0.001598299,0.001597555,0.001596812,0.001596069,0.001605083,0.001614098,0.001623112,0.001632127,0.001641141,0.001627856,0.00161457,0.001601285,0.001588,0.001574714,0.001569448,0.001564182,0.001558916,0.00155365,0.001548385,0.00154584,0.001543295,0.001540751,0.001538206,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662,0.001535662
Canada      ,hard_coal,0.000181818,0.000209677,0.000274024,0.000252087,0.000332118,0.000332886,0.000239058,0.000228209,0.00022375,0.000232532,0.000223341,0.000231775,0.00026617,0.000275942,0.000263595,0.00026021,0.000242233,0.000274704,0.000236927,0.000240294,0.000259642,0.000291211,0.000217785,0.000205471,0.000193157,0.000180844,0.00016853,0.000156216,0.000136771,0.000117326,9.79E-05,7.84E-05,5.90E-05,5.21E-05,4.51E-05,3.82E-05,3.13E-05,2.44E-05,2.68E-05,2.93E-05,3.18E-05,3.43E-05,3.68E-05,3.50E-05,3.33E-05,3.15E-05,2.98E-05,2.80E-05,2.65E-05,2.49E-05,2.34E-05,2.19E-05,2.04E-05,1.94E-05,1.84E-05,1.74E-05,1.64E-05,1.54E-05,1.46E-05,1.38E-05,1.31E-05,1.23E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05
Canada      ,heavy_oil,9.68E-05,9.68E-05,9.68E-05,9.68E-05,9.68E-05,9.68E-05,9.68E-05,9.68E-05,9.68E-05,8.87E-05,8.91E-05,0.000113208,0.000199038,0.000119532,0.000199169,0.000327654,0.00016136,0.000148055,0.000161049,0.000270288,0.00011421,0.000100117,9.70E-05,9.66E-05,9.63E-05,9.59E-05,9.56E-05,9.52E-05,9.56E-05,9.59E-05,9.62E-05,9.66E-05,9.69E-05,9.66E-05,9.63E-05,9.60E-05,9.57E-05,9.54E-05,9.50E-05,9.46E-05,9.42E-05,9.37E-05,9.33E-05,9.35E-05,9.38E-05,9.40E-05,9.43E-05,9.45E-05,9.43E-05,9.42E-05,9.40E-05,9.39E-05,9.37E-05,9.36E-05,9.35E-05,9.34E-05,9.33E-05,9.32E-05,9.35E-05,9.38E-05,9.41E-05,9.44E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05,9.47E-05
Canada      ,light_oil,0.000451128,0.000451128,0.000451128,0.000451128,0.000446735,0.000431373,0.00044226,0.000440678,0.000429293,0.000426471,0.000436817,0.00042838,0.000430464,0.000435435,0.000434476,0.000435587,0.000435441,0.000435044,0.000434694,0.000434876,0.000433506,0.000434574,0.000430708,0.000430011,0.000429313,0.000428616,0.000427918,0.000427221,0.000401678,0.000376134,0.000350591,0.000325048,0.000299505,0.00027159,0.000243676,0.000215761,0.000187847,0.000159932,0.00015616,0.000152387,0.000148615,0.000144842,0.000141069,0.000142261,0.000143453,0.000144645,0.000145837,0.000147029,0.000142215,0.000137401,0.000132586,0.000127772,0.000122958,0.000114297,0.000105636,9.70E-05,8.83E-05,7.97E-05,7.12E-05,6.28E-05,5.43E-05,4.59E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05
Central Amer,biomass,0.00075307,0.000742249,0.000729567,0.000730636,0.000713497,0.000688361,0.000667351,0.000646865,0.000628626,0.000611362,0.00059022,0.000563852,0.000549885,0.000563569,0.000553168,0.00053626,0.00053368,0.000534761,0.000538278,0.000537322,0.000543554,0.000552578,0.000555571,0.000555121,0.00055467,0.00055422,0.00055377,0.00055332,0.000545996,0.000538673,0.00053135,0.000524027,0.000516704,0.000516035,0.000515366,0.000514697,0.000514028,0.000513358,0.000519775,0.000526191,0.000532608,0.000539024,0.000545441,0.000545471,0.000545501,0.000545531,0.000545561,0.000545592,0.000541705,0.000537819,0.000533933,0.000530046,0.00052616,0.000530555,0.000534949,0.000539343,0.000543738,0.000548132,0.000551492,0.000554851,0.000558211,0.00056157,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929,0.000564929
Central Amer,coal_coke,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.75E-06,5.51E-06,5.26E-06,5.02E-06,4.78E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06,4.54E-06
Central Amer,diesel_oil,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984034,0.001984479,0.002065436,0.002103787,0.001984477,0.001081412,0.001278175,0.00150043,0.001527488,0.001554547,0.001581605,0.001608664,0.001635722,0.001675928,0.001716133,0.001756339,0.001796545,0.001836751,0.001765449,0.001694148,0.001622846,0.001551545,0.001480243,0.001621291,0.001762338,0.001903386,0.002044433,0.002185481,0.002194948,0.002204415,0.002213882,0.002223349,0.002232816,0.002214036,0.002195256,0.002176476,0.002157696,0.002138916,0.002139304,0.002139692,0.002140081,0.002140469,0.002140857,0.002116696,0.002092535,0.002068374,0.002044214,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053,0.002020053
