iso,fuel,sector,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
ago,biomass,1A4b_Residential,0.001278872,0.001279008,0.001279047,0.001278879,0.001278967,0.001279217,0.001278994,0.001279102,0.00127912,0.001279075,0.001279094,0.001279029,0.001279159,0.001278986,0.001279025,0.001279192,0.001279249,0.001279563,0.001279664,0.001279774,0.001280166,0.00128,0.001280389,0.001279603,0.001278817,0.001278031,0.001277244,0.001276458,0.001274779,0.001273101,0.001271422,0.001269743,0.001268065,0.001266513,0.001264962,0.001263411,0.001261859,0.001260308,0.0012587,0.001257091,0.001255483,0.001253875,0.001252267,0.001251676,0.001251085,0.001250494,0.001249903,0.001249313,0.001249516,0.00124972,0.001249924,0.001250128,0.001250332,0.001249879,0.001249427,0.001248975,0.001248522,0.00124807,0.001245259,0.001242448,0.001239638,0.001236827,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016,0.001234016
alb,biomass,1A4b_Residential,0.000480888,0.000480094,0.000481928,0.000480634,0.000481525,0.000481334,0.000481509,0.000480424,0.000480992,0.000480558,0.000481382,0.000480915,0.000480534,0.000481169,0.000481167,0.00048131,0.000481341,0.000480778,0.000480719,0.000481057,0.000481015,0.00048121,0.000480965,0.00048101,0.000481055,0.0004811,0.000481144,0.000481189,0.000481199,0.000481208,0.000481218,0.000481228,0.000481238,0.000481174,0.00048111,0.000481046,0.000480982,0.000480919,0.000480974,0.000481029,0.000481084,0.00048114,0.000481195,0.000481161,0.000481127,0.000481093,0.000481059,0.000481025,0.000481035,0.000481045,0.000481055,0.000481066,0.000481076,0.000481073,0.000481069,0.000481066,0.000481063,0.00048106,0.000481053,0.000481047,0.00048104,0.000481034,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028,0.000481028
arg,biomass,1A4b_Residential,0.001280101,0.001280932,0.001283208,0.001284869,0.001286878,0.001288334,0.001286878,0.001285964,0.00128507,0.001284972,0.001284754,0.001284441,0.001284775,0.001286962,0.001288035,0.001288219,0.001288509,0.001289365,0.00129047,0.001292561,0.001294056,0.001297662,0.001305646,0.001308449,0.001311252,0.001314055,0.001316857,0.00131966,0.001324009,0.001328358,0.001332707,0.001337056,0.001341405,0.001341967,0.001342529,0.001343092,0.001343654,0.001344217,0.001349021,0.001353825,0.001358629,0.001363433,0.001368237,0.001363741,0.001359245,0.001354749,0.001350253,0.001345757,0.00135334,0.001360924,0.001368507,0.00137609,0.001383673,0.001383741,0.001383809,0.001383877,0.001383945,0.001384012,0.001383716,0.001383419,0.001383122,0.001382826,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529,0.001382529
arm,biomass,1A4b_Residential,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.0004811,0.000481058,0.000481015,0.000480973,0.000480931,0.000480889,0.000480895,0.000480902,0.000480908,0.000480914,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921,0.000480921
aus,biomass,1A4b_Residential,0.001145934,0.001145557,0.001145758,0.001145918,0.001146017,0.001145825,0.001145791,0.00114585,0.001145794,0.001145948,0.001145895,0.001145762,0.001145951,0.001145958,0.001145877,0.001145842,0.00114586,0.001145946,0.001145897,0.001145831,0.001145929,0.001145893,0.001145911,0.001145903,0.001145895,0.001145887,0.001145879,0.001145871,0.00114587,0.001145869,0.001145868,0.001145867,0.001145866,0.001145867,0.001145869,0.00114587,0.001145871,0.001145873,0.001145893,0.001145914,0.001145935,0.001145955,0.001145976,0.001145954,0.001145932,0.00114591,0.001145889,0.001145867,0.001145882,0.001145896,0.001145911,0.001145925,0.00114594,0.001145936,0.001145933,0.001145929,0.001145926,0.001145922,0.001145901,0.00114588,0.001145859,0.001145838,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817,0.001145817
aut,biomass,1A4b_Residential,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228503,0.000228147,0.000228188,0.000228305,0.000228365,0.000228338,0.000228386,0.00022834,0.000228356,0.000228293,0.00022823,0.000228167,0.000228104,0.000228041,0.000228143,0.000228246,0.000228348,0.000228451,0.000228553,0.000228485,0.000228417,0.000228349,0.000228281,0.000228213,0.000228256,0.000228298,0.000228341,0.000228383,0.000228426,0.000228393,0.000228359,0.000228326,0.000228293,0.000228259,0.00022825,0.000228241,0.000228232,0.000228223,0.000228214,0.000228234,0.000228254,0.000228274,0.000228294,0.000228314,0.000228293,0.000228273,0.000228252,0.000228231,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211,0.000228211
aze,biomass,1A4b_Residential,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481009,0.000481037,0.000481065,0.000481094,0.000481122,0.000481151,0.000481136,0.000481121,0.000481106,0.000481091,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076,0.000481076
bdi,biomass,1A4b_Residential,0.001279245,0.001277778,0.001278846,0.001279762,0.001279778,0.00127907,0.001279126,0.001280182,0.00127957,0.001279919,0.001278311,0.001279492,0.001278351,0.001279675,0.001278462,0.001265077,0.001251276,0.001240418,0.001228571,0.001219112,0.001212598,0.001206235,0.001200437,0.001199522,0.001198608,0.001197693,0.001196778,0.001195863,0.00119525,0.001194637,0.001194025,0.001193412,0.001192799,0.001192419,0.001192039,0.001191659,0.001191279,0.001190899,0.001190952,0.001191004,0.001191057,0.00119111,0.001191162,0.001190887,0.001190611,0.001190335,0.00119006,0.001189784,0.001191986,0.001194187,0.001196388,0.00119859,0.001200791,0.001205067,0.001209343,0.001213619,0.001217894,0.00122217,0.001225226,0.001228282,0.001231339,0.001234395,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451,0.001237451
bel,biomass,1A4b_Residential,0.000228345,0.000228311,0.000228275,0.00022829,0.00022832,0.000228269,0.000228293,0.000228337,0.000228358,0.000228409,0.000228344,0.000228378,0.000228196,0.000228404,0.000228217,0.000228322,0.000228273,0.000228143,0.000228415,0.000228188,0.000228397,0.000228341,0.000228175,0.00022818,0.000228185,0.00022819,0.000228195,0.0002282,0.000228233,0.000228265,0.000228297,0.00022833,0.000228362,0.000228331,0.0002283,0.000228269,0.000228239,0.000228208,0.000228251,0.000228293,0.000228336,0.000228379,0.000228422,0.000228656,0.00022889,0.000229124,0.000229358,0.000229592,0.000229548,0.000229503,0.000229459,0.000229415,0.000229371,0.00022881,0.000228249,0.000227689,0.000227128,0.000226567,0.000226478,0.000226389,0.0002263,0.000226211,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122,0.000226122
ben,biomass,1A4b_Residential,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268097,0.001268232,0.001268368,0.001268503,0.001268639,0.001268775,0.001268877,0.001268979,0.001269081,0.001269183,0.001269285,0.001269566,0.001269847,0.001270128,0.00127041,0.001270691,0.001270644,0.001270597,0.00127055,0.001270504,0.001270457,0.00127061,0.001270762,0.001270915,0.001271068,0.001271221,0.001271232,0.001271242,0.001271253,0.001271264,0.001271274,0.001271308,0.001271341,0.001271374,0.001271407,0.00127144,0.00127146,0.00127148,0.0012715,0.001271519,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539,0.001271539
