Region,fuel,agg_sector,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
Canada      ,biomass,1A2_Industry-combustion,0.000309412,0.000309534,0.000309423,0.000309487,0.000309466,0.000309439,0.000309488,0.000309488,0.000309482,0.000309448,0.000309589,0.000309568,0.000309515,0.000309582,0.000309575,0.000309655,0.000309494,0.000309622,0.000309486,0.000309495,0.000309487,0.000309469,0.000309513,0.000309501,0.000309489,0.000309477,0.000309465,0.000309453,0.000309475,0.000309497,0.000309519,0.000309542,0.000309564,0.000309567,0.00030957,0.000309573,0.000309575,0.000309578,0.000309573,0.000309568,0.000309563,0.000309558,0.000309552,0.000309555,0.000309558,0.00030956,0.000309563,0.000309566,0.00030956,0.000309554,0.000309548,0.000309542,0.000309536,0.000309538,0.00030954,0.000309542,0.000309544,0.000309546,0.000309547,0.000309547,0.000309548,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549,0.000309549
Canada      ,biomass,1A4_Stationary_RCO,0.005926478,0.005926475,0.00592652,0.005926499,0.00592652,0.005926499,0.005926497,0.005926513,0.005926492,0.005926482,0.005926519,0.005926509,0.005926506,0.005926499,0.005926485,0.005926489,0.005926513,0.005926516,0.005926505,0.005926504,0.005926497,0.005926504,0.005926484,0.005926481,0.005926478,0.005926475,0.005926472,0.005926468,0.005926471,0.005926473,0.005926475,0.005926478,0.00592648,0.005926485,0.00592649,0.005926495,0.0059265,0.005926505,0.005926524,0.005926543,0.005926563,0.005926582,0.005926601,0.005926551,0.005926502,0.005926452,0.005926402,0.005926353,0.005926403,0.005926454,0.005926504,0.005926555,0.005926606,0.005926577,0.005926549,0.005926521,0.005926492,0.005926464,0.005926508,0.005926551,0.005926594,0.005926638,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681,0.005926681
Canada      ,brown_coal,1A1_Energy-transformation,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.46E-06,7.43E-06,7.40E-06,7.36E-06,7.33E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.29E-06,7.29E-06,7.29E-06,7.31E-06,7.32E-06,7.34E-06,7.36E-06,7.38E-06,7.37E-06,7.37E-06,7.37E-06,7.36E-06,7.36E-06,7.36E-06,7.36E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06,7.37E-06
Canada      ,brown_coal,1A2_Industry-combustion,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000861498,0.000807476,0.000778332,0.000765112,0.000757801,0.000756384,0.000754967,0.000753551,0.000752134,0.000750717,0.000746594,0.000742472,0.000738349,0.000734226,0.000730104,0.000723438,0.000716772,0.000710106,0.00070344,0.000696774,0.000687784,0.000678793,0.000669803,0.000660812,0.000651822,0.000635575,0.000619328,0.000603082,0.000586835,0.000570588,0.000546529,0.00052247,0.000498411,0.000474352,0.000450292,0.000426459,0.000402626,0.000378792,0.000354959,0.000331126,0.000307584,0.000284041,0.000260499,0.000236957,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415,0.000213415
Canada      ,brown_coal,1A4_Stationary_RCO,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735849,0.002735702,0.002735554,0.002735407,0.002735259,0.002735112,0.002734965,0.002734817,0.00273467,0.002734522,0.002734375,0.002734722,0.002735069,0.002735417,0.002735764,0.002736111,0.002744444,0.002752778,0.002761111,0.002769444,0.002777778,0.002768889,0.00276,0.002751111,0.002742222,0.002733333,0.002734035,0.002734737,0.002735439,0.00273614,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842,0.002736842
Canada      ,coal_coke,1A2_Industry-combustion,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.58E-06,7.53E-06,7.48E-06,7.43E-06,7.38E-06,7.48E-06,7.59E-06,7.70E-06,7.80E-06,7.91E-06,7.86E-06,7.80E-06,7.75E-06,7.70E-06,7.65E-06,7.66E-06,7.68E-06,7.69E-06,7.71E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06
Canada      ,diesel_oil,1A2_Industry-combustion,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614381,0.000614343,0.000614305,0.000614267,0.000614229,0.000614191,0.000614207,0.000614223,0.000614239,0.000614255,0.000614272,0.000614349,0.000614427,0.000614504,0.000614582,0.000614659,0.000614558,0.000614457,0.000614356,0.000614255,0.000614154,0.000614099,0.000614044,0.000613988,0.000613933,0.000613878,0.000614046,0.000614214,0.000614382,0.00061455,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719,0.000614719
Canada      ,diesel_oil,1A3_International-shipping,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000326316,0.000323887,0.000324324,0.000324468,0.000324611,0.000324755,0.000324898,0.000325041,0.000325122,0.000325202,0.000325283,0.000325363,0.000325444,0.000325334,0.000325224,0.000325114,0.000325004,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895,0.000324895
Canada      ,diesel_oil,1A3_Transportation,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.00080597,0.000801068,0.000801527,0.00079646,0.000343966,0.000758261,0.000734087,0.000238424,0.000237548,0.000236672,0.000235796,0.000234921,0.000234045,0.000263541,0.000293037,0.000322533,0.000352029,0.000381525,0.000393109,0.000404694,0.000416279,0.000427863,0.000439448,0.000446138,0.000452829,0.000459519,0.00046621,0.0004729,0.000482215,0.000491529,0.000500844,0.000510159,0.000519473,0.000510761,0.000502049,0.000493336,0.000484624,0.000475912,0.000455251,0.000434591,0.000413931,0.00039327,0.00037261,0.000349941,0.000327272,0.000304604,0.000281935,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266,0.000259266
Canada      ,diesel_oil,1A4_Stationary_RCO,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,0.00077381,8.00E-04,0.000788804,0.00079646,0.00080163,0.000792768,0.000793792,0.00079537,0.000794945,0.00079452,0.000794096,0.000793671,0.000793246,0.000659746,0.000526246,0.000392746,0.000259246,0.000125746,0.00013049,0.000135235,0.000139979,0.000144724,0.000149468,0.00015212,0.000154773,0.000157425,0.000160077,0.00016273,0.000171128,0.000179527,0.000187925,0.000196323,0.000204722,0.000211265,0.000217809,0.000224352,0.000230896,0.000237439,0.000246762,0.000256084,0.000265406,0.000274728,0.00028405,0.000283225,0.0002824,0.000281575,0.00028075,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925,0.000279925
Canada      ,hard_coal,1A1_Energy-transformation,0.006234414,0.006234414,0.006234414,0.006234414,0.006234414,0.006234414,0.006234414,0.006234414,0.006234414,0.00625,0.00625211,0.006231742,0.005557985,0.000566867,0.000472939,0.001231071,0.000311412,0.000167649,0.00017708,0.000191995,0.000276926,0.000203859,0.000215368,0.00020129,0.000187213,0.000173135,0.000159058,0.000144981,0.000135438,0.000125895,0.000116352,0.000106809,9.73E-05,9.27E-05,8.82E-05,8.36E-05,7.91E-05,7.46E-05,6.85E-05,6.24E-05,5.64E-05,5.03E-05,4.43E-05,4.02E-05,3.61E-05,3.20E-05,2.79E-05,2.38E-05,2.26E-05,2.14E-05,2.02E-05,1.89E-05,1.77E-05,1.70E-05,1.64E-05,1.57E-05,1.50E-05,1.43E-05,1.38E-05,1.33E-05,1.27E-05,1.22E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05,1.17E-05
Canada      ,hard_coal,1A2_Industry-combustion,4.55E-05,4.26E-05,4.04E-05,3.72E-05,3.77E-05,3.69E-05,3.63E-05,3.62E-05,3.60E-05,3.60E-05,3.60E-05,3.61E-05,3.60E-05,3.61E-05,3.61E-05,3.60E-05,3.57E-05,3.53E-05,3.51E-05,3.49E-05,2.93E-05,2.41E-05,2.18E-05,2.14E-05,2.10E-05,2.06E-05,2.02E-05,1.98E-05,1.84E-05,1.71E-05,1.57E-05,1.44E-05,1.30E-05,1.21E-05,1.11E-05,1.01E-05,9.17E-06,8.21E-06,1.07E-05,1.32E-05,1.57E-05,1.83E-05,2.08E-05,2.06E-05,2.04E-05,2.02E-05,2.00E-05,1.98E-05,1.97E-05,1.97E-05,1.96E-05,1.95E-05,1.95E-05,1.88E-05,1.81E-05,1.73E-05,1.66E-05,1.59E-05,1.58E-05,1.58E-05,1.57E-05,1.56E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05,1.55E-05
Canada      ,hard_coal,1A3_International-shipping,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197166,0.000197884,0.000197521,0.000198102,0.000197778,0.000198992,0.000197926,0.000197497,0.000198847,0.000197701,0.000197436,0.000199275,0.000199037,0.000198798,0.00019856,0.000198322,0.000198083,0.00019794,0.000197797,0.000197654,0.000197511,0.000197368,0.000193189,0.000189009,0.00018483,0.00018065,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471,0.000176471
Canada      ,hard_coal,1A3_Transportation,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000198494,0.000197825,0.000198093,0.000198068,0.000198091,0.000198104,0.000197911,0.000197888,0.00019808,0.000198058,0.000198005,0.000196635,0.000197232,0.000197829,0.000198426,0.000199023,0.00019962,0.000200429,0.000201238,0.000202048,0.000202857,0.000203666,0.000203558,0.00020345,0.000203341,0.000203233,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125,0.000203125
Canada      ,hard_coal,1A4_Stationary_RCO,0.004111111,0.004111111,0.004133333,0.004134021,0.00413587,0.004136054,0.004135198,0.004135739,0.00413557,0.004136463,0.004135701,0.004135812,0.004135843,0.00413617,0.004136054,0.004135983,0.004136081,0.004135984,0.004135966,0.004135942,0.004135959,0.00413597,0.004136005,0.004136007,0.004136009,0.00413601,0.004136012,0.004136013,0.00412577,0.004115526,0.004105283,0.004095039,0.004084795,0.004047653,0.00401051,0.003973368,0.003936225,0.003899083,0.003945933,0.003992783,0.004039633,0.004086483,0.004133333,0.004134481,0.004135629,0.004136777,0.004137925,0.004139073,0.00413983,0.004140587,0.004141343,0.0041421,0.004142857,0.004141446,0.004140035,0.004138624,0.004137213,0.004135802,0.004133642,0.004131481,0.004129321,0.00412716,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125,0.004125
Canada      ,heavy_oil,1A1_Energy-transformation,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.44E-05,3.39E-05,3.47E-05,3.55E-05,3.28E-05,3.33E-05,3.37E-05,3.32E-05,3.40E-05,3.31E-05,3.33E-05,3.35E-05,3.36E-05,3.38E-05,3.40E-05,3.39E-05,3.38E-05,3.38E-05,3.37E-05,3.37E-05,3.37E-05,3.36E-05,3.36E-05,3.36E-05,3.35E-05,3.36E-05,3.37E-05,3.38E-05,3.39E-05,3.39E-05,3.38E-05,3.36E-05,3.35E-05,3.33E-05,3.32E-05,3.33E-05,3.35E-05,3.36E-05,3.37E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.39E-05,3.38E-05,3.37E-05,3.36E-05,3.35E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05
Canada      ,heavy_oil,1A2_Industry-combustion,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,4.43E-05,4.45E-05,3.02E-05,3.52E-05,3.38E-05,3.47E-05,3.59E-05,3.33E-05,3.38E-05,3.37E-05,3.42E-05,3.36E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.38E-05,3.37E-05,3.38E-05,3.38E-05,3.39E-05,3.39E-05,3.40E-05,3.39E-05,3.39E-05,3.39E-05,3.38E-05,3.38E-05,3.39E-05,3.40E-05,3.42E-05,3.43E-05,3.44E-05,3.43E-05,3.43E-05,3.42E-05,3.42E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05,3.41E-05
Canada      ,heavy_oil,1A3_International-shipping,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001192453,0.001195499,0.001195138,0.001194444,0.001192857,0.001190296,0.001195952,0.001191126,0.001191681,0.001192045,0.001192374,0.001191812,0.001191878,0.001191943,0.001192009,0.001192074,0.00119214,0.001192126,0.001192112,0.001192098,0.001192083,0.001192069,0.001192038,0.001192006,0.001191975,0.001191943,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912,0.001191912
Canada      ,heavy_oil,1A3_Transportation,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000556414,0.000561497,0.000560325,0.00060855,0.000604956,0.000603338,0.000633484,0.000619918,0.000776434,0.000981147,0.001151758,0.00115971,0.001167661,0.001175613,0.001183564,0.001191516,0.00115552,0.001119524,0.001083527,0.001047531,0.001011535,0.001011693,0.001011851,0.001012008,0.001012166,0.001012324,0.001048261,0.001084197,0.001120134,0.001156071,0.001192008,0.001192017,0.001192026,0.001192035,0.001192044,0.001192053,0.001192023,0.001191993,0.001191964,0.001191934,0.001191904,0.00119212,0.001192335,0.001192551,0.001192767,0.001192982,0.001192907,0.001192831,0.001192755,0.00119268,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604,0.001192604
Canada      ,heavy_oil,1A4_Stationary_RCO,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.40E-05,5.39E-05,5.38E-05,5.37E-05,5.37E-05,5.38E-05,5.40E-05,5.41E-05,5.43E-05,5.44E-05,5.46E-05,5.48E-05,5.50E-05,5.52E-05,5.54E-05,5.59E-05,5.64E-05,5.69E-05,5.74E-05,5.79E-05,5.67E-05,5.56E-05,5.45E-05,5.33E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05,5.22E-05
