Region,fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
Canada      ,biomass,0.002132238,0.002005487,0.001975917,0.001797938,0.001740734,0.00165476,0.001605428,0.001492043,0.001441632,0.001581744,0.001579,0.001630449,0.001768094,0.002022535,0.002416267,0.002495821,0.002496603,0.002847528,0.002475664,0.002140526,0.002049956,0.001700329,0.001333918,0.001302493,0.001271067,0.001239642,0.001208217,0.001176791,0.001049042,0.000921292,0.000793543,0.000665793,0.000538044,0.000531572,0.000525101,0.00051863,0.000512158,0.000505687,0.00048653,0.000467373,0.000448216,0.000429059,0.000409903,0.000402875,0.000395848,0.000388821,0.000381793,0.000374766,0.000373678,0.00037259,0.000371502,0.000370414,0.000369327,0.000366862,0.000364398,0.000361933,0.000359469,0.000357004,0.000356036,0.000355067,0.000354099,0.000353131,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162,0.000352162
Canada      ,brown_coal,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000944788,0.000861498,0.000807476,0.000778332,0.000765112,0.000757801,0.000756384,0.000754967,0.000753551,0.000752134,0.000750717,0.000652024,0.00055333,0.000454637,0.000355944,0.00025725,0.000248467,0.000239683,0.000230899,0.000222116,0.000213332,0.000194906,0.000176479,0.000158053,0.000139626,0.0001212,0.000107813,9.44E-05,8.10E-05,6.77E-05,5.43E-05,5.17E-05,4.92E-05,4.67E-05,4.41E-05,4.16E-05,3.90E-05,3.64E-05,3.38E-05,3.12E-05,2.86E-05,2.75E-05,2.64E-05,2.52E-05,2.41E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05,2.30E-05
Canada      ,coal_coke,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.63E-06,7.58E-06,7.53E-06,7.48E-06,7.43E-06,7.38E-06,7.48E-06,7.59E-06,7.70E-06,7.80E-06,7.91E-06,7.86E-06,7.80E-06,7.75E-06,7.70E-06,7.65E-06,7.66E-06,7.68E-06,7.69E-06,7.71E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06,7.73E-06
Canada      ,diesel_oil,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000795229,0.000800712,0.000797286,0.00079646,0.000400673,0.000634154,0.000638943,0.000275429,0.000274618,0.000273807,0.000272996,0.000272185,0.000271374,0.000313598,0.000355822,0.000398046,0.00044027,0.000482495,0.000489894,0.000497293,0.000504693,0.000512092,0.000519491,0.000519957,0.000520423,0.000520888,0.000521354,0.00052182,0.000525674,0.000529528,0.000533382,0.000537236,0.00054109,0.000537668,0.000534245,0.000530822,0.000527399,0.000523977,0.000521349,0.00051872,0.000516092,0.000513464,0.000510836,0.000508579,0.000506321,0.000504063,0.000501805,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548,0.000499548
Canada      ,hard_coal,4.55E-05,0.000101613,0.000178679,0.000147746,0.000266788,0.000267765,0.000125139,0.000108638,0.000102295,0.00011602,0.000102839,0.000114472,0.000137839,0.000167483,0.000137303,0.000135085,0.000136583,0.000205016,0.000167127,0.000169593,0.000209272,0.000290141,0.000249027,0.000235298,0.00022157,0.000207841,0.000194113,0.000180384,0.000159458,0.000138533,0.000117607,9.67E-05,7.58E-05,6.94E-05,6.30E-05,5.66E-05,5.03E-05,4.39E-05,4.35E-05,4.31E-05,4.26E-05,4.22E-05,4.18E-05,3.89E-05,3.60E-05,3.31E-05,3.03E-05,2.74E-05,2.61E-05,2.48E-05,2.35E-05,2.22E-05,2.09E-05,2.02E-05,1.94E-05,1.86E-05,1.78E-05,1.70E-05,1.63E-05,1.56E-05,1.50E-05,1.43E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05,1.36E-05
Canada      ,heavy_oil,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,3.23E-05,4.43E-05,4.45E-05,0.000113208,0.000144798,9.30E-05,0.00012035,0.000181892,7.60E-05,6.84E-05,8.64E-05,0.000174077,6.93E-05,5.91E-05,5.75E-05,5.66E-05,5.57E-05,5.48E-05,5.39E-05,5.30E-05,5.19E-05,5.07E-05,4.96E-05,4.85E-05,4.74E-05,4.70E-05,4.67E-05,4.64E-05,4.61E-05,4.58E-05,4.53E-05,4.47E-05,4.42E-05,4.37E-05,4.32E-05,4.40E-05,4.49E-05,4.57E-05,4.66E-05,4.74E-05,4.69E-05,4.63E-05,4.58E-05,4.53E-05,4.48E-05,4.49E-05,4.50E-05,4.51E-05,4.52E-05,4.53E-05,4.61E-05,4.70E-05,4.78E-05,4.86E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05,4.94E-05
Canada      ,light_oil,0.000526316,0.000526316,0.000526316,0.000526316,0.0004811,0.000509804,0.0004914,0.000508475,0.000479798,0.000485294,0.000483619,0.000481928,0.000485651,0.000487988,0.000486144,0.000485409,0.000484923,0.000485049,0.000484838,0.000484858,0.000458902,0.000477746,0.000471941,0.000470723,0.000469505,0.000468287,0.000467069,0.000465851,0.000436797,0.000407744,0.00037869,0.000349637,0.000320583,0.000306161,0.000291739,0.000277317,0.000262895,0.000248472,0.000258068,0.000267663,0.000277258,0.000286853,0.000296449,0.000299515,0.000302582,0.000305649,0.000308716,0.000311783,0.000301944,0.000292105,0.000282267,0.000272428,0.000262589,0.000240615,0.000218641,0.000196666,0.000174692,0.000152718,0.000130035,0.000107352,8.47E-05,6.20E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05,3.93E-05
Central Amer,biomass,0.003481597,0.003452337,0.003419493,0.003422364,0.003375671,0.00330714,0.003250457,0.00319664,0.003146828,0.003100939,0.003043531,0.002973237,0.002934841,0.002969707,0.002939704,0.002893201,0.002884302,0.00288463,0.002891057,0.002888473,0.002902314,0.002925445,0.002937538,0.002937347,0.002937156,0.002936965,0.002936773,0.002936582,0.002917934,0.002899285,0.002880636,0.002861988,0.002843339,0.002841575,0.00283981,0.002838046,0.002836282,0.002834517,0.002851083,0.002867648,0.002884213,0.002900779,0.002917344,0.0029175,0.002917656,0.002917812,0.002917968,0.002918124,0.002908201,0.002898277,0.002888353,0.00287843,0.002868506,0.002879578,0.00289065,0.002901722,0.002912794,0.002923866,0.002932376,0.002940886,0.002949396,0.002957906,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416,0.002966416
Central Amer,coal_coke,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.53E-06,8.44E-06,8.35E-06,8.26E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06,8.17E-06
Central Amer,diesel_oil,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.00061282,0.000614191,0.00064432,0.00066094,0.000613593,0.000450221,0.000495323,0.000564107,0.000574513,0.000584919,0.000595326,0.000605732,0.000616138,0.00063112,0.000646103,0.000661085,0.000676067,0.00069105,0.000653541,0.000616033,0.000578525,0.000541017,0.000503509,0.000539501,0.000575494,0.000611486,0.000647478,0.00068347,0.000688771,0.000694071,0.000699371,0.000704671,0.000709972,0.000709227,0.000708482,0.000707737,0.000706992,0.000706247,0.000709311,0.000712374,0.000715437,0.000718501,0.000721564,0.000714707,0.00070785,0.000700992,0.000694135,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277,0.000687277
