iso,fuel,sector,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
ago,biomass,1A4b_Residential,0.004775945,0.004775844,0.004776068,0.004775862,0.004776015,0.004776058,0.004776156,0.004775978,0.004775951,0.004776003,0.004776132,0.004776077,0.004775995,0.004776043,0.004776008,0.004775948,0.004766264,0.004761107,0.004758331,0.004757001,0.004752149,0.004746763,0.004740195,0.004733732,0.00472727,0.004720808,0.004714346,0.004707883,0.004695311,0.004682739,0.004670167,0.004657595,0.004645023,0.004631766,0.004618509,0.004605252,0.004591995,0.004578738,0.004562851,0.004546963,0.004531075,0.004515188,0.0044993,0.004481983,0.004464667,0.00444735,0.004430034,0.004412717,0.004390275,0.004367832,0.004345389,0.004322947,0.004300504,0.004286383,0.004272262,0.004258141,0.00424402,0.004229899,0.004280044,0.004330188,0.004380332,0.004430476,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062,0.00448062
alb,biomass,1A4b_Residential,0.005378134,0.00537861,0.005379055,0.005378521,0.005378699,0.005378872,0.005378113,0.00537932,0.005378117,0.00537915,0.005378491,0.005378779,0.00537931,0.005379281,0.005378725,0.005378818,0.005378544,0.005378294,0.005378642,0.005378863,0.005378548,0.005378876,0.005378651,0.005378704,0.005378758,0.005378811,0.005378865,0.005378918,0.005378867,0.005378817,0.005378766,0.005378715,0.005378665,0.005378686,0.005378707,0.005378728,0.005378748,0.005378769,0.005378774,0.005378778,0.005378782,0.005378787,0.005378791,0.005378803,0.005378815,0.005378827,0.005378839,0.005378851,0.005378823,0.005378796,0.005378769,0.005378742,0.005378714,0.00537868,0.005378646,0.005378612,0.005378577,0.005378543,0.005378616,0.00537869,0.005378763,0.005378837,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891,0.00537891
arg,biomass,1A4b_Residential,0.004775032,0.004704512,0.004659148,0.004590025,0.004548416,0.004503909,0.004577493,0.004604543,0.004608593,0.00460965,0.004616201,0.004628913,0.00461827,0.004559756,0.004528331,0.004524477,0.004515158,0.00449087,0.004458821,0.004410142,0.004366386,0.004264032,0.004051323,0.003974294,0.003897266,0.003820237,0.003743208,0.003666179,0.003546243,0.003426307,0.003306371,0.003186434,0.003066498,0.003052295,0.003038093,0.00302389,0.003009687,0.002995485,0.002862606,0.002729727,0.002596848,0.002463969,0.00233109,0.002457912,0.002584735,0.002711558,0.002838381,0.002965204,0.002754742,0.002544279,0.002333817,0.002123354,0.001912892,0.001910246,0.0019076,0.001904954,0.001902308,0.001899662,0.001908106,0.00191655,0.001924994,0.001933439,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883,0.001941883
arm,biomass,1A4b_Residential,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378961,0.005378943,0.005378924,0.005378905,0.005378886,0.005378868,0.005378822,0.005378776,0.00537873,0.005378685,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639,0.005378639
aus,biomass,1A4b_Residential,0.003798403,0.003799,0.003798646,0.00379898,0.003798903,0.003798725,0.003798792,0.003799024,0.003798891,0.003798869,0.003798814,0.003798941,0.0037989,0.003798845,0.003798925,0.003798899,0.003798816,0.003798931,0.003798978,0.003798843,0.003798942,0.003798916,0.003798883,0.003798897,0.003798911,0.003798926,0.00379894,0.003798955,0.003798959,0.003798963,0.003798968,0.003798972,0.003798976,0.003798978,0.00379898,0.003798981,0.003798983,0.003798984,0.003798974,0.003798963,0.003798952,0.003798942,0.003798931,0.003798913,0.003798894,0.003798875,0.003798856,0.003798838,0.003798864,0.003798891,0.003798918,0.003798945,0.003798972,0.003798951,0.003798929,0.003798907,0.003798886,0.003798864,0.003798878,0.003798891,0.003798905,0.003798918,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931,0.003798931
aut,biomass,1A4b_Residential,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002384968,0.002385052,0.002385143,0.002385062,0.002385147,0.002385061,0.002384716,0.002384718,0.002384991,0.002385001,0.002385011,0.002385021,0.002385031,0.002385041,0.002385079,0.002385117,0.002385155,0.002385193,0.002385231,0.002385195,0.00238516,0.002385125,0.00238509,0.002385054,0.002385006,0.002384957,0.002384909,0.00238486,0.002384811,0.002384864,0.002384917,0.00238497,0.002385023,0.002385076,0.002385037,0.002384997,0.002384957,0.002384917,0.002384878,0.002384877,0.002384876,0.002384874,0.002384873,0.002384872,0.002384856,0.00238484,0.002384824,0.002384807,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791,0.002384791
aze,biomass,1A4b_Residential,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.005378824,0.0053788,0.005378775,0.00537875,0.005378726,0.005378701,0.005378715,0.005378728,0.005378742,0.005378756,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769,0.005378769
bdi,biomass,1A4b_Residential,0.004777358,0.004774306,0.004775641,0.004776786,0.004775623,0.004775194,0.004776699,0.004776765,0.004776344,0.004776876,0.004775432,0.00477677,0.004776632,0.00477561,0.004775385,0.004691445,0.004608418,0.004535424,0.004468783,0.004413127,0.004345582,0.004303757,0.004267493,0.004262346,0.004257199,0.004252052,0.004246905,0.004241758,0.004236844,0.004231931,0.004227017,0.004222103,0.004217189,0.004212153,0.004207117,0.004202081,0.004197045,0.004192009,0.004190207,0.004188404,0.004186602,0.004184799,0.004182997,0.004180534,0.004178071,0.004175607,0.004173144,0.004170681,0.004185012,0.004199342,0.004213673,0.004228004,0.004242334,0.0042701,0.004297867,0.004325633,0.004353399,0.004381165,0.004401444,0.004421724,0.004442003,0.004462283,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562,0.004482562
bel,biomass,1A4b_Residential,0.002385007,0.002385114,0.002384972,0.002384995,0.002385,0.002384922,0.00238501,0.002384975,0.002384935,0.002385014,0.00238517,0.002385009,0.002385199,0.00238484,0.00238519,0.00238507,0.002384975,0.00238479,0.002385077,0.002384991,0.002385023,0.002384954,0.002384825,0.002384844,0.002384864,0.002384884,0.002384904,0.002384924,0.002384962,0.002385,0.002385038,0.002385076,0.002385114,0.002385075,0.002385035,0.002384996,0.002384956,0.002384917,0.002384683,0.00238445,0.002384216,0.002383983,0.002383749,0.002383808,0.002383867,0.002383926,0.002383985,0.002384045,0.002383879,0.002383713,0.002383548,0.002383382,0.002383217,0.002383296,0.002383375,0.002383454,0.002383533,0.002383613,0.002384109,0.002384606,0.002385102,0.002385599,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095,0.002386095
ben,biomass,1A4b_Residential,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.004708668,0.0047048,0.004700932,0.004697064,0.004693196,0.004689328,0.004688489,0.00468765,0.004686811,0.004685972,0.004685133,0.004683888,0.004682642,0.004681396,0.00468015,0.004678905,0.004679202,0.004679499,0.004679796,0.004680093,0.00468039,0.004682708,0.004685026,0.004687344,0.004689661,0.004691979,0.004693225,0.004694471,0.004695716,0.004696962,0.004698208,0.004699667,0.004701125,0.004702584,0.004704043,0.004705502,0.004710225,0.004714948,0.004719671,0.004724395,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118,0.004729118
