Sector,Fuel,Country,2006,2013
adhoc-oil-refining,adhoc-oil-refining,Algeria,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Egypt,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Libya,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Morocco,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Sudan,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Tunisia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Angola,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Central African Republic,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Congo,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Democratic Republic of Congo,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Equatorial Guinea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Gabon,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Burundi,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Comoros,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Djibouti,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Eritrea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Ethiopia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Kenya,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Madagascar,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Malawi,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mozambique,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Rwanda,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Somalia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,South Sudan,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Tanzania,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Uganda,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Zambia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Botswana,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Lesotho,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Namibia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,South Africa,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Swaziland,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Zimbabwe,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Benin,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Burkina Faso,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cameroon,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cape Verde,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Chad,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Cote dIvoire,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Gambia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Ghana,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Guinea,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Guinea-Bissau,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Liberia,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mali,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Mauritania,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Niger,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Nigeria,0.000682153,NaN
adhoc-oil-refining,adhoc-oil-refining,Sao Tome and Principe,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Senegal,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Sierra Leone,NaN,NaN
adhoc-oil-refining,adhoc-oil-refining,Togo,NaN,NaN
cars,gas_diesel,Algeria,5.864019928,9.258522186
cars,gas_diesel,Egypt,8.192166138,8.183055115
cars,gas_diesel,Libya,3.60111927,4.75745842
cars,gas_diesel,Morocco,2.577558594,3.044064064
cars,gas_diesel,Sudan,1.393424015,1.883226547
cars,gas_diesel,Tunisia,1.346235218,1.421341743
cars,gas_diesel,Angola,0.915666084,1.835404358
cars,gas_diesel,Central African Republic,0.032025685,0.038924681
cars,gas_diesel,Congo,0.144417408,0.262773404
cars,gas_diesel,Democratic Republic of Congo,0.230230219,0.425070543
