Sector,Fuel,BC
BRIC,coal,114290.484
BRIC,fueloil,NaN
BRIC,diesel,NaN
BRIC,gasoline,NaN
BRIC,kerosene,NaN
BRIC,naptha,NaN
BRIC,gas,NaN
BRIC,biomass,NaN
BRIC,process,NaN
DSDL,coal,NaN
DSDL,fueloil,NaN
DSDL,diesel,94544.976
DSDL,gasoline,NaN
DSDL,kerosene,NaN
DSDL,naptha,NaN
DSDL,gas,NaN
DSDL,biomass,NaN
DSDL,process,NaN
ICOL,coal,71340.1681668283
ICOL,fueloil,575.46352669586
ICOL,diesel,26711.7200809
ICOL,gasoline,NaN
ICOL,kerosene,166.570316674624
ICOL,naptha,215.006064864969
ICOL,gas,148.578621665464
ICOL,biomass,NaN
ICOL,process,1915.92522237076
OBRN,coal,NaN
OBRN,fueloil,NaN
OBRN,diesel,NaN
OBRN,gasoline,NaN
OBRN,kerosene,NaN
OBRN,naptha,NaN
OBRN,gas,NaN
OBRN,biomass,79741.83
OBRN,process,NaN
OTHR,coal,513.601937400722
OTHR,fueloil,NaN
OTHR,diesel,1257.81050937559
OTHR,gasoline,NaN
OTHR,kerosene,137924.556000001
OTHR,naptha,NaN
OTHR,gas,12538.5960000001
OTHR,biomass,73460.1635532242
OTHR,process,NaN
PCOL,coal,5827.94655726712
PCOL,fueloil,17.1023070854192
PCOL,diesel,25.8678529744351
PCOL,gasoline,NaN
PCOL,kerosene,NaN
PCOL,naptha,21.3051919323182
PCOL,gas,53.6460907407038
PCOL,biomass,NaN
PCOL,process,NaN
REBM,coal,37967.1454176148
REBM,fueloil,NaN
REBM,diesel,NaN
REBM,gasoline,NaN
REBM,kerosene,178.927153114887
REBM,naptha,NaN
REBM,gas,35.7854306229775
REBM,biomass,315664.479998649
REBM,process,NaN
TRAN,coal,NaN
TRAN,fueloil,NaN
TRAN,diesel,94349.0799999992
TRAN,gasoline,41300.8023525724
TRAN,kerosene,NaN
TRAN,naptha,NaN
TRAN,gas,5873.73764742718
TRAN,biomass,NaN
TRAN,process,NaN
