Sector,Fuel,CO
BRIC,coal,2640962.14799998
BRIC,fueloil,NaN
BRIC,diesel,NaN
BRIC,gasoline,NaN
BRIC,kerosene,NaN
BRIC,naptha,NaN
BRIC,gas,NaN
BRIC,biomass,NaN
BRIC,process,NaN
DSDL,coal,NaN
DSDL,fueloil,NaN
DSDL,diesel,533659.199999987
DSDL,gasoline,NaN
DSDL,kerosene,NaN
DSDL,naptha,NaN
DSDL,gas,NaN
DSDL,biomass,NaN
DSDL,process,NaN
ICOL,coal,911309.57924757
ICOL,fueloil,6902.59508989224
ICOL,diesel,625460.075164127
ICOL,gasoline,NaN
ICOL,kerosene,580605.766189283
ICOL,naptha,23446.4111518898
ICOL,gas,8564.1426521439
ICOL,biomass,NaN
ICOL,process,1990315.28250509
OBRN,coal,NaN
OBRN,fueloil,NaN
OBRN,diesel,NaN
OBRN,gasoline,NaN
OBRN,kerosene,NaN
OBRN,naptha,NaN
OBRN,gas,NaN
OBRN,biomass,11283982.573
OBRN,process,NaN
OTHR,coal,26010.2334570619
OTHR,fueloil,NaN
OTHR,diesel,4254.48720382837
OTHR,gasoline,NaN
OTHR,kerosene,1053479.58400001
OTHR,naptha,NaN
OTHR,gas,526739.792000004
OTHR,biomass,759844.967339116
OTHR,process,NaN
PCOL,coal,735001.712111023
PCOL,fueloil,959.013350085531
PCOL,diesel,752.102418573302
PCOL,gasoline,NaN
PCOL,kerosene,NaN
PCOL,naptha,595.270463073253
PCOL,gas,16367.6096572441
PCOL,biomass,NaN
PCOL,process,NaN
REBM,coal,2351305.93544253
REBM,fueloil,NaN
REBM,diesel,NaN
REBM,gasoline,NaN
REBM,kerosene,39005.5935376677
REBM,naptha,NaN
REBM,gas,78011.1870753354
REBM,biomass,35328097.4219445
REBM,process,NaN
TRAN,coal,NaN
TRAN,fueloil,NaN
TRAN,diesel,7951847.72000002
TRAN,gasoline,3957054.57500562
TRAN,kerosene,NaN
TRAN,naptha,NaN
TRAN,gas,18869.284994386
TRAN,biomass,NaN
TRAN,process,NaN
