Sector,Fuel,NMVOC
agdiesel,diesel_oil,137357.356836697
brick,coal_biomass,1027191.00000693
dg,diesel_oil,29643.81561867
diesel,diesel_oil,410033.187042938
gasoline,light_oil,1922906.6954744
heavyind,coal,574639.780521937
informal,oil,166959.479367875
lightind,coal,1052297.51
railway,all_oil,11228.162675367
resbiomass,biomass,4226971.55
reslighting,light_oil,NaN
reslpgkero,light_oil,200774.989999999
thermal_coal,coal,234318.9670682
thermal_oil_gas,oil_gas,80662.974367604
trashburn,process,1539699.82405696
sh,biomass,1393312.188137
wh,biomass,1162535.61497088
