Sector,Fuel,NOx
Agr_Pumps,coal,NaN
Agr_Pumps,fueloil,NaN
Agr_Pumps,diesel,443938.776000008
Agr_Pumps,gasoline,NaN
Agr_Pumps,kerosene,NaN
Agr_Pumps,naptha,NaN
Agr_Pumps,gas,NaN
Agr_Pumps,biomass,NaN
Agr_Pumps,process,NaN
Agr_Res_Burn,coal,NaN
Agr_Res_Burn,fueloil,NaN
Agr_Res_Burn,diesel,NaN
Agr_Res_Burn,gasoline,NaN
Agr_Res_Burn,kerosene,NaN
Agr_Res_Burn,naptha,NaN
Agr_Res_Burn,gas,NaN
Agr_Res_Burn,biomass,447030.892
Agr_Res_Burn,process,NaN
Agr_Tractors,coal,NaN
Agr_Tractors,fueloil,NaN
Agr_Tractors,diesel,622065.443999982
Agr_Tractors,gasoline,NaN
Agr_Tractors,kerosene,NaN
Agr_Tractors,naptha,NaN
Agr_Tractors,gas,NaN
Agr_Tractors,biomass,NaN
Agr_Tractors,process,NaN
Brick,coal,139030.956000001
Brick,fueloil,NaN
Brick,diesel,NaN
Brick,gasoline,NaN
Brick,kerosene,NaN
Brick,naptha,NaN
Brick,gas,NaN
Brick,biomass,NaN
Brick,process,NaN
Ind_Heavy,coal,464390.8956
Ind_Heavy,fueloil,41279.19072
Ind_Heavy,diesel,20639.59536
Ind_Heavy,gasoline,NaN
Ind_Heavy,kerosene,NaN
Ind_Heavy,naptha,NaN
Ind_Heavy,gas,72238.5837600001
Ind_Heavy,biomass,NaN
Ind_Heavy,process,433431.50256
Ind_Light,coal,206538.717
Ind_Light,fueloil,11802.2124
Ind_Light,diesel,312758.6286
Ind_Light,gasoline,NaN
Ind_Light,kerosene,NaN
Ind_Light,naptha,53109.9558
Ind_Light,gas,5901.10620000001
Ind_Light,biomass,NaN
Ind_Light,process,NaN
Inf_Ind,coal,622.097520000006
Inf_Ind,fueloil,NaN
Inf_Ind,diesel,46657.3140000005
Inf_Ind,gasoline,NaN
Inf_Ind,kerosene,NaN
Inf_Ind,naptha,NaN
Inf_Ind,gas,NaN
Inf_Ind,biomass,15552.4380000002
Inf_Ind,process,NaN
Rail,coal,NaN
Rail,fueloil,NaN
Rail,diesel,191761.596000003
Rail,gasoline,NaN
Rail,kerosene,NaN
Rail,naptha,NaN
Rail,gas,NaN
Rail,biomass,NaN
Rail,process,NaN
Res_Cook_Biomass_Coal,coal,NaN
Res_Cook_Biomass_Coal,fueloil,NaN
Res_Cook_Biomass_Coal,diesel,NaN
Res_Cook_Biomass_Coal,gasoline,NaN
Res_Cook_Biomass_Coal,kerosene,NaN
Res_Cook_Biomass_Coal,naptha,NaN
Res_Cook_Biomass_Coal,gas,NaN
Res_Cook_Biomass_Coal,biomass,274959.144
Res_Cook_Biomass_Coal,process,NaN
Res_Cook_LPG_Kero,coal,NaN
Res_Cook_LPG_Kero,fueloil,NaN
Res_Cook_LPG_Kero,diesel,NaN
Res_Cook_LPG_Kero,gasoline,NaN
Res_Cook_LPG_Kero,kerosene,NaN
Res_Cook_LPG_Kero,naptha,NaN
Res_Cook_LPG_Kero,gas,NaN
Res_Cook_LPG_Kero,biomass,NaN
Res_Cook_LPG_Kero,process,NaN
Res_DG,coal,NaN
Res_DG,fueloil,NaN
Res_DG,diesel,414000.323999991
Res_DG,gasoline,NaN
Res_DG,kerosene,NaN
Res_DG,naptha,NaN
Res_DG,gas,NaN
Res_DG,biomass,NaN
Res_DG,process,NaN
Res_Lighting_Kero,coal,NaN
Res_Lighting_Kero,fueloil,NaN
Res_Lighting_Kero,diesel,NaN
Res_Lighting_Kero,gasoline,NaN
Res_Lighting_Kero,kerosene,NaN
Res_Lighting_Kero,naptha,NaN
Res_Lighting_Kero,gas,NaN
Res_Lighting_Kero,biomass,NaN
Res_Lighting_Kero,process,NaN
Res_Space_heat,coal,NaN
Res_Space_heat,fueloil,NaN
Res_Space_heat,diesel,NaN
Res_Space_heat,gasoline,NaN
Res_Space_heat,kerosene,NaN
Res_Space_heat,naptha,NaN
Res_Space_heat,gas,NaN
Res_Space_heat,biomass,64069.79
Res_Space_heat,process,NaN
Res_Water_Heat,coal,NaN
Res_Water_Heat,fueloil,NaN
Res_Water_Heat,diesel,NaN
Res_Water_Heat,gasoline,NaN
Res_Water_Heat,kerosene,NaN
Res_Water_Heat,naptha,NaN
Res_Water_Heat,gas,NaN
Res_Water_Heat,biomass,47000.1750000004
Res_Water_Heat,process,NaN
Road_Dies,coal,NaN
Road_Dies,fueloil,NaN
Road_Dies,diesel,1031726.20799989
Road_Dies,gasoline,NaN
Road_Dies,kerosene,NaN
Road_Dies,naptha,NaN
Road_Dies,gas,NaN
Road_Dies,biomass,NaN
Road_Dies,process,NaN
Road_Gas_CNG,coal,NaN
Road_Gas_CNG,fueloil,NaN
Road_Gas_CNG,diesel,NaN
Road_Gas_CNG,gasoline,253329.86772
Road_Gas_CNG,kerosene,NaN
Road_Gas_CNG,naptha,NaN
Road_Gas_CNG,gas,37853.8882799999
Road_Gas_CNG,biomass,NaN
Road_Gas_CNG,process,NaN
TPP,coal,2180322.33984
TPP,fueloil,NaN
TPP,diesel,NaN
TPP,gasoline,NaN
TPP,kerosene,NaN
TPP,naptha,NaN
TPP,gas,90846.7641599999
TPP,biomass,NaN
TPP,process,NaN
