Sector,Fuel,OC
agdiesel,diesel_oil,22329.104688737
brick,coal_biomass,63000.0000001548
dg,diesel_oil,5544.71369051941
diesel,diesel_oil,43605.2070721561
gasoline,light_oil,38090.970497131
heavyind,coal,63124.55458132
informal,oil,72078.4427924594
lightind,coal,7850.41
railway,all_oil,592.276606583992
resbiomass,biomass,844433.930000001
reslighting,light_oil,1188.67999999999
reslpgkero,light_oil,1012.15999999998
thermal_coal,coal,25685.47576874
thermal_oil_gas,oil_gas,441.064503328
trashburn,process,200351.06352552
sh,biomass,384125.8892889
wh,biomass,202431.192383313
