Sector,Fuel,SO2
agdiesel,diesel_oil,6057.01737989464
brick,coal_biomass,331006.999999931
dg,diesel_oil,2603.3441927807
diesel,diesel_oil,42028.4016718337
gasoline,light_oil,7641.93
heavyind,coal,2631738.43166102
informal,oil,18909.4680166224
lightind,coal,1019840.04
railway,all_oil,2498.919445676
resbiomass,biomass,162518.880000001
reslighting,light_oil,50.2700000000008
reslpgkero,light_oil,2978.50000000004
thermal_coal,coal,3594841.483737
thermal_oil_gas,oil_gas,108869.866439313
trashburn,process,34215.5516459154
sh,biomass,130975.4558329
wh,biomass,28645.754280391
