"Category","1.A.1 Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","478.78","478.78","479.37","486.84","510.36","488.12","494.80","488.32","503.21","556.66","586.43","620.28","649.56","689.63","702.36","714.89","730.18","777.59","802.93","810.57","798.51","790.20","777.81","807.51"
"Austria","17.74","17.74","17.16","14.42","12.06","11.06","12.66","11.05","11.92","10.84","10.87","10.98","12.54","12.33","14.64","15.25","15.32","15.51","16.75","14.98","13.43","14.68","14.27","14.37"
"Belarus","171.80","171.80","155.23","145.34","121.99","105.08","89.73","90.40","95.33","90.02","86.49","82.89","83.91","82.96","82.73","88.29","86.97","88.24","82.88","85.86","82.49","87.25","79.94","78.94"
"Belgium","71.69","71.69","72.20","69.65","68.62","71.15","67.32","65.17","60.25","61.45","45.69","52.86","46.14","42.67","45.86","47.28","44.56","38.69","34.96","24.23","22.76","20.46","16.80","15.48"
"Bulgaria","117.17","109.96","87.38","82.31","83.60","76.55","77.64","76.99","82.56","79.19","68.98","68.62","80.01","72.31","77.66","77.16","77.97","78.94","88.93","92.35","85.02","90.30","104.21","89.83"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","17.47","17.47","12.62","14.92","15.41","12.47","14.48","14.75","14.65","16.97","18.03","13.75","13.31","15.09","14.03","11.60","12.19","11.32","13.68","11.48","11.47","9.48","9.57","8.37"
"Cyprus","3.52","3.52","3.66","4.19","4.50","4.73","4.31","4.56","4.83","5.26","5.57","5.87","5.81","6.02","6.36","6.58","6.93","7.14","7.48","6.32","7.42","6.32","9.69","10.94"
"Czech Republic","342.17","342.17","370.00","355.65","355.26","130.79","127.50","123.00","124.50","76.24","61.65","67.94","99.26","100.82","104.51","99.50","95.48","99.34","103.89","90.55","85.51","84.71","80.65","72.64"
"Denmark","95.07","95.07","136.72","96.42","99.56","103.83","88.62","126.90","85.81","71.16","59.76","51.06","50.92","52.98","63.71","52.34","46.45","51.06","42.15","33.19","28.54","27.58","24.92","22.15"
"Estonia","42.60","42.60","39.06","27.79","22.08","22.13","19.97","20.86","20.01","18.44","17.81","16.61","16.62","16.15","18.10","16.99","14.93","13.36","15.64","14.12","12.58","17.24","18.01","16.84"
