"Category","1.A.2 Manufacturing Industries and Construction"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","305.14","305.14","299.45","295.21","300.62","310.27","318.46","321.98","326.40","327.69","328.49","331.38","335.36","344.30","326.81","332.22","339.57","328.42","339.28","351.25","349.11","350.27","368.85","381.04"
"Austria","32.97","32.97","33.91","30.81","31.33","30.94","29.48","30.50","32.13","31.28","30.11","30.63","29.96","29.71","31.12","31.10","34.01","34.61","34.89","34.35","31.80","32.34","32.38","32.27"
"Belarus","19.17","19.17","20.81","19.40","18.33","17.29","17.22","18.08","18.20","18.95","18.63","18.11","17.22","17.73","19.18","21.23","22.27","22.81","23.33","23.48","21.95","21.87","22.13","26.91"
"Belgium","66.50","66.50","66.22","65.73","68.79","62.02","76.61","69.37","63.22","72.62","62.29","75.73","70.48","60.36","58.90","63.97","59.94","55.19","54.68","53.59","38.89","45.31","44.35","40.52"
"Bulgaria","49.83","52.92","42.16","40.03","37.16","37.95","40.27","41.75","33.48","29.98","24.32","23.17","23.25","21.86","25.19","23.34","22.37","22.38","24.11","17.20","9.89","10.78","10.61","9.77"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","16.33","16.33","10.46","7.61","7.72","8.22","7.57","7.70","8.03","8.31","7.10","7.73","8.66","8.04","9.36","11.45","10.10","10.62","11.75","13.00","9.99","8.76","8.24","7.36"
"Cyprus","2.57","2.57","2.46","2.62","2.81","2.92","2.83","3.00","2.92","2.80","2.81","2.89","2.84","2.91","2.89","3.07","3.03","3.14","3.10","3.05","2.60","2.18","2.16","1.93"
"Czech Republic","80.67","80.67","88.00","76.88","70.00","68.04","56.00","53.00","64.10","51.52","47.90","45.91","38.87","35.55","33.86","42.71","40.61","36.70","38.07","37.13","32.24","32.03","27.82","25.80"
"Denmark","23.61","23.61","25.83","26.51","26.40","26.30","26.55","27.72","28.00","28.39","27.54","27.92","27.55","25.98","24.87","24.38","23.81","23.62","22.15","20.17","14.88","14.91","14.07","13.01"
"Estonia","3.41","3.41","4.49","2.98","1.42","2.05","1.42","1.79","1.66","1.47","0.97","1.25","1.61","0.96","1.23","1.37","1.45","1.56","2.52","2.30","1.34","1.10","1.37","1.46"
"European Union (15)","1,828.10","1,828.10","1,785.91","1,703.99","1,594.13","1,583.29","1,523.60","1,449.31","1,434.87","1,474.57","1,433.71","1,379.60","1,356.22","1,323.32","1,325.42","1,308.85","1,314.27","1,249.89","1,237.23","1,142.80","952.03","971.19","914.55","874.50"
"European Union (28)","2,119.83","2,119.83","2,034.49","1,922.78","1,795.36","1,778.90","1,709.47","1,632.03","1,612.18","1,628.26","1,571.59","1,542.55","1,513.17","1,475.29","1,478.16","1,469.57","1,470.40","1,406.23","1,395.59","1,289.20","1,066.39","1,088.13","1,026.70","983.12"
"Finland","48.23","48.23","46.96","45.43","45.82","47.77","45.02","44.26","44.88","45.27","46.92","46.67","43.96","42.69","42.66","44.25","40.04","42.90","41.43","39.85","30.35","34.73","35.39","33.58"
"France","216.55","216.55","215.95","206.62","198.60","195.12","194.14","195.22","190.24","215.98","203.39","194.68","193.18","203.54","201.92","194.42","187.41","185.08","174.61","159.29","135.38","137.62","133.49","131.44"
"Germany","330.41","330.41","268.02","235.40","208.34","195.33","135.98","129.22","132.78","128.11","123.67","82.15","80.06","77.39","80.81","77.89","77.43","79.74","81.40","83.47","76.32","87.92","84.72","83.52"
"Greece","22.17","22.17","21.52","21.15","21.34","20.98","23.59","25.49","25.56","24.24","21.93","24.49","24.64","24.64","22.26","22.65","30.79","28.79","28.85","27.23","21.68","18.78","13.98","16.28"
"Hungary","","23.82","19.36","15.65","16.06","16.32","16.66","16.21","15.06","14.10","13.68","13.55","13.84","14.36","13.92","13.43","15.18","15.40","16.17","13.93","10.90","11.16","11.08","10.22"
"Iceland","2.61","2.61","2.35","2.33","2.51","2.49","2.90","2.92","3.50","3.51","3.80","3.76","3.83","3.63","3.29","3.87","3.98","3.71","3.68","3.44","2.36","1.85","1.64","1.60"
"Ireland","9.68","9.68","10.78","9.14","9.58","9.96","10.34","9.82","11.62","11.47","11.54","14.32","15.02","14.64","16.07","17.10","18.32","17.42","19.36","16.61","11.08","10.72","9.32","11.01"
"Italy","294.11","294.11","325.11","323.12","255.30","244.49","225.57","211.37","200.87","199.82","201.48","193.61","191.84","181.90","178.90","171.91","181.63","175.87","176.48","156.18","128.87","122.17","120.38","103.95"
"Japan","426.68","426.68","433.77","423.76","433.40","453.01","478.42","477.16","479.40","445.13","458.85","454.72","450.17","445.92","450.36","454.80","459.56","459.75","459.65","459.18","459.03","458.97","459.17","458.89"
"Latvia","16.73","16.73","11.49","9.77","9.78","9.35","9.41","9.20","9.04","7.58","6.76","4.79","3.78","3.67","3.72","3.73","3.51","3.93","3.79","3.39","3.24","3.85","3.19","3.52"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","12.50","12.50","13.49","10.14","7.91","5.13","5.11","5.22","4.93","5.09","4.30","3.57","3.20","3.53","3.09","3.61","3.54","3.93","4.14","3.83","2.94","3.04","3.03","3.01"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.16","0.16","0.17","0.16","0.16","0.16","0.16","0.17","0.16","0.11","0.15","0.15","0.13","0.13","0.13","0.16","0.14","0.13","0.14","0.13","0.11","0.12","0.19","0.19"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","94.01","94.01","84.40","81.05","80.49","76.62","74.59","70.19","67.75","72.52","63.29","56.98","57.82","56.11","54.88","55.03","52.99","50.06","48.41","47.36","41.12","41.00","40.75","38.38"
"New Zealand","21.03","21.03","22.85","22.19","24.14","25.53","26.27","27.38","27.67","26.67","26.82","28.63","30.15","31.39","29.38","27.73","24.38","23.39","25.02","25.64","24.70","26.05","25.45","25.61"
"Norway","8.48","8.48","8.12","6.97","8.35","9.54","9.13","8.96","8.85","8.78","8.83","8.11","8.42","7.85","8.48","6.90","7.00","7.16","7.09","7.03","6.27","7.36","6.77","5.60"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","34.77","34.77","35.96","37.38","38.66","39.24","40.98","41.57","45.19","45.60","46.82","46.70","44.83","44.02","41.32","43.89","43.56","42.36","42.91","40.54","36.21","37.44","33.49","30.08"
"Romania","99.34","76.78","51.01","48.15","43.74","40.72","41.50","39.82","33.33","27.91","25.60","26.88","27.69","29.39","28.34","28.12","27.11","27.63","27.62","26.90","19.88","20.86","22.60","24.29"
"Russian Federation","615.29","615.29","594.08","362.02","316.95","261.35","280.91","291.49","286.78","237.88","260.96","330.89","339.05","328.87","329.38","341.91","354.96","351.37","332.58","377.04","387.18","407.25","426.28","463.16"
"Slovakia","","","","","","","","","","","","28.56","28.63","27.10","26.59","25.07","24.13","25.20","21.90","20.54","17.14","19.31","18.56","17.92"
"Slovenia","8.71","5.84","5.49","4.79","4.46","4.76","4.94","4.87","4.59","4.82","4.30","4.48","4.46","4.47","4.43","4.67","4.97","5.71","5.04","5.00","4.11","3.75","3.31","3.15"
"Spain","209.05","209.05","211.03","192.72","186.01","198.79","219.23","201.17","207.53","214.50","223.68","232.49","238.86","248.78","264.26","262.75","265.11","235.32","236.24","218.47","183.26","180.77","165.12","158.31"
"Sweden","40.84","40.84","42.86","41.28","41.14","43.41","42.84","39.86","39.67","37.91","34.95","31.10","31.76","30.12","28.67","27.11","26.19","26.84","24.99","23.89","21.48","23.21","22.34","21.53"
"Switzerland","22.60","22.60","21.80","20.41","19.83","20.17","19.47","18.52","16.14","15.87","15.86","15.54","15.47","14.54","14.20","14.20","13.96","13.66","13.17","12.80","12.10","12.02","11.34","10.99"
"Turkey","112.73","112.73","121.53","117.84","121.73","111.11","124.99","157.43","172.65","168.44","151.27","183.87","142.02","177.01","204.57","207.97","203.31","233.92","244.08","168.90","167.42","168.79","168.54","166.32"
"Ukraine","561.97","561.97","","","","","","","","200.10","201.59","206.50","201.20","198.37","208.80","211.32","211.80","221.99","231.85","207.40","156.39","169.06","192.96","186.25"
"United Kingdom of Great Britain and Northern Ireland","407.38","407.38","399.83","390.22","385.06","394.93","381.72","356.45","348.46","349.95","339.11","325.01","309.33","286.78","282.18","275.69","276.83","255.89","254.79","225.72","184.70","189.45","170.33","166.37"
"United States of America","2,558.98","2,558.98","2,498.14","2,574.73","2,645.09","2,645.62","2,650.23","2,666.67","2,613.39","2,569.95","2,283.41","2,278.06","2,295.73","1,699.29","1,635.90","1,572.51","1,506.20","1,390.23","1,274.27","1,158.31","1,131.48","1,104.65","1,077.81","1,077.81"
