"Category","1.A.3 Transport"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","359.69","359.69","349.14","387.43","388.87","389.53","409.89","417.03","416.60","398.73","382.54","376.11","359.42","354.63","348.98","349.26","326.61","314.14","321.38","312.08","309.51","313.18","314.53","307.63"
"Austria","104.82","104.82","110.91","108.26","108.15","104.79","103.91","125.25","110.39","126.61","119.62","128.29","136.01","144.12","152.58","151.56","152.09","137.86","134.19","123.77","114.46","116.29","107.69","104.08"
"Belarus","124.81","124.81","123.31","103.00","86.59","54.47","49.03","49.01","45.69","43.16","36.43","31.76","31.58","40.52","38.59","42.91","44.32","53.68","52.37","59.22","49.12","49.42","65.77","71.08"
"Belgium","184.78","184.78","180.87","172.86","167.46","164.27","159.52","154.96","151.43","151.79","151.80","149.03","148.04","146.11","143.44","143.12","140.78","138.87","135.97","122.04","113.46","114.81","110.45","105.20"
"Bulgaria","80.28","72.60","42.98","45.10","48.14","41.18","40.67","38.39","39.40","45.67","44.78","40.35","41.02","39.88","43.65","44.02","43.75","44.10","39.48","40.05","35.86","33.60","33.59","35.36"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","40.98","40.98","29.77","28.62","29.80","30.99","31.45","34.25","34.76","36.16","37.33","35.08","34.29","36.23","36.34","35.93","34.57","34.91","34.91","33.98","31.37","29.48","27.90","25.46"
"Cyprus","9.02","9.02","9.06","10.11","10.01","10.72","10.03","10.09","10.12","10.14","10.13","10.97","10.32","10.17","10.27","9.57","9.15","8.66","8.86","8.72","7.75","7.79","7.32","6.50"
"Czech Republic","210.83","210.83","210.60","210.05","207.50","198.96","193.60","187.80","196.90","191.95","194.44","197.92","129.43","112.66","101.17","106.70","100.99","93.15","90.48","85.02","85.10","70.87","67.04","61.37"
"Denmark","129.71","129.71","132.43","131.37","128.94","128.47","124.15","120.89","115.87","108.44","101.73","95.87","93.00","89.67","88.89","87.14","84.07","82.28","80.55","73.24","65.78","64.02","61.45","57.28"
