"Category","1.AA.1.A Public Electricity and Heat Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","401.97","401.97","397.98","403.44","422.10","401.25","406.39","399.85","408.03","459.78","481.75","516.81","543.89","580.07","554.86","561.79","561.05","612.48","641.01","650.86","631.21","612.67","575.07","593.04"
"Austria","12.05","12.05","11.36","8.82","7.52","6.42","7.62","6.86","7.70","6.52","6.54","7.01","8.34","7.95","9.70","9.75","10.42","10.44","12.21","12.39","11.01","12.38","11.96","12.09"
"Belarus","171.80","171.80","155.23","145.34","121.99","105.08","89.73","90.40","95.33","90.02","86.49","82.89","83.91","82.96","82.73","88.29","86.97","88.24","82.88","85.86","82.49","87.25","79.94","78.94"
"Belgium","60.84","60.84","60.49","58.32","55.84","59.22","56.13","53.34","48.16","50.86","35.53","43.01","36.22","33.23","36.38","37.22","35.49","29.51","26.24","18.38","18.06","16.15","12.96","11.45"
"Bulgaria","112.37","106.57","83.95","79.92","80.65","73.55","74.15","73.61","79.89","77.08","66.20","66.20","77.76","69.97","75.48","74.94","75.69","76.39","86.45","89.94","82.44","87.92","101.89","87.47"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","11.17","11.17","8.11","10.86","11.18","8.16","9.94","9.84","10.65","13.13","14.20","9.97","9.79","11.06","9.93","7.51","8.12","7.51","9.31","8.26","7.45","5.63","6.03","5.44"
"Cyprus","3.39","3.39","3.52","4.05","4.36","4.56","4.15","4.41","4.67","5.09","5.38","5.66","5.61","5.85","6.28","6.54","6.93","7.14","7.48","6.32","7.42","6.32","9.69","10.94"
"Czech Republic","334.89","334.89","364.00","349.66","349.66","125.32","121.50","121.50","121.50","71.69","57.96","64.32","96.72","95.68","96.89","93.31","89.77","91.38","96.29","83.74","79.23","78.07","75.45","67.78"
"Denmark","91.23","91.23","132.61","91.57","94.60","98.90","83.52","120.68","79.12","64.26","52.10","43.16","42.84","44.62","55.34","43.83","38.16","42.37","33.59","24.76","20.29","19.24","16.76","14.29"
"Estonia","42.24","42.24","38.86","27.51","21.61","21.61","19.50","20.36","19.44","17.96","17.35","15.96","15.93","15.41","17.25","16.10","13.95","12.44","14.77","12.93","11.14","15.24","15.55","14.48"
"European Union (15)","2,513.36","2,513.36","2,448.79","2,315.53","2,085.19","1,983.42","1,905.27","1,835.32","1,676.43","1,597.24","1,517.20","1,552.54","1,536.63","1,595.70","1,656.51","1,604.31","1,617.78","1,577.28","1,545.08","1,268.77","1,164.99","1,095.07","1,090.15","1,169.86"
"European Union (28)","3,453.53","3,453.53","3,372.42","3,173.20","2,924.15","2,571.96","2,497.15","2,398.05","2,214.72","2,066.64","1,930.97","1,918.99","1,953.64","1,988.00","2,067.13","1,986.09","1,983.09","1,937.38","1,910.09","1,618.51","1,477.97","1,406.28","1,414.14","1,465.62"
"Finland","55.81","55.81","50.87","45.92","50.59","51.42","39.24","46.95","42.21","35.20","34.97","32.82","43.00","47.51","58.89","50.08","32.17","49.96","45.91","37.53","36.68","44.30","37.29","33.62"
"France","140.64","140.64","192.52","166.02","121.97","123.21","134.05","143.96","131.21","170.26","158.22","161.19","141.96","155.38","162.16","156.68","180.77","156.10","150.99","129.16","130.30","126.86","106.32","112.20"
"Germany","464.36","464.36","414.75","364.41","325.81","295.78","263.52","262.07","243.21","238.16","224.73","225.47","233.25","233.92","263.25","247.71","248.34","259.76","277.56","275.21","271.29","287.22","289.60","301.82"
"Greece","69.79","69.79","75.97","85.28","83.05","88.27","78.03","80.75","85.97","90.41","90.46","99.73","109.66","111.84","120.27","127.02","140.45","132.54","143.00","133.73","123.58","113.57","111.42","112.60"
"Hungary","","33.31","36.73","39.29","40.96","39.61","40.00","39.29","43.39","45.35","43.72","34.91","35.66","31.34","33.74","29.38","26.68","23.43","23.97","24.46","22.75","22.91","19.47","18.64"
"Iceland","0.10","0.10","0.11","0.09","0.09","0.09","0.15","0.07","0.06","0.08","0.07","0.07","0.06","0.09","0.08","0.08","0.12","0.08","0.11","0.06","0.06","0.04","0.04","0.05"
"Ireland","46.37","46.37","46.19","53.06","46.94","45.10","41.39","41.87","40.20","39.39","38.78","39.73","41.16","37.63","33.82","32.34","32.40","29.89","27.35","22.04","13.34","11.54","8.02","10.32"
"Italy","408.63","408.63","389.74","362.32","326.99","299.40","299.00","282.00","242.50","179.81","144.24","129.72","122.92","121.48","122.88","111.11","84.27","78.93","68.58","59.32","50.39","54.22","50.22","50.40"
"Japan","253.23","253.23","253.66","253.27","241.67","254.41","242.95","238.34","234.33","229.83","223.27","237.57","251.47","265.15","270.36","274.32","278.77","278.26","277.64","276.58","274.45","274.16","273.76","274.46"
"Latvia","10.23","10.23","9.37","8.04","6.86","6.67","5.96","6.16","5.91","5.76","4.88","4.14","4.24","4.13","4.01","3.65","3.93","3.61","3.76","3.25","3.00","3.37","2.95","2.88"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","35.63","35.63","38.40","22.89","18.10","19.06","16.75","18.42","16.23","18.17","14.95","11.68","12.28","11.78","11.57","11.48","11.80","11.53","10.36","9.67","10.33","12.18","9.63","10.27"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","3.90","3.90","4.28","4.47","4.42","4.61","4.23","4.24","4.21","4.24","4.42","4.39","4.69","4.74","5.20","5.06","5.16","5.20","5.31","5.21","4.93","4.91","5.02","5.33"
"Monaco","0.07","0.07","0.07","0.08","0.09","0.10","0.10","0.10","0.11","0.11","0.11","0.11","0.12","0.11","0.09","0.08","0.08","0.06","0.08","0.08","0.07","0.07","0.08","0.08"
"Netherlands","79.23","79.23","75.35","71.47","67.59","63.72","59.84","54.04","48.24","42.44","53.69","53.54","48.37","49.87","50.25","43.74","43.40","39.29","31.83","27.95","26.58","26.32","22.75","21.62"
"New Zealand","13.13","13.13","14.64","18.79","15.53","12.48","11.54","15.20","22.56","16.72","21.73","20.45","26.03","23.03","28.27","26.95","34.81","34.17","28.50","32.22","23.72","20.82","19.50","24.37"
"Norway","1.32","1.32","1.25","1.36","1.17","1.24","1.28","1.33","1.19","1.18","1.24","1.31","1.39","1.54","1.78","1.30","1.20","1.20","1.47","1.61","1.61","1.78","1.60","1.62"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","68.42","68.42","72.23","83.21","74.62","70.68","80.00","63.07","61.18","65.24","68.79","58.21","56.19","64.91","49.68","49.24","57.26","45.40","42.72","32.67","29.15","17.14","20.15","22.52"
"Romania","218.35","193.85","184.59","166.83","161.20","157.27","163.05","170.59","142.53","116.90","102.56","109.63","116.58","107.37","118.20","105.57","95.44","95.97","84.36","83.40","63.37","53.91","57.12","52.80"
"Russian Federation","3,366.93","3,366.93","3,154.53","3,065.23","2,985.68","2,728.37","2,583.36","2,585.72","2,426.71","2,434.56","2,397.80","2,438.46","2,428.67","2,455.64","2,491.36","2,644.98","2,456.74","2,553.40","2,306.25","2,369.55","2,200.93","2,288.82","2,322.42","2,366.22"
"Slovakia","147.12","147.12","137.13","129.49","124.67","112.94","118.98","80.58","74.31","78.07","69.21","25.48","22.87","18.47","17.29","15.51","15.20","12.66","11.27","10.64","10.21","9.76","10.28","9.50"
"Slovenia","19.48","17.86","14.69","14.65","15.29","15.19","13.67","13.73","15.56","15.96","12.94","14.11","14.88","16.50","14.77","12.73","12.62","12.84","11.70","11.93","10.69","11.01","10.92","10.22"
"Spain","228.07","228.07","236.66","250.39","243.88","253.34","270.43","229.92","281.13","254.65","290.38","311.89","281.11","325.59","301.67","324.29","329.10","300.70","313.88","206.00","168.63","113.59","167.23","180.46"
"Sweden","14.35","14.35","16.71","15.93","14.77","15.14","12.36","16.97","12.00","12.49","11.30","9.29","10.49","11.57","13.16","12.14","12.33","12.69","12.55","12.94","14.64","17.43","14.19","14.05"
"Switzerland","6.36","6.36","6.00","5.85","4.77","4.35","4.10","4.01","3.58","3.72","3.25","2.91","2.62","2.28","1.91","1.92","1.98","2.10","2.09","2.22","2.27","2.36","2.44","2.72"
"Turkey","89.16","89.16","97.56","112.24","106.61","125.50","128.74","139.33","156.73","173.07","188.56","209.03","215.75","198.13","198.83","203.93","169.40","198.14","202.09","313.24","450.36","316.14","263.97","324.30"
"Ukraine","778.34","778.34","","","","","","","","423.30","434.22","411.02","439.83","454.46","466.38","424.19","445.12","506.23","512.91","517.27","465.34","497.12","603.83","631.51"
"United Kingdom of Great Britain and Northern Ireland","781.21","781.21","681.61","667.98","580.76","523.65","491.65","444.33","366.07","360.95","323.51","353.95","377.49","396.74","397.41","382.04","391.16","408.80","379.91","297.36","272.45","253.80","239.02","292.22"
"United States of America","6,044.67","6,044.67","5,914.04","5,900.43","6,033.79","5,955.77","5,791.56","5,581.30","5,683.09","5,637.52","5,182.92","4,829.19","4,453.60","4,265.00","3,929.50","3,593.99","3,433.70","3,213.28","2,992.86","2,772.44","2,450.68","2,128.92","1,807.16","1,557.31"
