"Category","1.AA.1.B Petroleum Refining"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","37.33","37.33","38.39","37.95","40.11","41.22","41.56","41.55","39.76","39.16","46.22","44.17","46.38","46.23","46.09","43.20","42.62","39.54","41.56","40.00","38.81","37.62","40.79","40.60"
"Austria","4.32","4.32","4.32","4.19","3.40","3.41","3.38","3.48","3.47","3.36","3.25","3.07","3.30","3.44","3.34","3.44","3.05","3.39","3.05","1.20","1.05","1.05","0.90","0.91"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","7.32","7.32","8.29","8.18","7.94","8.44","6.51","7.33","8.26","7.09","6.75","6.31","6.50","5.92","6.10","6.42","5.37","5.38","5.22","3.46","2.54","2.15","1.92","1.81"
"Bulgaria","4.80","2.24","2.80","1.61","2.13","2.07","2.52","2.43","1.78","1.41","2.10","1.69","1.72","1.80","1.60","1.69","1.77","2.09","2.08","2.15","2.56","2.37","2.31","2.34"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","4.61","4.61","3.35","3.07","3.14","3.33","3.84","4.28","3.35","3.34","3.39","3.29","3.02","3.46","3.55","3.61","3.45","3.27","3.72","2.78","3.34","3.04","3.02","2.54"
"Cyprus","0.13","0.13","0.14","0.14","0.14","0.17","0.16","0.15","0.16","0.17","0.19","0.21","0.20","0.17","0.08","0.04","","","","","","","",""
"Czech Republic","1.64","1.64","2.00","1.40","1.30","1.33","2.00","0.50","0.90","1.54","1.28","1.55","2.36","0.40","0.66","0.77","0.77","0.59","0.57","0.52","0.66","0.57","0.43","0.33"
"Denmark","1.46","1.46","1.69","2.08","2.15","1.84","1.86","2.42","1.73","1.41","1.70","1.59","1.91","1.76","1.75","1.68","1.29","1.52","1.47","1.43","1.62","1.54","1.59","1.60"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","204.43","204.43","201.72","202.85","194.07","199.33","192.66","194.81","186.59","184.79","172.27","169.28","164.70","161.46","160.47","165.02","158.33","156.14","153.44","143.44","128.63","121.98","118.17","110.76"
"European Union (28)","230.08","230.08","223.94","219.47","212.08","219.54","214.10","216.16","205.37","205.45","191.57","189.95","184.19","180.87","178.41","183.96","177.54","173.71","171.78","160.69","145.19","138.53","133.30","124.87"
"Finland","4.00","4.00","4.41","4.82","4.66","5.04","4.39","4.53","4.36","4.14","3.92","3.79","3.71","2.25","4.07","4.02","3.18","3.82","4.07","3.86","3.91","3.36","3.25","2.86"
"France","19.10","19.10","19.87","19.70","20.46","21.12","21.04","21.84","23.45","23.65","22.95","22.39","22.59","21.48","21.41","21.83","20.55","20.82","20.45","19.46","17.51","15.04","13.69","11.40"
"Germany","36.84","36.84","32.60","32.56","31.41","30.65","30.37","29.11","26.70","26.24","23.67","21.88","20.93","20.53","20.89","21.10","21.81","20.26","20.30","19.80","19.49","17.79","17.07","16.50"
"Greece","3.49","3.49","3.61","3.39","3.25","3.66","3.73","4.07","4.13","4.27","4.00","4.77","4.82","5.08","4.78","5.19","5.67","6.37","6.48","6.09","5.87","5.81","5.24","5.57"
"Hungary","","3.53","3.33","3.17","3.45","3.11","3.11","3.40","3.30","2.95","2.95","1.94","1.69","1.27","1.26","1.85","2.00","1.25","1.50","1.14","1.12","1.38","1.17","1.29"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.47","0.47","0.47","0.51","0.50","0.52","0.52","0.51","0.62","0.74","0.65","0.77","0.86","0.85","0.59","0.82","0.94","0.81","0.89","0.77","0.75","0.80","0.63","0.66"
"Italy","37.26","37.26","37.19","38.00","33.31","34.32","33.77","33.81","33.20","30.70","27.93","30.09","26.62","26.01","25.27","24.02","21.30","22.32","24.61","23.52","17.73","19.47","17.97","16.47"
"Japan","29.31","29.31","31.95","30.09","31.16","30.35","30.79","31.53","32.92","31.97","29.62","29.30","28.97","28.64","28.69","28.74","28.79","28.79","28.79","28.79","28.79","28.79","28.79","28.79"
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","1.89","1.89","2.26","1.34","1.66","1.14","0.87","1.02","1.16","1.35","1.05","1.22","1.56","1.63","1.55","1.77","1.92","1.63","1.65","2.04","1.86","1.60","1.55","1.55"
