"Category","1.AA.1.C Manufacture of Solid Fuels and Other Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","39.48","39.48","43.00","45.46","48.15","45.64","46.85","46.92","55.43","57.72","58.46","59.30","59.29","63.33","101.41","109.89","126.50","125.58","120.37","119.72","128.49","139.91","161.95","173.87"
"Austria","1.37","1.37","1.48","1.41","1.15","1.23","1.65","0.71","0.75","0.95","1.09","0.90","0.90","0.94","1.59","2.06","1.85","1.69","1.49","1.39","1.37","1.25","1.41","1.37"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","3.53","3.53","3.42","3.15","4.84","3.50","4.68","4.50","3.83","3.49","3.41","3.55","3.42","3.52","3.38","3.64","3.69","3.80","3.51","2.40","2.17","2.15","1.93","2.23"
"Bulgaria","","1.15","0.62","0.78","0.82","0.93","0.97","0.95","0.89","0.70","0.68","0.73","0.54","0.54","0.58","0.54","0.50","0.45","0.40","0.27","0.02","0.02","0.01","0.02"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.69","1.69","1.16","0.99","1.09","0.98","0.70","0.62","0.65","0.50","0.44","0.50","0.50","0.57","0.54","0.48","0.61","0.55","0.65","0.44","0.68","0.81","0.53","0.39"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","5.64","5.64","4.00","4.58","4.30","4.14","4.00","1.00","2.10","3.01","2.40","2.07","0.19","4.74","6.97","5.42","4.94","7.38","7.04","6.29","5.62","6.08","4.77","4.52"
"Denmark","2.37","2.37","2.43","2.78","2.81","3.08","3.25","3.80","4.96","5.48","5.96","6.30","6.16","6.61","6.62","6.83","7.00","7.16","7.10","7.01","6.63","6.80","6.57","6.25"
"Estonia","0.36","0.36","0.19","0.28","0.46","0.52","0.47","0.50","0.57","0.48","0.46","0.64","0.69","0.74","0.84","0.89","0.98","0.92","0.88","1.19","1.44","2.01","2.46","2.36"
"European Union (15)","195.72","195.72","181.55","158.18","150.31","149.87","143.26","140.79","141.69","142.41","137.17","130.33","124.98","139.07","130.68","132.29","131.17","132.10","126.16","122.10","106.24","110.17","104.52","98.17"
"European Union (28)","207.40","207.40","190.32","170.94","164.54","166.59","159.68","152.35","162.84","159.99","149.22","142.01","135.51","156.59","149.43","150.22","148.90","149.00","141.65","137.51","118.87","124.69","117.26","110.21"
"Finland","0.29","0.29","0.30","0.30","0.56","0.58","0.60","0.59","0.49","0.59","0.67","0.52","0.52","0.55","0.45","0.55","0.46","0.44","0.44","0.55","0.45","0.50","0.51","0.54"
"France","10.02","10.02","10.28","9.85","9.00","8.28","7.88","8.02","7.62","7.46","7.03","6.55","6.37","5.44","5.98","6.27","5.01","5.67","5.90","6.50","4.62","3.11","2.88","2.95"
"Germany","107.18","107.18","91.09","68.78","58.56","48.59","39.86","33.57","27.56","23.89","21.33","21.28","18.51","19.24","17.69","19.13","19.02","19.26","18.87","15.19","13.80","15.20","14.80","10.75"
"Greece","0.29","0.29","0.30","0.26","0.25","0.27","0.26","0.28","0.31","0.18","0.02","0.23","0.23","0.24","0.19","0.22","0.16","0.21","0.20","0.16","0.15","0.09","0.08","0.08"
"Hungary","","0.24","0.24","0.25","0.31","0.35","0.35","0.35","0.37","0.34","0.31","0.32","0.23","0.14","0.19","0.21","0.20","0.33","0.30","0.34","0.11","0.15","0.17","0.22"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.08","0.08","0.06","0.06","0.06","0.06","0.06","0.06","0.04","0.07","0.07","0.07","0.10","0.13","0.14","0.13","0.10","0.10","0.10","0.10","0.11","0.10","0.08","0.09"
