"Category","1.AA.2.A Iron and Steel"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","33.50","33.50","30.83","28.96","29.74","33.70","36.00","37.29","35.53","35.72","33.32","31.30","32.63","32.96","28.64","29.83","32.51","30.75","31.35","33.35","27.30","31.81","31.96","30.79"
"Austria","5.41","5.41","5.44","4.51","4.90","4.57","4.86","4.75","4.90","4.95","4.69","4.66","4.37","4.67","4.66","4.40","5.12","5.23","5.11","5.08","4.05","4.50","4.39","4.42"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","14.92","14.92","15.07","12.05","14.02","15.31","14.54","14.06","14.17","14.76","13.76","16.53","15.22","14.64","16.95","16.93","13.68","12.57","11.43","11.31","4.08","6.93","5.74","5.20"
"Bulgaria","3.45","7.54","3.15","2.82","2.91","4.04","4.64","4.16","4.87","4.25","2.96","2.76","3.34","3.35","4.01","3.54","3.15","3.12","3.36","2.03","0.61","0.36","0.40","0.32"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","7.45","9.40","8.93","5.69","7.69","6.90","5.73","3.49","3.14","2.96"
"Denmark","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.08","0.10","0.09","0.09","0.08","0.10","0.07","0.06","0.06","0.06","0.07","0.09","0.11","0.07","0.06"
"Estonia","0.01","0.01","","","","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00"
"European Union (15)","157.97","157.97","150.00","133.66","134.20","148.31","147.43","140.03","142.53","144.64","141.46","100.22","97.91","87.25","90.83","90.26","83.80","84.90","83.32","82.08","56.99","67.20","63.42","61.11"
"European Union (28)","181.05","181.05","167.46","144.83","145.98","162.05","162.61","153.23","157.16","158.03","151.93","119.16","115.40","105.31","117.32","118.62","111.90","112.04","109.19","103.68","73.16","83.22","77.78","77.08"
"Finland","3.20","3.20","3.21","3.21","2.95","3.05","2.65","2.61","2.83","2.89","3.29","3.49","3.47","3.47","3.15","3.18","2.90","2.77","2.51","2.85","2.37","2.90","2.80","2.32"
"France","29.42","29.42","28.97","26.43","24.15","30.06","27.66","25.95","25.54","28.12","25.85","26.15","26.46","23.54","24.06","23.78","22.82","25.43","25.82","24.45","16.26","19.76","20.20","18.78"
"Germany","51.18","51.18","43.93","34.50","32.38","32.73","35.20","33.93","36.41","37.76","35.69","3.74","3.00","3.18","2.98","3.06","3.34","3.53","4.31","3.87","2.88","4.05","3.87","3.74"
"Greece","0.85","0.85","0.81","0.81","0.69","0.65","0.66","0.51","0.54","0.46","0.50","0.45","0.50","0.51","0.48","0.39","0.31","0.29","0.33","0.32","0.26","0.26","0.24","0.34"
"Hungary","","1.36","1.05","0.94","1.13","1.28","1.21","1.20","0.91","1.01","1.05","1.07","0.98","1.07","1.07","1.08","1.06","1.07","1.12","1.04","0.84","0.92","1.11","1.13"
"Iceland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland","0.29","0.29","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","59.62","59.62","57.79","51.14","47.42","56.57","67.15","72.28","72.76","65.83","50.10","50.16","50.06","50.09","50.94","51.73","52.65","52.73","52.78","52.60","52.52","52.57","52.70","52.65"
"Latvia","1.38","1.38","0.81","0.65","0.61","0.73","0.56","0.62","0.93","0.90","0.91","0.94","0.90","0.82","0.81","0.82","0.67","0.82","0.82","0.78","0.68","0.82","0.11","0.17"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","7.09","7.09","7.33","7.58","7.82","8.06","8.30","7.95","7.58","7.26","6.63","6.12","7.00","6.84","7.14","7.14","6.86","6.30","6.24","6.01","4.25","5.78","5.52","6.01"
"New Zealand","0.49","0.49","0.50","0.49","0.50","0.52","0.55","0.52","0.54","0.56","0.55","0.52","0.60","0.52","0.63","0.56","0.55","0.58","0.58","0.64","0.52","0.55","0.55","0.49"
"Norway","0.26","0.26","0.21","0.16","0.14","0.20","0.25","0.19","0.20","0.18","0.16","0.18","0.14","0.21","0.13","0.17","0.14","0.16","0.16","0.16","0.10","0.33","0.27","0.36"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","2.47","2.47","1.96","2.76","2.96","2.89","2.80","2.80","2.88","2.56","2.73","2.93","1.13","0.08","0.06","0.01","0.02","0.09","0.11","0.06","0.03","0.05","0.05","0.07"
"Romania","16.94","12.24","12.07","6.48","6.84","7.38","8.46","6.91","7.61","6.90","5.24","5.05","3.50","3.14","3.59","5.02","6.05","6.53","5.32","4.68","3.21","3.84","3.94","4.95"
"Russian Federation","205.49","205.49","199.70","143.13","128.00","120.27","106.35","108.46","99.73","82.54","88.48","134.27","141.03","138.11","139.95","143.15","170.79","154.15","157.25","176.01","144.99","150.85","156.80","161.70"
"Slovakia","","","","","","","","","","","","8.74","8.37","9.29","9.19","8.25","7.95","9.61","7.29","5.89","4.89","6.32","5.39","6.17"
"Slovenia","1.71","0.56","0.38","0.27","0.29","0.30","0.30","0.32","0.31","0.32","0.31","0.37","0.38","0.38","0.36","0.25","0.28","0.30","0.28","0.29","0.21","0.27","0.27","0.27"
"Spain","11.86","11.86","13.28","10.66","10.54","13.60","13.85","11.48","11.33","9.75","9.20","10.68","12.86","12.29","12.43","12.87","10.81","10.01","9.80","11.46","10.33","12.22","10.12","9.77"
"Sweden","1.71","1.71","1.82","1.67","1.59","1.55","1.34","1.12","1.14","1.17","1.15","1.20","1.26","1.24","1.30","1.30","1.24","1.28","1.28","1.29","0.94","1.22","1.18","1.02"
"Switzerland","0.31","0.31","0.35","0.33","0.36","0.32","0.12","0.11","0.12","0.13","0.12","0.13","0.13","0.14","0.14","0.16","0.15","0.19","0.18","0.17","0.13","0.15","0.14","0.15"
"Turkey","29.60","29.60","30.18","29.93","29.51","29.03","30.37","33.67","33.75","30.49","30.25","31.90","29.66","28.16","30.38","30.30","29.86","29.12","32.25","40.26","40.05","20.73","24.08","18.16"
"Ukraine","259.57","259.57","","","","","","","","118.80","126.01","136.33","133.64","126.67","129.96","129.07","127.59","136.63","147.11","128.97","103.34","108.94","127.37","124.72"
"United Kingdom of Great Britain and Northern Ireland","31.17","31.17","30.06","31.37","34.20","37.86","37.92","37.11","37.55","37.42","40.22","26.38","25.04","19.42","20.27","19.59","19.50","20.06","19.04","17.89","14.28","13.06","13.05","13.35"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
