"Category","1.AA.2.B Non-Ferrous Metals"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","69.72","69.72","76.28","78.61","80.68","83.37","83.89","83.78","84.28","83.28","85.77","89.26","86.39","87.39","89.14","91.56","98.68","100.23","103.74","103.29","96.39","94.74","102.54","107.02"
"Austria","0.25","0.25","0.21","0.19","0.22","0.29","0.22","0.18","0.24","0.22","0.20","0.20","0.19","0.21","0.20","0.20","0.20","0.20","0.22","0.22","0.21","0.20","0.22","0.21"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.52","0.52","0.22","0.26","0.35","0.63","0.47","0.52","0.53","0.49","0.51","0.17","0.15","0.25","0.31","0.28","0.25","0.27","0.26","0.11","0.13","0.14","0.10","0.13"
"Bulgaria","1.05","1.19","1.47","0.87","1.10","1.15","1.26","0.98","1.20","1.25","1.13","0.99","0.92","0.70","0.71","0.90","0.80","0.81","0.74","0.37","0.35","0.38","0.36","0.32"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.02"
"Czech Republic","","","","","","","","","","","","","","","9.82","12.38","11.78","0.16","0.18","0.14","0.12","0.19","0.15","0.13"
"Denmark","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Estonia","","","","","","","","","","","","0.00","","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.01","0.02","0.00","0.01"
"European Union (15)","17.17","17.17","19.19","18.99","16.74","17.92","18.13","19.09","21.82","21.77","21.00","22.30","22.55","22.35","22.42","22.64","21.39","18.60","17.85","16.13","14.12","15.46","13.85","12.75"
"European Union (28)","19.47","19.47","21.75","20.63","18.59","19.74","19.87","20.59","23.36","23.42","22.52","24.32","24.58","24.20","34.13","37.30","35.65","20.90","20.13","17.97","15.75","17.24","15.74","14.53"
"Finland","0.69","0.69","0.50","0.31","0.36","0.24","0.10","0.28","0.32","0.31","0.36","0.32","0.31","0.31","0.31","0.33","0.11","0.10","0.09","0.13","0.10","0.10","0.11","0.10"
"France","3.40","3.40","3.97","3.70","2.16","2.21","2.48","2.42","2.63","2.69","2.44","2.47","2.47","1.84","1.65","1.64","2.29","1.76","1.48","1.45","1.30","1.32","1.08","1.05"
"Germany","2.21","2.21","1.53","1.71","1.48","1.26","1.82","1.73","1.91","1.92","1.86","1.83","1.90","1.84","1.73","1.83","1.60","1.37","1.30","1.23","0.97","0.98","0.90","0.92"
"Greece","2.48","2.48","2.53","2.53","2.89","2.67","2.67","3.07","2.70","2.76","2.41","3.16","2.72","2.85","3.12","2.98","2.65","2.85","2.83","2.69","1.41","1.66","1.75","1.66"
"Hungary","","0.31","0.46","0.38","0.33","0.23","0.23","0.30","0.25","0.31","0.29","0.32","0.35","0.36","0.34","0.47","0.61","0.39","0.39","0.39","0.23","0.29","0.30","0.26"
"Iceland","0.03","0.03","0.04","0.05","0.04","0.04","0.04","0.04","0.04","0.06","0.06","0.07","0.07","0.09","0.07","0.06","0.05","0.04","0.04","0.04","0.04","0.04","0.03","0.02"
"Ireland","2.06","2.06","2.11","2.38","2.39","2.97","2.82","2.87","3.29","3.34","3.18","2.94","2.44","2.54","2.69","2.77","2.82","1.97","1.95","1.68","1.14","1.50","1.82","2.24"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","9.46","9.46","18.27","16.77","17.14","18.27","17.65","17.27","16.97","15.53","19.54","17.44","15.33","13.23","12.60","11.97","11.35","11.35","11.36","11.35","11.35","11.34","11.35","11.34"
"Latvia","","","","","","","","","","0.00","0.01","0.01","0.04","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.38","0.38","0.54","0.70","0.87","1.03","1.19","1.03","0.86","0.69","0.46","0.47","0.53","0.46","0.41","0.78","0.60","0.71","0.79","0.71","0.62","0.74","0.74","0.42"
