"Category","1.AA.2.C Chemicals"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","42.66","42.66","44.01","40.90","42.19","41.96","42.97","44.95","43.18","48.34","46.45","48.18","53.87","49.93","49.76","54.81","50.31","47.72","44.00","50.49","53.34","53.10","41.60","42.51"
"Austria","1.69","1.69","1.52","1.45","1.37","1.16","1.01","1.17","1.31","1.17","1.64","1.53","1.35","1.35","1.50","1.48","1.59","1.36","1.31","1.54","1.45","1.64","1.81","1.82"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.93","1.93","2.82","1.83","1.56","1.88","2.56","2.05","1.97","2.57","2.43","2.84","2.43","2.51","1.44","1.57","1.79","1.83","1.78","1.53","1.74","1.82","1.97","1.56"
"Bulgaria","0.32","7.35","5.32","3.81","3.98","4.08","4.75","6.19","10.95","9.17","7.45","7.72","7.94","5.66","6.28","6.12","5.77","5.39","5.51","4.70","2.17","2.49","3.14","2.80"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01","0.01","0.01"
"Czech Republic","","","","","","","","","","","","","","","8.80","11.10","10.56","9.48","8.97","9.39","9.21","8.99","7.84","7.19"
"Denmark","0.46","0.46","0.52","0.55","0.53","0.54","0.53","0.58","0.57","0.60","0.55","0.54","0.57","0.54","0.52","0.49","0.38","0.31","0.20","0.20","0.18","0.30","0.28","0.27"
"Estonia","0.98","0.98","0.78","0.70","0.35","0.44","0.58","0.82","0.77","0.45","0.30","0.28","0.30","0.07","0.25","0.37","0.36","0.36","0.35","0.41","0.05","0.02","0.02","0.07"
