"Category","1.AA.2.D Pulp, Paper and Print"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","4.27","4.27","4.04","4.18","4.32","4.31","4.47","4.33","4.57","4.27","4.73","4.63","4.39","4.42","3.04","2.93","3.01","3.03","3.19","2.09","3.82","4.17","3.61","3.53"
"Austria","7.00","7.00","7.78","6.33","6.48","6.90","6.14","5.50","6.56","5.82","5.59","5.07","5.52","4.64","4.91","4.78","5.60","5.16","5.16","5.05","5.15","5.32","5.08","5.04"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.79","0.79","1.54","1.21","0.81","1.17","1.86","1.81","2.14","2.12","2.12","3.25","2.31","1.80","1.76","1.56","1.34","1.28","1.29","1.15","1.11","1.11","1.05","1.00"
"Bulgaria","2.28","0.04","0.02","0.16","0.03","0.02","0.04","0.05","0.82","0.75","0.52","0.54","0.37","1.07","0.88","0.70","0.82","0.67","0.77","0.70","0.25","0.76","0.89","0.87"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Czech Republic","","","","","","","","","","","","","","","1.35","1.71","1.62","1.20","1.67","3.05","2.13","2.25","2.44","2.30"
"Denmark","0.42","0.42","0.44","0.32","0.26","0.27","0.22","0.29","0.34","0.32","0.31","0.26","0.25","0.25","0.25","0.23","0.25","0.24","0.29","0.31","0.35","0.37","0.37","0.37"
"Estonia","","","","0.01","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.01","0.02","0.01","0.02"
"European Union (15)","76.81","76.81","82.69","80.23","78.76","83.97","80.19","75.12","74.97","74.19","74.10","76.86","72.31","71.10","72.94","73.61","72.39","75.41","72.88","71.19","63.92","67.59","65.75","66.05"
"European Union (28)","79.24","79.24","85.62","82.76","80.47","85.87","83.01","77.80","78.08","77.35","76.99","81.79","77.48","77.59","81.45","80.86","79.78","81.75","79.42","78.43","68.71","74.20","71.90","72.31"
"Finland","20.08","20.08","20.00","19.92","21.60","22.94","20.75","19.94","20.27","20.28","21.40","21.09","19.13","18.29","18.98","20.14","17.55","21.41","20.36","19.27","14.99","17.69","16.93","17.33"
"France","11.71","11.71","12.27","12.72","11.75","12.36","12.39","11.98","12.03","12.52","11.55","11.07","9.31","8.32","8.72","9.65","9.88","9.86","9.24","7.64","6.86","7.44","6.71","6.54"
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","0.61","0.61","0.59","0.57","0.53","0.49","0.43","0.57","0.65","0.54","0.58","0.67","0.59","0.60","0.60","0.43","0.39","0.44","0.43","0.38","0.29","0.26","0.22","0.17"
"Hungary","","0.11","0.09","0.12","0.14","0.13","0.17","0.21","0.26","0.31","0.30","0.27","0.31","0.33","0.31","0.27","0.25","0.31","0.32","0.30","0.23","0.25","0.25","0.24"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.05","0.05","0.05","0.06","0.07","0.09","0.10","0.11","0.12","0.14","0.15","0.17","0.16","0.15","0.14","0.13","0.08","0.05","0.02","0.04","0.04","0.03","0.03","0.03"
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","51.76","51.76","49.98","52.41","53.55","54.86","55.15","61.50","61.91","57.88","52.45","53.33","54.15","55.00","53.58","52.16","50.78","50.79","50.79","50.76","50.74","50.71","50.73","50.71"
"Latvia","0.31","0.31","0.28","0.25","0.14","0.05","0.07","0.02","0.02","0.01","0.02","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","1.43","1.43","1.72","1.07","0.63","0.62","0.50","0.40","0.39","0.43","0.35","0.26","0.28","0.39","0.38","0.37","0.38","0.34","0.36","0.36","0.29","0.36","0.29","0.30"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","2.92","2.92","2.85","2.78","2.71","2.65","2.58","2.40","2.22","2.03","1.08","2.16","1.92","2.08","2.12","1.98","1.82","1.71","1.64","1.48","1.25","1.32","1.27","1.28"
"New Zealand","3.82","3.82","3.92","3.91","4.10","4.34","4.48","4.36","4.45","4.70","5.12","5.54","5.46","5.46","5.26","5.86","5.66","5.22","5.24","4.84","4.51","4.90","4.98","5.09"
"Norway","1.34","1.34","1.49","1.27","1.35","2.01","1.90","2.18","1.92","1.88","1.82","1.51","1.88","1.72","1.80","1.73","1.68","1.80","1.60","1.63","1.31","1.56","1.53","1.03"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","3.41","3.41","3.66","3.83","3.89","4.04","3.83","3.74","3.83","3.88","3.96","4.02","3.59","3.70","3.60","3.92","3.85","3.97","3.89","3.89","4.44","4.71","4.87","4.82"
"Romania","0.00","","","0.08","0.03","0.24","1.09","1.07","0.99","0.89","0.85","1.01","0.94","1.30","1.96","0.96","0.96","0.89","0.86","0.26","0.19","0.36","0.09","0.14"
