"Category","1.AA.2.F Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","146.76","146.76","135.91","134.67","135.47","138.29","142.20","142.38","149.49","146.71","149.05","148.95","150.58","162.34","147.23","144.64","146.09","137.86","148.16","153.15","159.02","157.84","180.49","188.73"
"Austria","16.88","16.88","17.20","16.87","17.03","16.75","16.16","17.97","18.04","18.16","17.19","18.31","17.65","17.78","18.93","19.36","20.59","21.76","22.24","21.62","20.07","19.79","20.03","19.84"
"Belarus","19.17","19.17","20.81","19.40","18.33","17.29","17.22","18.08","18.20","18.95","18.63","18.11","17.22","17.73","19.18","21.23","22.27","22.81","23.33","23.48","21.95","21.87","22.13","26.91"
"Belgium","45.61","45.61","44.86","47.14","49.21","38.70","54.24","48.18","40.84","50.14","40.13","50.75","48.10","36.89","35.09","40.07","39.26","36.17","36.99","37.42","30.23","33.49","33.75","30.68"
"Bulgaria","35.53","35.57","31.69","31.49","28.57","28.23","29.17","30.02","13.63","12.70","10.37","9.31","9.11","9.52","11.93","10.68","10.49","10.98","12.39","8.21","5.46","5.79","4.94","4.63"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","16.33","16.33","10.46","7.61","7.72","8.22","7.57","7.70","8.03","8.31","7.10","7.73","8.66","8.04","9.36","11.45","10.10","10.62","11.75","13.00","9.99","8.76","8.24","7.36"
"Cyprus","2.50","2.50","2.39","2.54","2.73","2.84","2.74","2.91","2.82","2.71","2.72","2.79","2.74","2.81","2.79","2.97","2.92","3.03","3.00","2.94","2.50","2.08","2.06","1.83"
"Czech Republic","80.67","80.67","88.00","76.88","70.00","68.04","56.00","53.00","64.10","51.52","47.90","45.91","38.87","35.55","4.40","5.55","5.28","19.06","18.53","16.66","14.02","16.21","13.44","12.37"
"Denmark","20.74","20.74","22.76","23.66","23.60","23.30","23.53","24.52","24.74","25.03","24.16","24.71","24.34","22.91","21.91","21.32","21.04","20.91","19.85","17.74","12.72","12.41","11.79","10.92"
