"Category","1.AA.3.A Civil Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","9.03","9.03","11.16","12.06","12.64","13.38","15.70","17.18","18.34","16.67","16.25","16.86","18.69","16.77","16.03","16.78","18.23","19.13","20.65","22.23","22.61","22.82","24.52","25.22"
"Austria","0.08","0.08","0.10","0.12","0.14","0.16","0.18","0.20","0.23","0.25","0.26","0.26","0.24","0.25","0.25","0.26","0.26","0.28","0.29","0.27","0.26","0.24","0.21","0.20"
"Belarus","","","","","","","","","","","","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.02","0.01","0.01","0.02","0.02","0.15"
"Belgium","0.06","0.06","0.06","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.05","0.05","0.04","0.04","0.08","0.07","0.06","0.07","0.07","0.07","0.07","0.07","0.06"
"Bulgaria","0.73","0.47","0.38","0.38","0.35","0.35","0.32","0.29","0.27","0.23","0.56","0.21","0.47","0.27","0.25","0.20","0.14","0.25","0.43","0.13","0.24","0.16","0.22","0.11"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.65","0.65","0.13","0.09","0.25","0.39","0.33","0.28","0.27","0.28","0.28","0.23","0.23","0.22","0.21","0.24","0.28","0.30","0.31","0.37","0.32","0.34","0.37","0.39"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.03","0.03","0.02"
"Czech Republic","1.07","1.07","2.00","0.96","0.90","0.85","0.80","0.10","0.10","0.10","0.09","0.74","9.50","9.00","0.02","0.03","0.38","0.07","0.14","0.65","0.60","0.05","0.05","0.05"
"Denmark","1.28","1.28","1.09","1.07","1.06","1.09","1.13","1.16","1.20","1.14","1.04","0.94","0.94","0.82","0.79","0.73","0.77","0.81","0.90","0.92","0.83","0.82","0.80","0.78"
"Estonia","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00"
"European Union (15)","50.87","50.87","50.55","52.16","49.59","49.97","53.31","58.49","62.20","64.84","70.39","73.23","71.01","68.02","66.79","70.25","72.65","72.86","74.03","71.60","67.39","66.15","64.58","60.80"
"European Union (28)","53.23","53.23","53.22","53.70","51.25","51.63","54.82","59.24","62.92","65.54","71.42","74.57","81.29","77.59","67.37","70.85","73.58","73.63","75.07","72.92","68.69","66.84","65.37","61.50"
"Finland","1.18","1.18","1.03","0.95","0.87","0.79","0.81","1.01","1.12","1.28","1.28","1.31","1.28","1.09","1.17","1.19","1.08","1.02","0.93","0.92","0.85","0.79","0.81","0.68"
"France","10.85","10.85","11.24","11.52","11.36","11.78","13.17","14.26","14.22","14.47","14.95","15.39","14.31","13.94","12.37","12.59","12.37","11.76","11.59","11.70","11.49","11.58","12.23","11.76"
"Germany","8.92","8.92","8.59","8.08","7.33","7.55","7.72","8.03","8.63","8.53","8.68","9.25","8.71","8.32","7.98","7.80","8.06","8.50","8.78","8.93","8.59","7.88","7.07","7.40"
"Greece","1.12","1.12","0.98","1.07","1.18","1.18","1.25","1.35","1.53","1.56","1.86","2.07","1.85","1.59","1.82","1.97","1.86","1.96","2.07","1.99","2.23","2.01","1.76","1.77"
"Hungary","","","","","","","","","","","","0.07","0.01","","","","","","","","","","",""
"Iceland","0.14","0.14","0.13","0.11","0.11","0.10","0.13","0.14","0.13","0.14","0.13","0.12","0.10","0.09","0.09","0.10","0.11","0.12","0.09","0.11","0.09","0.09","0.09","0.09"
"Ireland","0.25","0.25","0.22","0.22","0.19","0.20","0.23","0.25","0.26","0.29","0.33","0.35","0.35","0.35","0.36","0.37","0.34","0.40","0.34","0.31","0.24","0.17","0.08","0.05"
