"Category","1.AA.3.B Road Transportation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","268.06","268.06","262.98","301.99","308.90","313.89","322.43","326.13","325.64","317.57","308.39","299.47","285.34","281.69","275.38","269.31","244.56","231.83","224.54","205.76","200.93","193.99","191.02","188.38"
"Austria","102.25","102.25","108.46","105.81","105.74","102.35","101.50","122.94","108.04","123.91","116.64","125.55","132.90","141.47","149.68","148.63","148.94","134.39","130.82","120.13","111.30","113.45","104.68","101.10"
"Belarus","124.42","124.42","121.14","99.14","80.69","49.37","43.18","41.64","36.90","32.96","25.85","20.20","20.18","28.87","26.24","30.69","31.50","40.08","38.66","44.88","36.31","36.67","50.82","55.19"
"Belgium","172.90","172.90","169.25","161.37","156.42","153.13","148.21","143.81","140.43","140.61","140.55","137.07","136.41","134.75","132.03","131.42","129.21","128.20","124.63","110.91","104.28","104.69","100.52","95.83"
"Bulgaria","79.55","65.50","39.18","40.44","42.82","37.06","36.98","35.75","37.24","43.08","41.99","37.60","38.27","37.33","41.54","41.63","40.88","41.02","36.15","36.73","33.72","31.59","31.19","32.93"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","37.13","37.13","26.59","25.38","26.71","28.63","28.59","30.85","31.79","33.43","34.70","32.62","31.72","33.43","33.53","33.28","31.73","31.92","31.84","30.57","27.96","26.53","24.98","22.66"
"Cyprus","9.02","9.02","9.06","10.11","10.01","10.72","10.03","10.09","10.12","10.14","10.13","10.97","10.32","10.17","10.27","9.57","9.15","8.66","8.86","8.72","7.75","7.66","7.19","6.35"
"Czech Republic","180.11","180.11","190.00","198.34","195.00","183.41","178.70","176.80","187.70","184.06","187.82","189.23","110.85","95.80","92.83","97.76","97.42","89.65","86.66","80.69","80.53","67.26","63.66","58.03"
"Denmark","109.44","109.44","112.75","111.73","109.27","109.07","103.89","99.57","95.84","91.62","87.78","82.63","80.00","76.69","75.62","73.76","70.31","68.32","66.53","59.57","52.32","50.26","48.49","44.66"
"Estonia","25.25","25.25","22.95","11.29","12.45","16.15","15.79","16.63","17.35","15.39","15.63","15.35","16.78","16.16","13.91","13.46","13.28","13.24","12.88","11.69","9.54","9.76","9.77","9.37"
"European Union (15)","6,481.59","6,481.59","6,475.28","6,546.29","6,355.79","6,105.94","5,902.30","5,726.69","5,496.01","5,348.19","5,210.94","4,981.43","4,822.01","4,628.84","4,432.47","4,319.61","4,104.14","3,953.42","3,789.87","3,469.92","3,157.26","3,021.49","2,868.72","2,660.90"
"European Union (28)","7,177.94","7,177.94","7,089.91","7,140.74","6,913.68","6,657.54","6,455.15","6,318.67","6,101.32","5,951.87","5,791.93","5,555.07","5,351.73","5,156.81","4,956.84","4,858.33","4,581.21","4,428.75","4,252.43","3,929.74","3,589.18","3,426.88","3,252.14","3,023.20"
"Finland","134.31","134.31","123.77","118.98","115.55","110.75","106.28","100.70","95.24","89.30","84.31","78.49","73.92","69.81","66.22","61.38","57.21","53.21","50.66","47.29","44.41","43.34","42.04","38.98"
"France","1,187.37","1,187.37","1,190.13","1,206.78","1,173.14","1,144.10","1,089.05","1,048.60","1,016.88","988.93","961.85","928.99","902.39","871.30","829.92","808.61","766.15","736.16","712.52","647.02","600.28","594.26","571.16","540.77"
"Germany","1,342.65","1,342.65","1,271.77","1,272.32","1,246.30","1,162.48","1,162.92","1,112.40","1,086.13","1,084.34","1,095.25","1,053.90","987.40","932.75","857.82","816.99","753.25","731.59","665.00","582.61","529.62","508.23","480.27","460.01"
"Greece","144.27","144.27","146.27","146.74","150.44","151.84","144.56","146.10","148.31","149.66","151.30","151.23","153.12","151.68","151.42","152.06","147.14","148.83","146.97","141.97","136.46","103.68","85.45","68.10"
"Hungary","","116.00","98.40","94.30","81.00","82.80","86.72","89.10","92.90","97.60","99.07","100.05","102.14","115.38","104.10","104.64","74.55","81.22","77.27","77.40","76.94","71.40","61.02","50.48"
"Iceland","5.78","5.78","6.03","6.18","6.12","6.18","5.19","4.99","4.41","4.41","3.44","3.55","3.58","3.62","4.28","4.56","4.12","5.34","5.59","5.00","5.05","4.61","4.52","4.55"
"Ireland","46.95","46.95","47.44","51.62","48.22","47.41","48.81","53.46","52.74","58.43","58.73","58.75","58.60","53.84","52.81","53.31","51.49","49.49","49.66","45.13","40.02","36.12","35.37","33.84"
"Italy","952.03","952.03","994.74","1,057.92","1,052.72","1,009.70","998.10","961.16","930.13","867.33","824.93","752.47","747.33","709.77","682.98","657.61","613.52","582.95","559.97","529.99","501.77","483.04","478.06","420.68"
"Japan","715.55","715.55","726.72","714.37","689.97","681.55","685.37","681.47","666.45","639.53","637.90","634.02","611.46","644.15","634.59","590.93","562.44","550.76","518.75","469.63","412.84","360.37","310.41","259.54"
"Latvia","24.22","24.22","22.60","20.32","19.90","18.88","17.82","17.09","16.63","16.20","16.00","18.27","21.06","20.44","19.95","19.32","18.41","18.81","19.06","16.62","13.59","14.22","12.14","11.87"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","55.03","55.03","50.82","42.90","28.73","23.23","30.97","32.96","35.37","35.37","30.97","28.15","29.75","28.89","28.83","29.53","29.35","31.45","29.88","30.75","27.31","27.77","25.05","27.11"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","3.21","3.21","3.41","3.62","3.81","3.98","4.09","4.32","4.45","4.54","4.62","3.42","3.86","3.77","3.60","3.19","3.08","2.92","2.89","2.78","2.70","2.71","2.74","2.38"
"Monaco","0.31","0.31","0.36","0.41","0.36","0.36","0.32","0.30","0.27","0.24","0.23","0.20","0.19","0.18","0.18","0.17","0.16","0.15","0.16","0.15","0.14","0.12","0.13","0.14"
"Netherlands","251.84","251.84","243.54","237.63","220.35","206.07","192.59","181.11","170.42","162.55","161.24","151.53","143.68","136.44","130.44","127.71","124.00","120.13","118.12","115.71","105.83","100.55","95.60","89.47"
"New Zealand","32.81","32.81","33.41","35.75","38.43","41.41","46.23","47.87","50.16","51.67","53.00","55.47","56.58","60.10","62.18","63.36","65.82","67.42","69.48","70.12","69.38","70.36","72.34","72.31"
"Norway","64.71","64.71","63.17","62.78","60.40","60.27","59.48","57.91","58.51","56.18","54.19","52.13","49.99","48.16","46.95","46.46","48.18","47.82","48.50","46.50","42.56","39.12","37.16","36.27"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","78.59","78.59","83.36","90.15","89.20","88.83","90.42","92.20","92.95","100.43","101.25","106.26","107.68","105.46","102.59","103.36","99.74","99.28","96.97","86.75","84.32","82.27","76.64","69.70"
"Romania","87.10","102.53","83.49","83.42","71.02","76.70","70.73","104.05","99.16","97.06","79.12","82.92","106.55","108.67","118.47","125.32","95.99","94.99","88.42","91.71","90.12","82.70","83.70","79.92"
"Russian Federation","1,699.73","1,699.73","1,624.63","1,560.41","1,200.38","1,014.98","915.46","867.80","846.27","997.74","1,007.65","645.98","724.04","741.06","764.41","794.21","852.91","923.43","983.92","1,075.80","1,072.54","1,181.61","1,708.90","1,332.28"
"Slovakia","50.76","50.76","42.31","38.39","37.76","39.74","41.07","39.98","39.50","39.82","37.33","32.03","35.07","35.50","34.91","37.79","41.47","39.56","43.84","43.25","37.64","40.51","37.77","37.09"
