"Category","1.AA.3.C Railways"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","37.95","37.95","37.94","36.73","36.11","35.04","33.95","34.00","34.26","34.29","34.33","34.27","32.65","34.28","35.87","39.80","41.46","41.62","42.52","50.71","52.24","56.86","59.19","61.38"
"Austria","1.82","1.82","1.67","1.66","1.63","1.66","1.56","1.42","1.43","1.42","1.48","1.50","1.46","1.59","1.60","1.59","1.83","1.83","1.79","1.77","1.71","1.69","1.66","1.65"
"Belarus","0.39","0.39","2.17","3.86","5.90","5.10","5.85","7.37","8.79","10.20","10.58","11.30","11.11","11.27","11.74","11.73","12.14","12.54","12.52","13.06","11.77","11.76","13.97","14.85"
"Belgium","4.67","4.67","4.55","4.54","4.15","4.13","3.91","3.61","3.41","3.46","3.31","3.38","2.95","2.57","2.42","2.27","2.18","2.62","2.78","2.56","1.91","1.68","1.62","1.46"
"Bulgaria","","4.08","3.37","4.16","4.75","3.48","3.09","1.94","1.70","1.62","1.50","1.50","1.31","1.23","1.11","1.15","1.15","1.15","0.99","1.27","0.79","0.79","0.71","0.87"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.47","1.47","1.69","1.18","1.23","1.15","1.28","1.21","1.17","1.24","1.17","1.08","1.11","1.10","1.11","1.16","1.21","1.28","1.29","1.28","1.13","1.13","1.05","0.98"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","26.47","26.47","15.00","8.67","9.00","12.20","12.00","8.60","7.30","6.29","5.74","6.63","8.20","7.00","7.40","7.80","3.02","2.85","3.22","3.12","3.22","3.12","3.05","2.95"
"Denmark","4.91","4.91","4.99","5.28","5.48","4.97","5.01","4.98","4.85","4.09","3.73","3.73","3.40","3.40","3.54","3.48","3.72","3.54","3.56","2.92","2.60","2.82","2.50","2.53"
