"Category","1.AA.3.D Navigation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","44.45","44.45","36.86","36.44","31.01","27.01","37.59","39.49","38.15","29.98","23.35","25.28","22.52","21.65","21.47","23.13","22.12","21.32","33.42","33.13","33.49","39.27","39.56","32.40"
"Austria","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.07","0.07","0.07","0.07","0.06","0.06","0.06","0.08","0.08","0.08","0.08","0.06","0.05","0.05","0.06","0.06"
"Belarus","","","","","","","","","","","","","","","0.16","","0.26","0.33","0.35","0.35","0.31","0.37","0.42","0.26"
"Belgium","6.53","6.53","6.39","6.25","6.13","6.35","6.64","6.77","6.88","7.03","7.29","7.89","8.01","8.16","8.31","8.66","8.66","7.32","7.89","7.90","6.64","7.78","7.71","7.38"
"Bulgaria","","1.12","0.06","0.12","0.18","0.25","0.25","0.37","0.12","0.18","0.18","","0.11","0.17","0.21","0.19","0.23","0.24","0.26","0.31","0.22","0.17","0.19","0.17"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.73","1.73","1.36","1.98","1.61","0.82","1.24","1.92","1.53","1.21","1.17","1.15","1.23","1.48","1.49","1.24","1.35","1.41","1.46","1.77","1.95","1.48","1.50","1.42"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","0.10","0.11","0.13"
"Czech Republic","2.29","2.29","3.00","2.00","2.00","1.95","1.50","1.40","0.90","0.77","0.73","0.68","0.80","0.60","0.70","0.50","0.17","0.20","0.17","0.17","0.17","0.14","0.10","0.17"
"Denmark","14.08","14.08","13.60","13.29","13.13","13.33","14.11","15.18","13.99","11.59","9.18","8.57","8.66","8.76","8.94","9.16","9.26","9.61","9.56","9.82","10.02","10.12","9.67","9.31"
"Estonia","0.45","0.45","0.38","0.32","0.32","0.26","0.25","0.45","0.39","0.38","0.34","0.47","0.45","0.68","0.53","0.53","0.51","0.70","1.11","1.22","0.48","0.48","0.30","0.26"
"European Union (15)","372.32","372.32","383.48","383.83","378.81","386.62","369.33","383.40","362.89","384.43","370.94","331.99","336.13","329.73","342.14","346.76","342.15","347.42","326.59","309.93","312.14","309.63","291.06","279.32"
"European Union (28)","407.86","407.86","418.23","413.34","393.23","400.04","381.25","399.58","389.72","404.07","389.97","343.85","347.78","342.15","353.00","355.30","351.20","355.80","338.90","321.75","322.40","321.21","300.77","288.85"
