"Category","1.AA.3.E Other Transportation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","0.21","0.21","0.21","0.21","0.21","0.22","0.22","0.22","0.22","0.22","0.22","0.23","0.22","0.23","0.23","0.24","0.24","0.24","0.24","0.24","0.24","0.24","0.24","0.25"
"Austria","0.61","0.61","0.61","0.60","0.58","0.57","0.61","0.63","0.63","0.95","1.18","0.92","1.35","0.75","1.01","1.01","0.98","1.28","1.21","1.54","1.13","0.86","1.08","1.07"
"Belarus","","","","","","","","","","","","0.25","0.28","0.36","0.42","0.46","0.40","0.69","0.83","0.91","0.72","0.61","0.55","0.63"
"Belgium","0.62","0.62","0.62","0.63","0.71","0.60","0.70","0.70","0.65","0.65","0.59","0.63","0.62","0.59","0.63","0.69","0.66","0.66","0.59","0.59","0.57","0.58","0.53","0.47"
"Bulgaria","","1.42","","","0.03","0.03","0.03","0.03","0.07","0.56","0.55","1.03","0.87","0.87","0.55","0.84","1.36","1.43","1.65","1.62","0.88","0.88","1.28","1.28"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.89","0.89","0.60","0.08","0.60","0.56","0.60","0.90","0.90","0.73","0.05","0.64","0.08","0.27","0.21","0.61","","0.38","0.29","0.39","0.57","0.30","0.18","0.17"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","72.39","72.39","75.00","68.85","68.96","68.85","69.31","70.18","69.12","68.86","71.13","67.42","63.19","59.13","56.38","54.82","52.89","50.85","45.21","44.01","41.03","38.56","36.06","33.48"
"European Union (28)","101.07","101.07","95.23","83.95","82.67","81.17","81.81","78.98","77.25","76.44","76.29","72.60","67.32","63.46","60.16","59.38","58.11","56.61","51.21","50.35","45.66","42.99","40.82","38.26"
"Finland","7.02","7.02","7.01","6.90","6.76","6.67","6.58","6.75","6.89","6.98","6.91","6.80","6.66","6.38","6.14","5.87","5.44","5.23","5.13","4.95","4.05","4.24","4.26","3.86"
"France","3.88","3.88","4.56","5.10","4.49","5.01","5.54","6.23","5.66","5.23","6.54","5.58","4.58","3.01","2.87","3.79","3.87","2.67","1.22","1.16","0.94","0.85","0.57","0.59"
"Germany","50.62","50.62","51.40","44.22","45.56","45.38","43.95","43.80","44.02","43.73","44.25","41.79","39.24","37.47","35.16","32.74","29.99","29.52","27.19","26.34","26.10","23.64","22.41","20.49"
"Greece","","","","","","","","","","","","","0.00","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.17","0.17","0.17","0.18","0.12","0.10","0.32","0.35","0.27","0.17","0.25","0.15","0.27","0.27","0.28","0.31","0.40","0.40","0.34","0.38","0.40","0.43","0.40","0.37"
"Italy","2.89","2.89","4.18","4.54","3.80","3.34","4.18","3.98","2.77","2.65","2.91","2.96","1.89","1.89","1.65","1.89","2.37","2.68","1.57","1.60","1.26","1.71","0.90","0.99"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","26.34","26.34","19.61","15.00","13.06","11.71","11.85","7.80","7.10","6.23","4.51","3.49","3.14","3.16","2.98","3.03","3.49","3.50","3.52","3.53","2.82","2.92","2.98","3.33"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","0.25","0.24","0.29","0.33","0.29","0.27","0.27","0.00"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","8.03","8.03","7.95","7.51","7.62","9.38","11.04","14.02","13.92","10.29","13.95","10.92","11.64","11.01","11.81","12.38","10.76","12.00","13.23","11.10","9.72","11.22","10.31","10.70"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
