"Category","1.AA.4.A Commercial/Institutional"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","4.89","4.89","4.87","4.78","4.71","4.68","4.79","4.93","4.89","4.84","4.87","5.20","5.28","5.38","5.10","4.93","5.07","5.17","5.14","5.18","5.32","5.38","5.07","5.15"
"Austria","3.38","3.38","3.00","3.33","3.30","2.90","3.50","3.67","2.96","2.74","3.55","2.96","3.61","3.39","3.77","3.41","2.76","3.09","2.25","2.39","2.05","1.92","1.49","1.15"
"Belarus","4.43","4.43","4.70","4.46","4.06","3.35","3.33","3.59","3.46","3.58","3.26","2.52","2.36","2.07","2.06","1.94","1.97","2.11","3.28","3.67","3.16","3.02","1.42","1.71"
"Belgium","3.50","3.50","4.49","4.43","4.70","4.93","4.88","5.83","5.37","5.40","5.45","4.32","4.57","4.44","4.47","4.48","4.26","3.86","3.52","3.95","3.91","4.11","3.32","3.85"
"Bulgaria","","8.05","2.98","0.70","0.76","2.29","0.69","0.63","0.19","0.66","0.59","0.45","0.74","0.50","0.40","0.23","0.31","0.51","0.42","0.54","0.49","0.41","0.38","0.50"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.85","0.85","0.53","0.33","0.41","0.46","0.46","0.46","0.51","0.45","0.47","0.44","0.56","0.61","0.62","0.61","0.61","0.55","0.50","0.51","0.55","0.58","0.55","0.49"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","10.79","10.79","8.00","8.99","9.00","6.04","6.00","6.10","7.60","5.85","5.88","5.53","4.95","7.21","4.22","4.53","5.27","3.61","3.24","3.84","4.47","4.38","4.00","4.22"
"Denmark","1.47","1.47","1.40","1.30","1.33","1.51","1.67","1.72","1.77","1.66","1.74","1.48","1.37","1.35","1.53","1.31","1.32","1.27","1.15","1.17","1.13","1.11","1.00","0.97"
