"Category","1.AA.4.B Residential"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","5.80","5.80","5.83","6.01","6.31","6.24","6.63","6.91","7.02","7.18","7.19","7.42","7.51","7.36","8.01","7.63","7.36","7.44","7.67","7.64","7.74","7.82","8.02","8.04"
"Austria","13.88","13.88","15.13","13.96","13.41","12.37","13.10","14.07","14.42","14.41","14.60","13.82","14.30","13.26","13.19","12.64","13.28","12.38","11.60","11.80","11.18","12.19","10.83","11.38"
"Belarus","8.96","8.96","7.78","7.69","7.16","6.94","6.58","6.47","6.96","6.87","6.85","7.01","6.85","6.58","6.33","6.10","6.63","6.96","6.77","6.49","6.28","6.76","6.85","6.99"
"Belgium","16.37","16.37","17.66","17.66","17.74","17.29","18.11","21.35","18.47","18.94","17.93","15.17","16.63","15.59","15.93","15.27","14.63","14.08","12.83","13.58","12.78","13.62","10.73","11.40"
"Bulgaria","5.72","3.62","3.63","4.66","5.37","4.09","3.64","4.16","2.74","3.49","2.85","3.09","2.66","3.63","3.95","3.73","3.58","3.82","3.56","3.64","3.47","3.93","4.30","4.31"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","3.72","3.72","2.73","2.23","2.28","2.36","2.44","2.89","3.00","2.81","2.83","2.89","2.76","2.88","3.33","3.25","3.24","3.09","2.73","2.83","2.97","3.16","3.32","3.24"
"Cyprus","0.23","0.23","0.24","0.29","0.30","0.34","0.32","0.34","0.35","0.37","0.38","0.41","0.39","0.38","0.35","0.30","0.26","0.26","0.22","0.22","0.29","0.24","0.26","0.26"
"Czech Republic","24.04","24.04","19.00","19.06","16.00","16.00","16.00","14.80","15.50","13.85","14.25","13.63","14.41","15.11","16.61","16.07","11.04","10.07","9.66","6.36","6.29","7.26","6.39","6.21"
"Denmark","4.69","4.69","5.00","4.65","5.19","4.78","4.76","5.01","4.63","4.46","4.35","4.15","4.45","4.33","4.49","4.52","4.72","4.83","4.89","4.77","4.84","5.09","4.40","4.18"
"Estonia","2.10","2.10","1.93","1.11","1.01","1.19","1.93","2.24","2.24","1.76","1.75","1.75","1.68","1.69","1.73","1.74","1.53","1.50","1.84","1.90","1.96","2.03","1.79","1.90"
"European Union (15)","399.81","399.81","425.77","405.56","409.96","386.48","381.11","410.26","383.17","377.88","363.52","347.65","363.83","339.95","340.73","330.62","323.71","311.63","283.50","302.93","298.23","322.26","275.49","288.58"
"European Union (28)","485.82","485.82","506.21","476.31","478.34","449.94","444.96","478.54","452.71","443.99","428.89","412.17","427.02","404.70","411.58","400.88","390.94","376.18","344.15","363.00","358.46","385.02","335.96","348.99"
"Finland","6.99","6.99","6.89","6.91","6.88","6.65","6.61","6.84","6.84","6.91","6.76","6.46","7.11","7.18","7.16","7.13","6.90","6.99","6.88","6.81","7.11","7.88","6.54","7.11"
"France","63.08","63.08","72.68","70.31","68.62","64.05","64.00","69.40","64.11","66.43","65.21","63.30","71.64","66.87","69.01","70.09","70.27","66.21","61.96","66.13","66.86","71.42","59.19","65.23"
"Germany","91.87","91.87","92.67","86.75","93.15","89.28","89.11","96.08","94.81","89.70","81.17","78.47","86.08","78.45","77.63","71.01","68.71","70.85","56.52","68.28","66.04","73.71","63.68","66.94"
"Greece","3.85","3.85","3.85","3.94","3.78","3.68","3.74","4.84","5.00","5.17","5.15","5.60","5.91","5.92","6.93","6.72","6.80","6.66","6.09","5.90","5.28","4.81","5.67","5.10"
"Hungary","","18.59","18.81","15.10","15.68","13.96","13.43","13.77","13.00","11.31","11.73","11.24","12.01","12.28","13.58","12.17","12.95","12.29","10.48","10.61","10.58","11.13","10.67","9.83"
"Iceland","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.03","0.02","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01"
"Ireland","5.67","5.67","5.57","5.16","5.10","5.12","5.17","5.03","4.86","5.20","4.85","4.88","5.12","5.07","5.19","5.31","5.53","5.44","5.29","5.72","5.63","5.90","4.98","4.72"
"Italy","45.52","45.52","50.27","47.07","46.78","41.47","44.74","44.73","42.52","43.06","44.57","39.91","39.48","38.74","39.71","41.11","41.27","37.65","34.86","36.43","37.23","38.60","35.91","36.28"
"Japan","35.68","35.68","36.14","37.98","40.61","38.69","41.18","41.20","40.46","40.31","41.30","42.51","40.70","42.16","40.94","40.15","41.72","40.21","39.47","36.96","35.94","37.37","36.00","35.95"
"Latvia","2.80","2.80","3.35","2.98","3.16","3.01","2.91","3.01","2.81","2.73","2.62","2.54","2.83","2.75","2.90","2.94","3.00","2.91","2.85","2.84","3.13","2.98","2.56","2.65"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","4.35","4.35","4.74","2.83","3.57","3.30","3.27","3.53","3.58","3.59","3.70","3.84","3.92","3.90","3.98","4.02","4.15","4.34","4.20","4.34","4.39","4.46","4.33","4.35"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.03","0.04","0.04","0.04","0.05","0.05"
"Monaco","0.06","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.03","0.03"
"Netherlands","20.29","20.29","20.37","20.50","20.54","20.67","20.85","23.85","20.21","18.69","18.11","18.30","18.64","17.38","17.46","15.60","14.34","11.99","10.74","11.38","10.89","11.75","9.30","9.21"
"New Zealand","1.86","1.86","1.69","1.59","1.55","1.57","1.55","1.55","1.58","1.62","1.66","1.70","1.67","1.67","1.73","1.80","1.80","1.78","1.73","1.45","1.56","1.45","1.53","1.58"
"Norway","2.04","2.04","1.80","1.64","1.74","1.79","1.77","2.03","1.92","1.89","1.93","1.72","1.88","2.10","2.17","1.92","1.82","1.83","1.72","1.63","1.66","1.89","1.61","1.59"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
