"Category","1.AA.4.C Agriculture/Forestry/Fisheries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","62.94","62.94","63.33","64.26","66.48","68.85","70.94","71.20","74.20","76.03","78.65","81.39","99.97","101.42","113.16","113.17","119.46","110.61","108.91","110.09","109.46","112.21","112.84","114.43"
"Austria","10.47","10.47","10.50","10.52","10.45","10.39","10.06","10.52","11.13","10.98","11.13","10.77","11.14","10.90","10.35","10.43","10.74","10.44","10.19","9.96","8.90","8.47","8.62","7.90"
"Belarus","4.90","4.90","5.32","5.14","5.16","3.61","3.57","3.92","4.13","4.36","4.12","4.10","3.49","3.12","3.12","3.37","3.57","3.79","3.79","3.99","3.24","2.67","2.30","1.74"
"Belgium","9.82","9.82","9.81","9.89","9.91","9.46","9.25","9.39","9.29","9.22","9.25","8.99","8.74","8.68","8.84","9.06","9.03","8.93","8.67","8.85","9.20","9.60","8.54","9.00"
"Bulgaria","2.24","2.18","1.64","1.33","1.16","1.39","1.16","1.20","1.18","1.12","1.19","1.20","1.05","1.06","1.07","1.04","1.12","1.09","0.96","0.60","0.61","0.60","0.65","0.65"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","10.47","10.47","8.23","3.62","2.55","6.60","5.23","5.67","4.96","7.21","7.67","9.52","10.29","9.64","9.62","9.30","9.30","9.60","9.63","10.17","9.77","9.44","9.44","8.79"
"Cyprus","0.23","0.23","0.25","0.30","0.30","0.35","0.33","0.34","0.36","0.38","0.40","0.65","0.63","0.61","0.36","0.39","0.39","0.39","0.40","0.39","0.35","0.34","0.36","0.35"
"Czech Republic","2.86","2.86","2.00","1.30","2.00","1.00","1.00","0.80","0.80","0.56","0.66","0.80","0.52","0.71","0.36","0.40","0.39","0.41","0.25","0.28","0.49","0.79","0.85","1.29"
"Denmark","23.96","23.96","24.69","23.66","23.44","23.16","24.36","25.19","24.23","24.30","25.05","29.65","29.64","29.45","29.19","25.28","26.99","25.21","24.02","25.08","23.55","22.17","21.72","20.97"
"Estonia","0.69","0.69","0.66","0.50","0.48","0.20","0.17","0.19","0.17","0.18","0.09","0.13","0.29","0.32","0.34","0.32","0.29","0.28","0.27","0.27","0.27","0.28","0.34","0.34"
"European Union (15)","738.03","738.03","734.64","726.28","746.96","751.64","757.12","759.44","751.06","743.49","745.43","740.09","738.78","726.87","715.43","686.77","673.43","640.66","597.92","576.17","549.00","522.84","503.78","471.74"
"European Union (28)","796.23","796.23","784.62","762.35","780.41","785.76","787.94","790.20","779.72","772.63","773.99","770.45","768.85","756.63","745.23","715.15","700.92","669.28","625.69","604.44","576.00","551.64","532.60","499.09"
"Finland","17.92","17.92","17.77","17.37","16.83","16.58","16.09","16.64","16.92","17.08","16.45","15.84","15.23","14.59","13.98","13.20","12.17","11.51","10.91","10.25","9.69","9.42","8.84","8.94"
"France","170.18","170.18","170.03","167.92","171.13","171.16","171.43","169.20","170.48","170.28","171.40","171.57","173.52","171.53","171.19","171.97","166.31","157.52","145.94","142.47","137.26","126.26","121.79","118.44"
"Germany","67.95","67.95","67.29","57.60","60.05","59.74","60.90","61.64","60.19","59.11","61.92","58.41","56.97","54.99","53.18","50.99","48.46","48.51","47.37","47.50","47.12","48.35","47.96","46.08"
"Greece","42.34","42.34","43.94","40.68","39.67","39.96","37.10","37.67","37.61","37.61","37.62","37.63","38.12","42.02","45.81","38.83","40.87","40.88","36.66","35.21","27.75","24.67","26.33","14.23"
"Hungary","","11.05","10.48","9.82","9.79","9.79","9.75","9.99","9.99","9.84","9.96","9.72","8.87","9.44","9.33","8.42","7.76","8.45","8.01","8.55","7.75","9.12","8.85","7.58"
"Iceland","15.99","15.99","16.42","17.99","18.75","18.48","18.77","20.20","19.76","19.07","18.75","17.62","15.63","17.27","16.42","15.69","15.29","13.38","13.71","12.58","14.52","12.99","12.15","11.79"
"Ireland","6.51","6.51","6.99","7.31","7.55","8.80","10.33","8.49","8.95","9.03","9.67","10.16","10.35","10.11","13.25","12.95","12.82","11.63","10.57","10.33","8.63","7.59","6.64","6.30"
"Italy","111.66","111.66","101.30","106.65","119.19","119.69","122.32","122.85","119.86","119.47","112.88","107.69","108.33","104.12","101.11","94.64","89.18","83.00","73.79","66.72","66.18","60.99","59.95","56.65"
"Japan","13.65","13.65","13.89","13.35","14.74","16.18","18.04","14.94","18.61","22.45","26.08","24.13","24.43","25.43","25.12","25.69","25.55","23.20","21.64","18.40","18.40","18.70","18.99","20.05"
"Latvia","7.27","7.27","8.16","5.72","5.34","5.12","4.32","4.06","3.19","2.57","3.23","3.25","3.70","3.07","3.95","3.76","3.54","3.40","3.13","2.74","2.68","2.98","3.09","2.64"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","12.78","12.78","9.19","6.51","6.09","4.48","3.72","3.84","2.91","2.44","1.60","1.32","1.28","1.39","1.40","1.38","1.39","1.43","1.52","1.53","1.38","1.49","1.52","1.59"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","0.11","0.05","0.11","0.10","0.12","0.15","0.15","0.16","0.17","0.07","0.16"
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","39.66","39.66","39.90","39.16","41.13","41.34","46.57","45.16","42.66","41.55","42.91","43.24","41.70","38.85","38.84","36.63","36.02","33.02","32.73","30.42","29.26","29.94","27.79","26.40"
"New Zealand","7.44","7.44","6.78","7.85","8.27","8.92","9.07","10.18","11.14","12.24","11.71","10.98","11.47","12.33","15.01","12.28","13.14","13.73","13.92","13.18","12.71","12.40","13.41","14.13"
"Norway","27.32","27.32","25.40","24.11","23.85","24.45","24.67","27.14","28.21","29.29","28.99","27.20","28.98","29.26","28.41","27.83","26.79","25.14","23.88","22.64","24.00","23.59","23.15","23.74"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","32.86","32.86","34.07","32.98","32.92","34.45","31.78","33.62","27.79","19.84","20.92","24.07","23.73","23.31","19.05","19.34","23.62","23.08","21.81","20.79","20.91","21.40","20.48","19.62"
"Romania","7.59","7.27","5.93","3.92","3.10","2.15","2.56","2.19","2.61","2.31","1.32","1.17","0.80","0.78","0.64","0.67","0.63","0.84","0.89","0.95","1.28","1.25","1.39","1.59"
"Russian Federation","692.26","692.26","493.54","361.49","285.46","283.02","307.54","215.66","215.82","188.92","192.99","284.93","271.17","238.74","232.36","350.94","284.54","275.78","287.44","307.71","283.52","220.72","237.94","166.02"
"Slovakia","","","","","","","","","","","","0.14","0.16","0.18","0.15","0.17","0.15","0.16","0.11","0.12","0.11","0.12","0.13","0.18"
"Slovenia","4.36","3.39","3.44","3.05","2.64","3.05","2.59","2.47","2.46","2.52","2.45","2.46","2.47","2.45","2.53","2.40","2.44","2.46","2.44","2.51","2.16","2.21","2.13","2.21"
"Spain","111.10","111.10","115.16","118.70","120.82","122.52","123.29","125.20","127.15","131.35","134.26","134.43","136.09","135.69","132.49","131.59","128.91","126.22","122.56","119.06","115.54","111.73","108.26","104.41"
"Sweden","15.67","15.67","15.09","15.56","15.41","15.85","15.33","15.20","15.52","15.84","15.40","15.14","14.65","14.40","14.04","13.56","13.26","12.73","11.89","11.50","10.89","10.68","10.10","9.73"
"Switzerland","5.58","5.58","5.64","5.69","5.75","5.80","5.87","5.84","5.80","5.77","5.74","5.70","5.58","5.45","5.33","5.22","5.10","4.89","4.69","4.50","4.30","4.10","3.84","3.60"
"Turkey","95.79","95.79","96.20","96.46","118.81","119.42","121.86","128.45","133.14","131.89","135.53","141.15","135.06","137.14","139.25","149.65","151.00","162.18","176.67","223.81","219.34","214.96","250.16","49.68"
"Ukraine","4.43","4.43","","","","","","","","4.01","3.50","2.80","2.63","2.81","2.83","2.94","2.92","3.16","3.30","3.64","3.39","3.32","69.55","62.95"
"United Kingdom of Great Britain and Northern Ireland","80.26","80.26","80.32","80.39","80.46","80.63","80.61","81.84","82.68","80.96","79.23","76.09","73.78","71.09","67.48","60.84","57.73","50.22","43.95","41.13","36.91","34.33","29.94","26.64"
