"Category","1.A Fuel Combustion - Sectoral Approach"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1,221.62","1,221.62","1,205.82","1,249.04","1,281.70","1,272.96","1,312.56","1,318.44","1,340.73","1,377.88","1,393.52","1,426.86","1,461.38","1,506.88","1,508.30","1,526.11","1,532.47","1,547.88","1,597.00","1,608.48","1,589.91","1,589.53","1,596.35","1,631.77"
"Austria","183.33","183.33","190.68","181.37","178.77","172.53","172.78","195.15","183.04","196.96","189.97","197.54","207.65","213.79","225.75","224.49","228.31","213.97","209.96","197.34","181.89","185.97","175.36","171.25"
"Belarus","334.77","334.77","317.77","285.64","243.89","191.38","170.07","172.23","174.42","167.59","156.42","147.17","146.18","153.54","152.59","164.44","166.34","178.22","173.05","183.25","166.81","171.67","179.03","187.78"
"Belgium","353.65","353.65","352.27","341.24","338.22","330.12","336.40","326.72","308.70","320.10","293.10","306.78","295.30","278.54","278.13","283.84","273.85","260.26","251.15","226.69","201.45","208.30","194.55","185.83"
"Bulgaria","273.04","249.41","180.92","174.37","176.50","163.66","164.34","163.42","159.74","160.25","142.90","136.91","148.81","139.30","151.92","149.57","149.10","150.84","157.46","154.38","135.35","139.62","153.73","140.42"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","89.81","89.81","64.35","57.33","58.18","61.10","61.63","65.72","65.92","71.90","73.42","69.42","69.88","72.48","73.30","72.14","70.00","70.10","73.20","71.96","66.11","60.90","59.02","53.71"
"Cyprus","15.57","15.57","15.67","17.51","17.93","19.06","17.81","18.34","18.57","18.96","19.29","20.79","19.99","20.09","20.23","19.91","19.74","19.60","20.06","18.69","18.41","16.88","19.79","19.97"
"Czech Republic","722.24","722.24","706.60","681.61","666.76","426.82","406.10","425.20","449.10","397.42","364.44","368.06","326.37","311.34","318.78","329.38","275.06","277.52","280.36","259.52","248.98","235.16","222.22","207.20"
"Denmark","279.17","279.17","328.00","285.03","286.24","289.39","271.88","308.48","261.57","239.84","221.33","210.79","207.72","204.36","213.32","196.38","188.81","189.06","175.83","158.31","139.78","135.85","128.82","119.36"
"Estonia","77.03","77.03","71.99","45.84","39.30","43.58","41.29","43.90","43.41","39.62","38.76","37.61","39.36","38.37","38.02","36.51","34.23","32.87","36.21","32.83","28.03","33.54","33.29","31.71"
