"Category","1.B.2.A Oil"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","0.22","0.22","0.22","0.22","0.23","0.24","0.24","0.25","0.26","0.26","0.26","0.26","0.26","0.26","0.25","0.24","0.24","0.22","0.23","0.23","1.65","1.46","1.38","1.34"
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.77","1.77","1.06","1.06","0.25","0.27","0.20","0.01","0.01","0.45","0.43","0.39","0.40","0.36","0.37","0.39","0.33","0.33","0.32","1.19","1.17","1.23","0.93","1.23"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.26","0.26","0.18","0.14","0.19","0.17","0.18","0.14","0.14","0.18","0.21","0.28","0.24","0.25","0.25","0.27","0.28","0.23","0.27","0.21","0.27","0.21","0.17","0.18"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.44","0.44","0.66","0.66","","0.66","0.62","","","0.41","0.38","0.34","0.58","1.75","0.12","0.05","","0.03","","0.01","0.75","","0.05","0.09"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","25.44","25.44","24.35","24.00","34.01","28.05","26.13","22.38","15.23","18.05","17.85","12.53","12.94","15.07","15.98","16.23","18.15","20.63","13.48","12.95","16.79","13.14","13.08","12.49"
"European Union (28)","30.47","30.47","26.76","27.18","36.84","31.22","29.22","24.78","17.89","21.46","20.61","15.43","16.52","19.82","19.10","19.77","21.90","24.06","16.13","16.67","20.91","16.50","16.45","15.76"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","4.64","4.64","4.50","4.64","4.23","4.63","4.70","5.01","5.02","5.04","4.81","5.14","5.22","4.71","4.58","4.99","4.82","5.23","4.89","5.12","5.20","4.27","4.44","3.61"
"Germany","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","0.36","0.36","0.41","0.46","0.52","0.41","0.51","0.42","0.43","0.45","0.51","0.50","0.43","0.51","0.53","0.41","0.46","0.60","0.70","0.69","0.74","0.37","0.46","0.59"
"Hungary","0.77","0.69","0.66","0.64","0.67","0.62","0.65","0.59","0.60","0.59","0.56","0.54","0.54","0.49","0.43","0.42","0.46","0.47","0.46","0.50","0.42","0.42","0.43","0.40"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","5.00","5.00","4.98","4.53","15.62","8.70","7.04","6.23","5.82","8.48","6.21","3.10","3.40","5.95","7.43","7.46","9.49","6.69","4.74","2.87","6.90","4.80","4.85","5.06"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","2.22","2.22","","0.94","1.18","0.84","0.73","0.86","1.17","1.48","1.02","1.11","1.55","1.54","1.69","2.06","2.18","1.91","1.13","2.20","2.00","2.14","2.15","2.05"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","0.10","0.10","0.15","0.21","0.26","0.31","0.36","0.35","0.34","0.32","2.42","0.31","0.30","0.30","","","","4.58","","0.06","0.04","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","1.12","1.12","0.98","1.10","1.10","1.00","0.80","0.94","0.91","0.85","0.80","0.93","0.91","0.93","1.10","1.15","1.26","1.30","1.25","0.93","1.04","0.69","0.65","1.04"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.00","0.00","0.00","0.00","0.00","0.18","0.35","0.30","0.39","0.36","0.35","0.31","0.39","0.38","0.44","0.45","0.42","0.41","0.42","0.34","0.31","0.39","0.34","0.36"
"Romania","1.84","1.42","0.91","0.80","0.79","0.88","0.92","0.81","0.75","0.75","0.59","0.63","0.66","0.71","0.64","0.74","0.83","0.79","0.78","0.79","0.68","0.60","0.57","0.55"
"Russian Federation","17.88","17.88","17.16","15.36","13.38","11.16","10.92","10.56","10.62","9.84","10.14","10.38","10.74","11.10","11.40","11.70","12.48","13.20","13.74","14.22","14.22","15.00","15.49","16.29"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","2.55","2.55","2.37","2.23","2.26","2.77","2.16","2.20","1.85","2.00","1.86","2.06","2.01","2.03","1.80","1.92","1.90","1.94","1.98","1.97","1.77","1.58","1.64","1.38"
"Sweden","0.26","0.26","0.23","0.26","0.27","0.22","0.06","0.08","0.06","0.06","0.04","0.06","0.08","0.14","0.15","0.08","0.07","0.32","0.36","0.41","0.41","0.37","0.35","0.16"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
