"Category","1.B.2 Oil and Natural Gas"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","2.15","2.15","2.01","2.08","2.06","1.93","1.95","1.93","1.76","2.69","1.67","1.82","2.32","2.10","1.50","1.41","1.37","1.46","1.65","1.67","16.22","16.92","14.19","18.56"
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.82","1.82","1.10","1.11","0.29","0.30","0.22","0.03","0.04","0.53","0.51","0.49","0.45","0.41","0.42","0.45","0.37","0.37","0.36","1.23","1.22","1.27","0.97","1.27"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.49","0.49","0.39","0.46","0.38","0.32","0.30","0.26","0.17","0.21","0.37","0.30","0.26","0.27","0.26","0.29","0.30","0.25","0.30","0.24","0.29","0.21","0.17","0.19"
"Cyprus","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.07","0.07","0.07","0.07","0.07","0.07","0.06","0.02","","","","","","","",""
"Czech Republic","0.44","0.44","0.66","0.66","","0.66","0.62","","","0.41","0.38","0.34","0.58","1.75","0.12","0.05","","0.22","0.25","0.01","0.75","0.05","0.59","0.40"
"Denmark","0.15","0.15","0.29","0.30","0.26","0.46","0.20","0.22","0.31","0.23","0.49","0.32","0.34","0.29","0.30","0.34","0.26","0.25","0.26","0.19","0.13","0.17","0.12","0.12"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","40.45","40.45","38.11","36.41","49.79","40.76","37.67","34.38","26.70","28.99","27.91","21.22","21.84","23.88","23.32","23.51","25.05","27.45","20.30","19.21","22.97","19.63","19.18","19.38"
"European Union (28)","45.77","45.77","40.77","39.95","52.86","44.14","40.94","36.94","29.44","32.50","30.91","24.22","25.51","28.72","26.52","27.09","28.83","31.09","23.22","22.95","27.12","23.04","23.09","22.96"
"Finland","0.21","0.21","0.21","0.04","0.05","0.02","0.03","0.03","0.06","0.03","0.02","0.03","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.03","0.05","0.05"
"France","5.07","5.07","4.96","5.08","4.69","5.07","5.18","5.43","5.44","5.47","5.19","5.52","5.64","5.10","4.94","5.38","5.25","5.74","5.30","5.49","5.78","4.85","4.74","3.92"
"Germany","7.08","7.08","6.48","5.81","6.16","5.82","4.22","4.11","3.75","3.35","2.76","2.31","1.81","1.33","0.88","0.40","0.41","0.41","0.39","0.38","0.36","0.34","0.33","0.34"
"Greece","0.36","0.36","0.41","0.46","0.52","0.41","0.51","0.42","0.43","0.45","0.51","0.50","0.43","0.51","0.53","0.41","0.46","0.60","0.70","0.69","0.74","0.37","0.46","0.59"
"Hungary","0.77","0.69","0.66","0.64","0.67","0.62","0.65","0.59","0.60","0.59","0.56","0.54","0.54","0.49","0.43","0.42","0.46","0.47","0.46","0.50","0.42","0.42","0.43","0.40"
