"Category","1 Energy"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","1,223.77","1,223.77","1,207.84","1,251.12","1,283.75","1,274.89","1,314.51","1,320.37","1,342.48","1,380.57","1,395.19","1,428.68","1,463.70","1,508.97","1,509.79","1,527.53","1,533.84","1,549.34","1,598.64","1,610.15","1,606.13","1,606.45","1,610.54","1,650.33"
"Austria","183.33","183.33","190.68","181.37","178.77","172.53","172.78","195.15","183.04","196.96","189.97","197.54","207.65","213.79","225.75","224.49","228.31","213.97","209.96","197.34","181.89","185.97","175.36","171.25"
"Belarus","334.77","334.77","317.77","285.64","243.89","191.38","170.07","172.23","174.42","167.59","156.42","147.17","146.18","153.54","152.59","164.44","166.34","178.22","173.05","183.25","166.81","171.67","179.03","187.78"
"Belgium","357.68","357.68","355.01","343.78","339.69","331.54","337.75","327.87","309.75","321.53","294.48","308.13","296.63","279.70","279.30","285.08","275.00","261.42","252.19","228.28","202.90","209.92","195.85","187.38"
"Bulgaria","273.04","249.41","180.92","174.37","176.50","163.66","164.34","163.42","159.74","160.25","142.90","136.91","148.81","139.30","151.92","149.57","149.10","150.84","157.46","154.38","135.35","139.62","153.73","140.42"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","90.30","90.30","64.74","57.79","58.56","61.42","61.93","65.97","66.08","72.11","73.79","69.71","70.14","72.75","73.56","72.44","70.30","70.35","73.50","72.20","66.40","61.11","59.19","53.90"
"Cyprus","15.61","15.61","15.71","17.55","17.98","19.11","17.87","18.38","18.64","19.02","19.36","20.86","20.07","20.15","20.29","19.93","19.74","19.60","20.06","18.69","18.41","16.88","19.79","19.97"
"Czech Republic","722.68","722.68","707.26","682.27","666.76","427.48","406.72","425.20","449.10","397.83","364.82","368.41","326.96","313.85","319.33","330.07","275.10","277.77","280.61","259.64","249.77","235.22","222.84","207.62"
"Denmark","279.31","279.31","328.29","285.33","286.50","289.85","272.08","308.70","261.89","240.07","221.82","211.11","208.06","204.65","213.62","196.72","189.07","189.31","176.09","158.50","139.90","136.02","128.94","119.48"
"Estonia","77.03","77.03","71.99","45.84","39.30","43.58","41.29","43.90","43.41","39.62","38.76","37.61","39.36","38.37","38.02","36.51","34.23","32.87","36.21","32.83","28.03","33.54","33.29","31.71"
"European Union (15)","13,312.89","13,312.89","13,196.68","12,988.65","12,459.40","12,062.82","11,696.96","11,426.41","10,942.14","10,767.54","10,470.06","10,129.01","9,931.72","9,715.88","9,577.17","9,381.59","9,146.77","8,839.99","8,504.44","7,777.15","7,097.61","6,895.53","6,569.59","6,347.22"
"European Union (28)","15,664.78","15,664.78","15,312.90","14,942.93","14,313.37","13,647.11","13,267.40","13,032.58","12,546.09","12,277.82","11,853.22","11,482.35","11,287.45","11,052.45","10,938.13","10,740.08","10,370.63","10,063.03","9,723.43","8,965.84","8,176.72","7,956.42","7,610.75","7,328.00"
"Finland","294.19","294.19","276.79","265.03","266.99","266.13","243.97","247.12","238.67","223.82","219.35","209.55","210.60","207.79","216.77","202.93","174.00","191.18","182.25","166.47","151.94","164.65","154.18","144.64"
"France","1,899.71","1,899.71","1,967.33","1,942.81","1,851.40","1,812.02","1,771.94","1,751.35","1,695.67","1,736.45","1,684.83","1,641.82","1,604.70","1,580.46","1,547.72","1,519.55","1,482.81","1,409.62","1,349.80","1,249.29","1,170.77","1,151.02","1,082.66","1,058.02"
"Germany","2,684.58","2,684.58","2,455.26","2,320.71","2,223.90","2,075.13","1,965.58","1,900.14","1,833.46","1,805.81","1,776.84","1,680.12","1,618.03","1,543.09","1,488.11","1,416.52","1,348.18","1,337.31","1,264.66","1,190.17","1,117.88","1,132.05","1,088.15","1,075.09"
"Greece","323.24","323.24","332.84","339.71","337.27","345.90","326.49","330.38","343.95","366.74","365.17","356.87","379.88","380.82","391.03","396.53","414.23","410.56","411.90","389.79","377.38","317.23","293.69","256.50"
"Hungary","0.77","224.44","204.17","191.51","180.69","179.81","183.42","186.17","191.42","194.35","195.21","184.24","186.60","195.69","188.33","182.83","151.07","153.51","147.52","146.03","140.42","137.50","122.04","106.95"
"Iceland","26.08","26.08","26.39","28.07","29.06","28.76","28.06","29.40","28.53","27.73","26.67","25.46","23.71","25.17","25.02","25.50","24.18","23.88","24.63","22.54","22.86","20.44","18.91","18.43"
"Ireland","120.82","120.82","122.48","131.72","122.83","122.00","121.43","124.48","124.17","129.49","129.76","134.42","137.22","128.15","128.06","128.80","128.26","121.98","119.79","107.68","86.04","79.25","70.89","72.86"
"Italy","2,000.10","2,000.10","2,060.69","2,093.91","1,999.60","1,900.81","1,871.89","1,815.66","1,738.75","1,618.19","1,529.78","1,420.19","1,395.14","1,341.17","1,317.01","1,274.24","1,208.71","1,152.01","1,101.81","1,031.86","961.08","942.08","917.68","839.51"
"Japan","1,917.74","1,917.74","1,954.42","1,931.44","1,920.03","1,957.09","2,014.74","2,011.82","2,029.19","1,933.89","1,961.80","1,984.11","1,967.51","2,027.25","2,012.17","1,941.92","1,918.46","1,894.85","1,839.42","1,753.53","1,663.98","1,617.24","1,561.80","1,513.34"
"Latvia","79.78","79.78","74.24","62.33","56.43","50.56","46.93","46.07","43.71","40.23","38.78","37.70","40.44","39.15","40.15","39.36","37.97","38.11","38.11","34.09","30.80","32.66","29.27","29.12"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","161.69","161.69","150.16","111.00","88.24","77.24","79.15","79.78","77.99","78.98","66.81","59.05","60.86","60.34","59.95","61.84","62.88","64.77","61.49","62.93","57.15","60.02","54.75","57.40"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","7.55","7.55","8.12","8.52","8.68","9.06","8.85","9.10","9.15","9.22","9.55","8.38","9.11","9.22","9.47","9.04","9.83","9.20","9.74","9.57","9.29","9.29","9.11","8.85"
"Monaco","0.45","0.45","0.49","0.55","0.51","0.51","0.47","0.46","0.44","0.41","0.40","0.38","0.38","0.36","0.34","0.32","0.31","0.28","0.31","0.30","0.29","0.27","0.28","0.29"
"Netherlands","544.59","544.59","521.64","507.03","488.34","464.40","452.68","431.67","405.73","391.92","396.20","375.72","363.10","352.42","345.35","329.62","317.99","308.21","283.75","274.76","250.16","248.98","232.74","222.64"
"New Zealand","96.92","96.92","98.52","107.56","109.06","113.19","116.10","121.18","128.83","123.42","130.84","138.18","145.75","148.73","157.78","152.74","161.52","160.22","158.16","159.72","149.83","148.27","150.57","155.51"
"Norway","177.78","177.78","173.84","174.72","177.59","181.64","184.13","194.06","201.95","200.93","203.35","191.38","190.47","185.98","186.14","186.12","187.63","189.05","190.41","178.23","171.52","169.92","162.25","155.61"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","238.87","238.87","249.74","268.95","260.26","260.53","270.48","257.71","256.56","263.84","271.47","267.21","266.61","273.25","250.34","255.65","260.98","239.55","233.64","207.53","196.28","180.44","170.37","161.46"
"Romania","483.65","442.43","383.91","363.11","326.39","327.54","328.28","372.58","356.89","310.90","264.48","274.19","295.92","297.29","313.69","310.65","266.08","263.09","251.46","252.47","215.78","202.53","207.87","200.87"
"Russian Federation","9,146.41","9,146.41","8,516.09","6,290.69","5,714.21","4,993.77","4,801.42","4,708.14","4,462.22","4,406.64","4,489.68","4,329.78","4,398.33","4,400.63","4,480.98","4,876.83","4,597.58","4,783.68","4,755.43","4,981.18","4,687.73","4,870.82","5,512.96","5,175.63"
"Slovakia","221.93","221.93","200.93","187.38","178.84","167.24","174.59","135.04","126.94","132.32","120.13","107.20","107.55","100.01","97.59","98.81","101.59","96.07","95.34","93.48","82.61","88.26","84.85","80.66"
"Slovenia","57.51","59.05","54.08","52.58","55.59","57.60","57.07","60.55","60.90","55.46","48.56","49.06","49.92","50.47","48.65","47.44","45.97","46.86","47.50","52.37","45.11","44.27","44.44","43.31"
"Spain","1,304.70","1,304.70","1,357.98","1,401.46","1,372.01","1,394.31","1,385.00","1,340.77","1,332.81","1,320.00","1,358.91","1,373.35","1,338.79","1,382.98","1,378.39","1,418.83","1,407.46","1,351.00","1,339.17","1,153.44","1,017.07","936.00","929.52","899.06"
"Sweden","250.18","250.18","255.12","246.34","231.20","235.66","227.48","222.51","213.51","205.87","201.72","193.62","183.56","176.36","172.93","165.74","161.10","156.09","149.12","141.16","133.32","134.45","125.08","117.69"
"Switzerland","138.87","138.87","136.60","129.85","118.84","117.65","113.85","109.87","106.36","105.73","105.54","103.01","99.09","93.38","90.94","89.22","88.49","85.50","82.32","80.76","75.35","73.22","68.67","68.78"
"Turkey","628.65","628.65","634.17","652.98","723.75","743.43","789.51","869.29","897.78","888.57","920.20","1,009.66","969.21","1,000.92","1,061.18","1,117.47","1,049.24","1,088.35","1,175.56","1,269.66","1,410.41","1,256.35","1,259.71","1,249.77"
