"Category","2.A Mineral Products"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.01","0.02","0.01","0.12","0.15","0.05","0.05","0.05","0.05","0.05","0.04","1.12","1.11","1.11","1.02","1.09"
"Bulgaria","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01","0.01","0.02","0.01","0.01","0.02","0.04","0.05","0.05","0.06","0.03","0.02","0.05","0.06"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","1.54","1.54","6.49","6.41","6.41","6.72","8.74","8.74","8.74","3.17","12.38","8.85","1.64","0.05","0.06","0.07","0.04","0.08","0.39","0.08","0.13","0.13","0.28","0.15"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","38.20","38.20","36.44","33.07","29.49","27.02","73.41","68.24","65.50","62.73","59.87","60.93","55.80","51.70","51.33","52.00","48.18","48.59","49.47","47.11","41.06","40.60","42.05","40.09"
"European Union (28)","40.67","40.67","43.78","39.86","35.95","33.95","82.40","77.25","74.52","66.17","72.61","70.02","57.74","52.05","51.72","52.44","48.62","49.17","50.37","47.70","41.92","41.23","43.31","41.76"
"Finland","","","0.06","0.12","0.09","0.08","0.08","0.10","0.01","0.03","0.01","0.01","0.01","0.01","0.01","0.02","0.13","0.06","0.03","0.05","0.01","0.02","0.01","0.01"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","30.90","30.90","29.89","26.46","22.40","20.49","66.06","61.08","60.51","58.38","56.92","57.45","51.66","48.66","48.87","48.95","45.16","45.47","46.69","43.20","37.33","36.96","37.98","35.85"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","27.45","27.45","37.29","38.30","29.39","26.31","26.12","30.37","30.44","27.70","16.73","16.12","15.50","14.89","15.26","15.63","16.01","16.01","16.01","16.01","16.01","16.01","16.01","16.01"
"Latvia","0.90","0.90","0.83","0.38","0.04","0.20","0.24","0.27","0.27","0.26","0.36","0.23","0.27","0.30","0.33","0.35","0.36","0.45","0.46","0.45","0.70","0.48","0.93","1.46"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","1.30","1.30","1.29","1.29","1.30","1.30","1.33","1.25","1.13","0.99","0.51","0.97","1.30","0.73","0.45","0.49","0.51","0.52","0.52","0.53","0.54","0.48","0.68","0.68"
"New Zealand","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"Norway","0.09","0.09","0.09","0.09","0.08","0.09","0.09","0.10","0.08","0.07","0.05","0.03","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.04","0.03","0.04","0.05","0.07"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.05","0.05","0.06","0.05"
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","5.97","5.97","5.17","5.16","5.67","5.10","5.89","5.75","3.80","3.26","2.37","2.34","2.62","2.19","1.91","2.45","2.29","2.45","2.14","2.16","2.02","1.98","2.30","2.40"
"Switzerland","0.02","0.02","0.02","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.01"
"Turkey","8.72","8.72","8.54","5.29","5.50","5.41","8.12","9.39","10.64","11.09","9.99","12.16","11.91","9.45","10.76","10.56","12.79","12.36","13.23","13.67","9.97","18.71","20.96","22.71"
"Ukraine","0.18","0.18","0.16","0.10","0.05","0.04","0.04","0.03","0.02","0.02","0.03","0.02","0.02","0.01","0.03","0.03","0.03","0.04","0.05","0.04","0.03","0.03","0.03","0.01"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
