"Category","2.A.6 Road Paving with Asphalt"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","0.00","0.01","0.00","0.02","0.01","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.05","0.06","0.06","0.05"
"Bulgaria","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01","0.01","0.02","0.01","0.01","0.02","0.04","0.05","0.05","0.06","0.03","0.02","0.05","0.06"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.14","0.14","0.13","0.13","0.13","0.14","0.15","0.15","0.15","0.15","0.15","0.16","0.03","0.00","0.00","0.00","0.00","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","","","","","","","0.99","0.94","0.98","0.97","1.03","0.99","0.96","0.87","0.83","0.78","0.86","0.86","0.77","0.83","0.88","0.74","0.81","0.66"
"European Union (28)","0.16","0.16","0.14","0.14","0.14","0.15","1.15","1.09","1.13","1.12","1.19","1.17","1.01","0.89","0.84","0.81","0.90","0.91","0.82","0.89","0.91","0.76","0.86","0.72"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","0.99","0.93","0.98","0.95","1.03","0.98","0.94","0.87","0.82","0.78","0.86","0.86","0.76","0.76","0.82","0.68","0.75","0.62"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","0.08","0.10","0.11","0.15","0.11","0.11","0.09","0.10","0.12","0.12","0.15","0.19","0.19","0.19","0.17","0.23","0.25","0.24"
"Ukraine","0.18","0.18","0.16","0.10","0.05","0.04","0.04","0.03","0.02","0.02","0.03","0.02","0.02","0.01","0.03","0.03","0.03","0.04","0.05","0.04","0.03","0.03","0.03","0.01"
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
