"Category","2.A.7 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01","0.00","0.10","0.14","0.04","0.04","0.04","0.04","0.04","0.04","1.06","1.05","1.05","0.96","1.04"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","1.40","1.40","6.36","6.28","6.28","6.58","8.60","8.60","8.60","3.03","12.23","8.69","1.61","0.05","0.06","0.07","0.04","0.08","0.39","0.08","0.13","0.13","0.28","0.15"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","32.93","32.93","31.74","28.52","24.48","22.72","20.18","18.52","17.89","16.47","14.84","17.86","17.61","16.56","16.30","16.48","16.17","17.24","17.44","17.38","15.21","15.53","15.84","15.31"
"European Union (28)","35.23","35.23","38.93","35.17","30.80","29.51","29.01","27.39","26.76","19.76","27.43","26.77","19.49","16.90","16.68","16.90","16.57","17.77","18.29","17.91","16.04","16.14","17.06","16.92"
"Finland","","","0.06","0.12","0.09","0.08","0.08","0.10","0.01","0.03","0.01","0.01","0.01","0.01","0.01","0.02","0.13","0.06","0.03","0.05","0.01","0.02","0.01","0.01"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","30.90","30.90","29.89","26.46","22.40","20.49","17.71","16.33","15.65","14.28","13.65","16.30","15.68","15.26","15.28","15.43","14.98","16.12","16.31","15.18","13.04","13.43","13.67","13.07"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","27.45","27.45","37.29","38.30","29.39","26.31","26.12","30.37","30.44","27.70","16.73","16.12","15.50","14.89","15.26","15.63","16.01","16.01","16.01","16.01","16.01","16.01","16.01","16.01"
"Latvia","0.90","0.90","0.83","0.38","0.04","0.20","0.24","0.27","0.27","0.26","0.36","0.23","0.27","0.30","0.33","0.35","0.36","0.45","0.46","0.45","0.70","0.48","0.93","1.46"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","1.30","1.30","1.29","1.29","1.30","1.30","1.33","1.25","1.13","0.99","0.51","0.97","1.30","0.73","0.45","0.49","0.51","0.52","0.52","0.53","0.54","0.48","0.68","0.68"
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.09","0.09","0.09","0.09","0.08","0.09","0.09","0.10","0.08","0.07","0.05","0.03","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.04","0.03","0.04","0.05","0.07"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0.72","0.72","0.50","0.64","0.69","0.84","1.04","0.84","1.10","1.16","0.67","0.48","0.47","0.51","0.52","0.50","0.50","0.50","0.55","0.56","0.57","0.55","0.52","0.50"
"Switzerland","0.02","0.02","0.02","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.01"
"Turkey","8.72","8.72","8.54","5.29","5.50","5.41","8.04","9.29","10.53","10.94","9.89","12.05","11.81","9.34","10.64","10.45","12.64","12.18","13.04","13.48","9.80","18.48","20.72","22.47"
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
