"Category","2.B.1 Ammonia Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","0.47","0.45","0.29","0.28","0.29","0.25","0.23","0.21","0.20","0.22","0.23","0.23","0.24","0.22","0.18","0.22","0.13","0.20","0.18","0.21"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.71","0.71","0.58","0.30","0.38","0.55","0.66","0.77","0.72","0.61","0.75","0.43","0.30","0.26","0.18","0.25","0.40","0.28","0.36","0.22","0.14","0.11","0.20","0.16"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.19","1.19","1.20","1.47","1.19","1.21","1.30","1.29","1.39","1.30","1.44","1.26","0.95","1.09","1.43","1.33","1.27","1.26","1.48","1.53","0.86","1.14","0.86","0.83"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","4.06","4.06","4.07","4.19","4.19","4.38","3.87","3.87","3.87","4.95","3.83","3.96","0.33","0.68","0.62","0.29","0.14","0.00","0.00","","","0.00","0.00","0.00"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","9.95","9.95","9.65","8.53","8.27","8.32","9.01","9.26","9.17","9.11","8.86","9.05","8.20","7.89","8.10","8.31","9.02","7.29","8.32","7.24","6.18","7.38","7.52","6.67"
"European Union (28)","16.41","16.41","15.90","14.75","14.10","14.55","14.99","15.40","15.31","16.21","14.93","15.20","10.41","10.52","10.99","10.81","11.41","9.51","11.38","10.03","7.97","9.44","9.90","8.84"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","3.43","3.43","3.46","3.04","3.20","3.21","3.22","3.38","3.29","3.24","3.10","3.31","2.99","2.54","2.50","2.43","2.71","1.59","2.50","2.09","1.91","2.18","2.15","1.44"
"Germany","2.70","2.70","2.41","2.40","2.31","2.38","2.91","2.98","2.93","3.05","2.89","3.22","2.96","3.17","3.20","2.97","3.29","3.21","3.27","3.11","2.75","3.13","3.16","3.13"
"Greece","0.31","0.31","0.26","0.17","0.07","","0.10","0.13","0.12","0.24","0.23","0.15","0.07","0.09","0.15","0.16","0.14","0.16","0.17","0.13","0.10","0.16","0.16","0.11"
"Hungary","0.95","0.63","0.35","0.23","0.29","0.37","0.38","0.42","0.41","0.35","0.32","0.43","0.39","0.29","0.28","0.37","0.42","0.40","0.45","0.33","0.37","0.39","0.46","0.42"
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","1.46","1.46","1.39","1.36","0.88","0.61","0.59","0.40","0.45","0.41","0.37","0.41","0.43","0.39","0.55","1.03","0.93","0.73","0.59","0.44","0.37","0.60","0.60","0.59"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.57","0.57","0.62","0.33","0.16","0.28","0.44","0.56","0.47","0.50","0.49","0.51","0.54","0.57","0.56","0.52","0.57","0.55","1.14","0.92","0.57","0.53","1.06","0.92"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.24","0.24","0.24","0.12","0.11","0.07","0.19","0.24","0.24","0.25","0.27","0.30","0.25","0.23","0.30","0.30","0.26","0.18","0.25","0.22","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","1.10","1.10","1.32","1.14","0.85","1.05","1.06","1.08","1.14","1.06","1.02","1.02","1.01","0.98","1.00","0.94","1.04","0.93","1.00","0.80","0.78","1.01","1.07","1.04"
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
