"Category","2.B.5 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","4.07","4.07","3.76","3.82","0.09","0.09","0.06","0.05","0.05","0.05","0.06","0.07","0.07","0.07","0.08","0.05","0.09","0.07","0.03","0.08","0.07","0.08","0.08","0.09"
"Belarus","0.11","0.11","0.10","0.08","0.05","0.05","0.08","0.07","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.10","0.11","0.10","0.10","0.10","0.11","0.10"
"Belgium","3.37","3.37","3.36","3.27","2.33","7.52","2.84","2.53","11.35","2.48","7.25","3.12","3.28","9.08","7.36","7.59","8.15","7.95","7.94","1.90","1.64","1.93","1.96","1.91"
"Bulgaria","0.70","0.45","0.25","0.13","0.31","0.38","0.43","0.38","0.32","0.30","0.31","0.29","0.28","0.28","0.27","0.29","0.33","0.38","0.38","0.39","0.34","0.30","0.27","0.32"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.46","0.46","0.28","0.20","0.26","0.32","0.41","0.40","0.36","0.36","0.31","0.30","0.32","0.29","0.32","0.30","0.28","0.39","0.36","0.25","0.78","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","2.04","2.04","1.96","2.11","","2.54","2.29","","","1.94","3.24","4.08","0.34","0.70","0.63","0.29","0.14","0.95","0.85","0.36","0.41","1.02","0.99","0.92"
"Denmark","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.06","0.03","0.01","0.02","0.02","0.03","0.03","0.04","0.02","0.02","0.02","0.02","0.02","0.02"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","34.85","34.85","33.67","32.59","25.70","32.06","28.58","10.46","19.32","11.03","16.23","11.27","10.65","15.04","12.86","13.54","13.44","12.77","13.37","7.73","7.75","7.19","7.11","6.57"
"European Union (28)","37.82","37.82","36.18","35.04","26.27","35.72","32.57","12.17","20.92","14.64","21.04","16.90","12.55","17.30","15.06","15.45","15.18","15.55","15.99","9.68","10.09","9.85","10.03","9.29"
"Finland","0.90","0.90","0.79","0.68","0.50","0.57","0.79","0.63","0.61","0.66","0.62","0.67","0.58","0.61","0.65","0.74","0.75","0.77","0.82","1.41","2.11","1.27","1.24","1.24"
