"Category","2.C.1 Iron and Steel Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","39.31","39.31","38.26","40.63","39.73","43.92","45.18","44.96","44.82","43.16","45.23","46.56","54.40","54.14","67.55","68.60","37.99","38.89","40.67","39.79","31.96","40.62","41.59","29.03"
"Austria","0.16","0.16","0.13","0.15","0.16","0.17","0.16","0.13","0.13","0.13","0.10","0.10","0.07","0.07","0.07","0.08","0.08","0.09","0.09","0.09","0.07","0.08","0.08","0.08"
"Belarus","0.68","0.68","0.68","0.65","0.56","0.50","0.42","0.51","0.67","0.81","0.84","0.92","0.92","0.93","0.96","1.10","1.18","1.32","1.41","1.56","1.43","1.56","1.61","1.61"
"Belgium","4.04","4.04","3.89","3.23","0.94","1.01","0.60","0.73","0.85","0.76","0.78","0.75","0.78","0.90","0.93","1.02","0.77","1.78","0.88","0.54","0.23","0.44","0.55","0.45"
"Bulgaria","0.12","0.09","0.06","0.06","0.08","0.10","0.11","0.10","0.11","0.09","0.08","0.07","0.07","0.06","0.08","0.07","0.07","0.08","0.07","0.05","0.03","0.03","0.03","0.03"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","9.93","9.93","10.61","11.28","11.28","7.45","6.26","6.26","6.26","2.99","4.07","8.77","2.02","1.01","1.82","0.78","1.87","1.65","0.05","0.17","0.26","0.87","0.84","0.92"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","19.29","19.29","18.12","17.62","15.47","16.58","17.64","17.19","18.47","18.35","17.75","49.96","46.11","42.72","42.00","42.31","39.85","40.69","39.07","36.60","26.39","32.44","31.53","31.52"
"European Union (28)","32.58","32.58","31.03","30.46","28.61","26.08","25.75","25.35","27.55","24.18","24.60","61.59","51.01","46.68","47.01","46.34","44.94","45.55","42.35","39.79","29.05","36.21","33.39","36.85"
"Finland","0.11","0.11","0.14","0.18","0.19","0.25","0.25","0.15","0.18","0.19","0.21","0.15","0.17","0.18","0.64","0.66","0.61","0.79","0.70","0.90","0.62","0.89","0.85","0.84"
"France","1.47","1.47","1.43","1.44","1.39","1.58","1.65","1.66","1.92","1.97","1.93","2.07","1.96","1.94","1.91","1.99","1.84","1.90","1.88","1.81","1.43","1.34","1.39","1.38"
"Germany","3.35","3.35","3.22","3.13","2.95","3.24","4.35","4.17","4.68","4.51","4.29","36.01","32.99","31.17","29.77","29.70","27.62","27.41","26.57","24.23","17.55","21.94","20.80","21.64"
"Greece","0.13","0.13","0.13","0.12","0.13","0.11","0.12","0.11","0.13","0.14","0.12","0.14","0.17","0.24","0.22","0.26","0.30","0.31","0.33","0.32","0.26","0.24","0.25","0.16"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","2.25","2.25","2.19","2.18","2.28","2.33","2.44","2.13","1.98","2.01","1.89","2.09","2.16","2.21","2.23","2.34","2.32","2.58","2.61","2.56","1.81","2.23","2.45","2.33"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","2.80","2.80","1.90","1.25","1.53","1.69","1.42","1.50","2.37","2.40","2.47","2.55","2.56","2.59","2.79","2.84","2.83","2.83","2.85","2.71","2.25","2.73","0.85","4.27"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","0.16","0.16","0.15","0.13","0.15","0.27","0.47","0.78","0.64","0.89","0.88","0.87","0.92","0.93","0.90","0.44","0.44","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.88","0.88","0.95","0.96","0.98","0.91","1.02","1.01","0.91","0.94","0.92","0.84","0.93","0.86","0.95","0.98","0.87","0.88","0.94","0.88","0.82","0.95","0.94","0.96"
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.54","0.54","0.49","0.66","0.65","0.68","0.71","0.72","0.75","0.73","0.78","0.83","0.35","0.25","0.27","0.34","0.36","0.40","0.43","0.47","0.37","0.36","0.45","0.46"
"Romania","0.65","0.45","0.32","0.23","0.24","0.26","0.31","0.30","0.34","0.34","0.22","0.23","0.24","0.30","0.31","0.32","0.31","0.30","0.30","0.25","0.12","0.13","0.12","0.11"
"Russian Federation","7.06","7.06","5.92","5.38","4.81","4.21","4.58","4.38","4.39","4.04","4.74","5.26","5.30","5.49","5.74","5.98","5.92","6.31","6.30","5.94","5.42","5.96","6.03","6.20"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","2.27","2.27","2.24","2.17","2.28","2.37","2.22","2.09","2.52","2.76","2.72","2.90","3.06","3.04","3.05","3.27","3.30","3.44","3.52","3.45","2.62","3.04","2.89","2.59"
"Sweden","0.88","0.88","0.84","0.89","0.90","0.97","0.86","0.87","0.89","0.95","0.82","0.93","0.86","0.85","0.95","0.96","1.00","1.03","1.02","0.91","0.65","0.91","0.94","0.93"
"Switzerland","0.25","0.25","0.26","0.28","0.28","0.27","0.16","0.16","0.17","0.19","0.18","0.20","0.20","0.21","0.22","0.23","0.22","0.24","0.24","0.25","0.18","0.23","0.25","0.24"
