"Category","2.C Metal Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","41.04","41.04","39.99","42.36","41.46","45.65","46.91","46.69","46.55","44.89","46.96","48.30","56.13","55.88","69.28","70.33","39.72","40.62","42.40","41.53","33.69","42.52","43.58","30.82"
"Austria","0.17","0.17","0.14","0.17","0.18","0.19","0.18","0.15","0.15","0.14","0.12","0.12","0.09","0.09","0.09","0.10","0.10","0.11","0.11","0.12","0.09","0.10","0.11","0.10"
"Belarus","0.68","0.68","0.68","0.65","0.56","0.50","0.42","0.51","0.67","0.81","0.84","0.92","0.92","0.93","0.96","1.10","1.18","1.32","1.41","1.56","1.43","1.56","1.61","1.61"
"Belgium","4.04","4.04","3.90","3.23","0.96","1.16","0.67","0.85","1.41","0.84","1.36","0.84","0.82","1.36","1.47","1.58","1.28","2.27","1.27","0.72","0.40","0.65","0.79","0.76"
"Bulgaria","0.12","0.09","0.07","0.06","0.08","0.10","0.11","0.10","0.11","0.09","0.08","0.07","0.07","0.06","0.08","0.07","0.07","0.08","0.07","0.05","0.03","0.03","0.03","0.03"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.18","0.18","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","10.26","10.26","10.99","11.73","11.73","8.01","6.87","6.87","6.87","3.76","4.95","9.72","2.33","1.16","1.82","0.78","1.87","1.65","0.33","0.19","0.27","0.92","0.99","1.03"
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","21.90","21.90","20.63","19.93","17.76","18.99","19.87","19.56","21.27","20.33","20.26","51.86","47.99","45.26","44.51","44.85","42.35","43.04","41.37","38.57","28.19","34.16","33.54","33.16"
