"Category","2 Industrial Processes"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","41.04","41.04","39.99","42.36","41.46","45.65","46.91","46.69","46.55","44.89","46.96","48.30","56.13","55.88","69.28","70.33","39.72","40.62","42.40","41.53","33.69","42.52","43.58","30.82"
"Austria","4.80","4.80","4.48","4.55","1.98","1.92","1.46","1.42","1.50","1.46","1.44","1.54","1.57","1.63","1.34","1.28","1.75","1.82","1.71","1.59","1.26","1.50","1.50","1.35"
"Belarus","1.11","1.11","1.10","0.95","0.79","0.72","0.67","0.75","0.95","1.12","1.17","1.27","1.26","1.27","1.32","1.47","1.60","1.76","1.89","2.06","1.84","2.02","2.08","2.09"
"Belgium","12.47","12.47","11.26","9.27","6.36","15.28","8.23","8.24","15.59","7.83","15.37","6.67","6.99","13.69","11.79","12.24","12.87","13.48","12.41","5.30","4.62","5.46","5.50","5.37"
"Bulgaria","15.41","13.60","9.63","7.78","6.98","8.20","11.53","11.62","9.10","6.00","4.64","7.56","7.47","5.51","6.79","7.64","8.30","7.18","7.73","7.35","4.56","6.06","8.58","6.76"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","2.80","2.80","2.32","2.75","2.27","2.43","2.57","2.48","2.59","2.24","2.43","2.58","2.05","2.13","2.39","2.74","2.31","2.26","2.47","2.43","2.14","1.71","1.13","1.04"
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","18.52","18.52","24.08","25.06","22.95","22.30","22.47","20.18","20.18","15.07","25.12","27.24","4.78","3.96","4.27","1.58","2.23","3.97","2.73","1.04","1.18","3.22","2.48","2.33"
"Denmark","0.84","0.84","0.78","0.69","0.62","0.64","0.65","0.54","0.61","0.47","0.51","0.45","0.42","0.42","0.47","0.30","0.03","0.04","0.02","0.02","0.02","0.02","0.02","0.02"
"Estonia","0.10","0.10","0.10","0.05","","","0.01","0.03","0.05","0.07","0.07","0.08","0.08","0.10","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.11","0.11","0.11"
"European Union (15)","183.03","183.03","168.99","155.23","136.79","142.55","183.62","160.24","166.22","153.83","159.53","185.54","172.06","170.84","167.03","172.47","166.98","167.37","170.08","151.88","129.47","138.81","139.44","135.02"
"European Union (28)","245.22","245.22","222.33","206.37","184.79","193.93","238.96","211.20","212.19","189.56","203.73","236.83","199.76","194.99","190.17","195.04","190.85","190.38","193.54","173.00","145.41","160.92","162.29","158.26"
"Finland","1.01","1.01","1.01","1.00","0.78","0.91","1.16","1.04","0.99","1.10","1.06","1.10","0.99","1.02","1.50","1.48","1.55","1.73","1.63","2.38","2.75","2.17","2.09","2.09"
"France","22.09","22.09","19.47","16.05","13.03","12.61","12.37","13.00","12.92","12.72","12.29","13.03","11.70","10.01","9.78","9.74","9.25","7.42","8.86","6.91","5.55","5.51","5.46","4.73"
"Germany","53.93","53.93","51.12","46.76","42.42","40.69","89.56","84.83","84.45","82.24","80.95","115.40","105.33","103.63","103.73","107.36","102.61","104.42","106.79","98.35","81.73","88.78","88.35","87.10"
"Greece","1.48","1.48","1.25","1.08","1.21","1.07","1.08","1.17","1.07","1.06","1.16","1.10","0.91","1.13","1.10","1.05","0.98","0.94","0.97","0.96","0.79","0.85","0.94","0.68"
