"Category","3 Solvent and Other Product Use"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.04","0.01","0.02","0.01","0.03","0.04","0.01","0.01","0.01","0.01","0.01","0.01","0.15","0.02","0.03","0.04","0.02"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","0.00","","",""
"Denmark","0.04","0.04","0.04","0.05","0.04","0.04","0.04","0.05","0.06","0.05","0.05","0.06","0.05","0.07","0.08","0.07","0.06","0.08","0.05","0.05","0.05","0.04","0.04","0.06"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","0.04","0.04","0.04","0.05","0.05","0.04","0.20","0.09","0.07","0.07","0.06","0.09","0.10","0.08","0.09","0.08","0.08","0.09","0.07","0.20","0.07","0.07","0.07","0.08"
"European Union (28)","0.04","0.04","0.04","0.05","0.05","0.04","0.20","0.09","0.07","0.07","0.06","0.09","0.10","0.08","0.09","0.08","0.08","0.09","0.07","0.20","0.07","0.07","0.07","0.08"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.02","0.02","0.01","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Switzerland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","0.91","0.91","1.81","2.72","2.72","2.72","2.72","3.26","2.27","2.32","2.90","2.95","3.02","4.83","4.24","3.65","3.06","3.48","3.90","4.32","3.09","1.86","0.63","0.63"
