"Category","4.F.1 Cereals"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","9.93","9.93","9.98","10.18","11.04","10.67","11.19","12.36","14.32","15.42","15.29","15.85","16.25","13.55","13.45","12.03","15.11","11.97","10.75","9.02","10.68","12.90","14.91","16.36"
"Austria","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.04","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","1.40","1.31","1.51","0.93","0.67","0.66","0.72","0.41","0.68","0.57","0.59","0.44","0.61","0.74","0.48","0.82","0.62","0.59","0.33","0.71","0.67","0.80","0.83","0.77"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.08","0.08","0.07","0.08","0.08","0.07","0.07","0.06","0.04","0.05","0.05","0.04","0.04","0.03","0.03","0.04","0.02","0.02","0.01","0.01","0.01","0.01","0.00","0.01"
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Estonia","0.05","0.05","0.05","0.03","0.04","0.03","0.03","0.03","0.04","0.03","0.02","0.04","0.03","0.03","0.02","0.03","0.04","0.03","","","","","",""
"European Union (15)","13.40","13.40","12.54","9.47","4.20","3.94","3.54","4.86","4.59","4.86","4.29","2.91","2.33","2.41","2.28","2.06","1.98","1.89","1.98","2.24","2.25","2.26","2.32","2.37"
"European Union (28)","18.57","18.57","18.26","13.04","8.20","8.51","8.54","8.27","9.97","8.73","8.44","5.64","6.99","6.18","5.41","7.99","6.68","5.78","3.91","6.48","6.00","6.53","7.46","5.81"
"Finland","0.06","0.06","0.01","0.00","0.01","0.00","0.01","0.02","0.01","0.01","0.00","0.03","0.01","0.02","0.02","0.01","0.01","0.01","0.02","0.02","0.02","0.01","0.01","0.01"
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","1.11","1.11","1.52","1.25","1.21","1.30","1.21","1.21","1.23","1.14","1.13","1.19","1.23","1.19","1.13","1.26","1.27","1.18","1.16","1.41","1.31","1.32","1.36","1.38"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","0.47","0.47","0.50","0.49","0.48","0.48","0.46","0.49","0.46","0.51","0.51","0.47","0.45","0.50","0.47","0.55","0.52","0.51","0.52","0.53","0.52","0.51","0.50","0.52"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.58","0.58","0.51","0.48","0.56","0.58","0.51","0.58","0.67","0.60","0.59","0.59","0.65","0.65","0.62","0.46","0.55","0.52","0.64","0.56","0.57","0.63","0.47","0.70"
"Norway","0.97","0.97","0.76","0.41","0.57","0.41","0.51","0.55","0.40","0.42","0.38","0.40","0.32","0.24","0.20","0.22","0.19","0.16","0.15","0.16","0.10","0.11","0.08","0.08"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.43","0.43","0.40","0.32","0.28","0.30","0.39","0.42","0.46","0.44","0.42","0.34","0.34","0.34","0.31","0.19","0.15","0.17","0.25","0.27","0.38","0.40","0.43","0.44"
"Romania","4.03","3.72","4.10","2.51","3.20","3.81","4.19","2.90","4.63","3.21","3.49","2.21","3.98","2.97","2.60","5.04","4.02","3.25","1.60","3.52","3.08","3.47","4.31","2.66"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","2.23","2.23","2.31","1.74","2.06","1.82","1.42","2.67","2.39","2.73","2.19","0.85","0.27","0.33","0.32","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","4.12","4.12","4.25","3.97","4.32","3.68","3.83","3.98","4.04","4.50","3.90","4.38","4.00","4.18","4.14","4.57","4.81","4.55","3.83","3.80","4.41","4.27","4.62","4.34"
"Ukraine","","","","","","","","","","","","","","","","","0.53","0.72","0.56","3.35","4.07","1.76","3.51","1.72"
"United Kingdom of Great Britain and Northern Ireland","9.06","9.06","7.56","5.58","0.04","","","","","","","","","","","","","","","","","","",""
"United States of America","5.37","5.37","4.20","5.10","4.92","5.26","4.82","5.60","5.31","5.31","5.16","5.34","4.87","4.48","4.65","4.64","3.82","4.31","5.38","5.84","5.16","5.13","5.36","5.26"
