"Category","4.F.3 Tuber and Root"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","0.02","0.02","0.02","0.03","0.02","0.02","0.03","0.01","0.02","0.02","0.03","0.02","0.02","0.03","0.02","0.03","0.02","0.02","0.01","0.02","0.01","0.01","0.01","0.01"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0.00","","","","","",""
"European Union (15)","4.11","4.11","2.99","2.99","2.99","2.99","2.99","2.99","2.53","2.43","2.61","1.20","0.05","0.05","0.04","0.04","0.04","0.04","0.03","0.03","0.04","0.03","0.04","0.04"
"European Union (28)","4.35","4.35","3.15","3.20","3.26","3.21","3.22","3.24","2.76","2.67","2.90","1.45","0.34","0.34","0.32","0.34","0.30","0.32","0.28","0.28","0.30","0.25","0.30","0.20"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","0.05","0.05","0.05","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.03","0.03","0.04","0.03","0.04","0.04"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","0.28","0.20","0.12","0.17","0.24","0.19","0.19","0.23","0.20","0.21","0.25","0.22","0.25","0.26","0.25","0.27","0.24","0.26","0.24","0.23","0.25","0.21","0.26","0.16"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","4.06","4.06","2.94","2.94","2.94","2.94","2.94","2.94","2.48","2.38","2.57","1.15","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
