"Category","4.F.5 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","0.16","0.16","0.17","0.18","0.17","0.16","0.17","0.21","0.26","0.34","0.42","0.46","0.46","0.36","0.32","0.30","0.34","0.30","0.24","0.20","0.26","0.38","0.50","0.61"
"Austria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","0.25","0.46","0.55","0.48","0.31","0.33","0.44","0.32","0.32","0.34","0.37","0.32","0.21","0.30","0.36","0.48","0.42","0.48","0.26","0.53","0.54","0.59","0.55","0.52"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.15","0.15","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","0.06","0.06","0.07","0.07","0.07","0.07","0.08","0.08","0.08","0.11","0.10","0.10","0.11","0.09","0.11","0.12","0.12","0.12","0.10","0.09","0.11","0.08","0.08","0.09"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","10.17","10.17","10.63","10.44","10.29","10.58","10.66","10.61","11.90","10.20","9.56","10.08","10.36","8.09","11.52","9.67","7.72","9.33","9.56","8.90","10.45","10.81","11.15","11.20"
"European Union (28)","10.90","10.90","11.31","11.08","10.74","11.07","11.30","11.16","12.41","10.77","10.21","10.56","10.75","8.61","12.19","10.47","8.42","10.13","9.94","9.67","11.21","11.66","12.07","12.01"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","0.05","0.05","0.06","0.06","0.08","0.14","0.09","0.08","0.07","0.08","0.12","0.11","0.08","0.07","0.06","0.06","0.07","0.07","0.08","0.07","0.09","0.08","0.09","0.09"
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","2.05","2.05","1.96","1.79","1.60","1.65","1.79","1.85","1.64","1.68","1.64","1.84","1.79","1.80","1.82","1.71","1.74","1.61","1.61","1.59","1.80","1.80","1.63","1.67"
"Romania","0.15","0.12","0.13","0.16","0.15","0.16","0.20","0.23","0.18","0.23","0.28","0.15","0.18","0.21","0.31","0.33","0.28","0.32","0.11","0.24","0.23","0.26","0.37","0.29"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","8.01","8.01","8.53","8.51","8.53","8.72","8.70","8.60","10.10","8.34","7.70","8.02","8.39","6.13","9.53","7.78","5.79","7.53","7.78","7.14","8.45","8.84","9.35","9.35"
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","0.10","","","0.02","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","0.15","0.15","0.18","0.17","0.16","0.19","0.18","0.19","0.19","0.13","0.17","0.17","0.20","0.17","0.22","0.26","0.25","0.15","0.12","0.14","0.12","0.18","0.18","0.19"
