"Category","4.F Field Burning of Agricultural Residues"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","18.47","18.47","18.18","18.64","20.15","20.10","20.87","22.06","24.07","24.57","24.32","24.53","25.29","21.56","21.55","19.43","23.36","20.06","18.85","16.27","17.96","20.82","23.85","25.56"
"Austria","0.03","0.03","0.03","0.03","0.02","0.03","0.03","0.02","0.03","0.02","0.03","0.02","0.03","0.02","0.02","0.04","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","1.72","1.85","2.15","1.49","1.03","1.05","1.25","0.78","1.06","0.96","1.02","0.80","0.85","1.08","0.87","1.33","1.07","1.09","0.61","1.26","1.22","1.41","1.39","1.30"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.15","0.15","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.08","0.08","0.07","0.08","0.08","0.07","0.07","0.06","0.04","0.05","0.05","0.04","0.04","0.03","0.03","0.04","0.02","0.02","0.01","0.01","0.01","0.01","0.00","0.01"
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.10","0.12","0.12","0.11","0.12","0.10","0.12","0.13","0.13","0.13","0.11","0.10","0.12","0.09","0.09","0.10"
"Estonia","0.07","0.07","0.07","0.05","0.06","0.04","0.04","0.05","0.05","0.04","0.03","0.05","0.04","0.03","0.03","0.03","0.04","0.03","","","","","",""
"European Union (15)","28.02","28.02","26.25","23.17","17.50","17.58","17.23","18.54","19.09","17.59","16.55","14.26","12.76","10.56","13.85","11.78","9.75","11.28","11.58","11.18","12.74","13.11","13.51","13.61"
"European Union (28)","34.44","34.44","33.17","27.84","22.42","23.06","23.35","22.98","25.45","22.61","21.95","17.84","18.22","15.38","18.29","19.28","15.91","16.76","14.36","16.59","17.66","18.69","20.07","18.19"
"Finland","0.06","0.06","0.01","0.00","0.01","0.00","0.01","0.02","0.01","0.01","0.00","0.03","0.01","0.02","0.02","0.01","0.01","0.01","0.02","0.02","0.02","0.01","0.01","0.01"
"France","0.05","0.05","0.06","0.06","0.08","0.14","0.09","0.08","0.07","0.08","0.12","0.11","0.08","0.07","0.06","0.06","0.07","0.07","0.08","0.07","0.09","0.08","0.09","0.09"
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","1.17","1.17","1.58","1.32","1.27","1.36","1.27","1.28","1.30","1.20","1.19","1.25","1.29","1.25","1.19","1.31","1.33","1.23","1.21","1.45","1.36","1.36","1.40","1.43"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","0.47","0.47","0.50","0.49","0.48","0.48","0.46","0.49","0.46","0.51","0.51","0.47","0.45","0.50","0.47","0.55","0.52","0.51","0.52","0.53","0.52","0.51","0.50","0.52"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0.58","0.58","0.51","0.48","0.56","0.58","0.51","0.58","0.67","0.60","0.59","0.59","0.65","0.65","0.62","0.46","0.55","0.52","0.64","0.56","0.57","0.63","0.47","0.70"
"Norway","0.97","0.97","0.76","0.41","0.57","0.41","0.51","0.55","0.40","0.42","0.38","0.40","0.32","0.24","0.20","0.22","0.19","0.16","0.15","0.16","0.10","0.11","0.08","0.08"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","2.48","2.48","2.36","2.11","1.88","1.95","2.18","2.27","2.10","2.12","2.06","2.19","2.12","2.14","2.13","1.91","1.90","1.78","1.85","1.85","2.18","2.20","2.06","2.10"
"Romania","4.96","4.27","4.63","3.04","3.75","4.32","4.76","3.55","5.22","3.97","4.31","2.70","4.54","3.67","3.51","6.10","5.02","4.34","2.16","4.14","3.70","4.17","5.16","3.26"
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","14.61","14.61","13.87","13.44","13.54","13.53","13.09","14.29","15.03","13.53","12.53","10.07","8.66","6.46","9.85","7.78","5.79","7.53","7.78","7.14","8.45","8.84","9.35","9.35"
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","4.12","4.12","4.25","3.97","4.32","3.68","3.83","3.98","4.04","4.50","3.90","4.38","4.00","4.18","4.14","4.57","4.81","4.55","3.83","3.80","4.41","4.27","4.62","4.34"
"Ukraine","","","","","","","","","","","","","","","","","0.53","0.86","0.56","3.36","4.64","2.11","3.51","1.72"
"United Kingdom of Great Britain and Northern Ireland","9.06","9.06","7.56","5.58","0.04","","","","","","","","","","","","","","","","","","",""
"United States of America","7.69","7.69","6.55","7.55","7.15","7.85","7.03","7.96","7.88","7.76","7.55","7.71","7.29","6.86","6.82","6.76","6.21","7.12","7.69","8.31","7.93","7.71","7.87","7.86"
