"Category","4.G Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","6.49","6.49","6.68","6.30","6.09","6.51","6.63","6.30","6.29","6.31","6.14","6.03","6.00","5.93","5.80","5.63","5.62","5.63","5.70","5.80","5.78","5.57","5.65","5.65"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","152.76","152.76","141.74","137.43","132.30","123.71","130.68","129.54","127.84","128.88","133.06","136.23","130.10","126.55","124.95","125.76","124.15","123.37","117.06","125.72","115.88","116.10","124.92","119.13"
"European Union (28)","154.38","154.38","143.22","139.31","133.98","125.40","132.36","131.18","129.54","130.61","134.82","138.03","131.90","128.36","126.73","127.39","125.77","125.02","118.73","127.24","117.48","117.67","126.45","120.62"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","138.30","138.30","126.56","122.47","117.76","109.30","116.19","115.73","114.23","115.38","119.64","123.40","117.49","114.06","113.51","114.19","112.32","111.74","104.91","113.27","103.37","103.75","112.17","106.69"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","7.98","7.98","8.51","8.66","8.45","7.91","7.86","7.51","7.32","7.19","7.28","6.81","6.60","6.56","5.64","5.93","6.21","6.00","6.45","6.65","6.73","6.77","7.10","6.79"
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","1.73","1.61","1.48","1.88","1.68","1.69","1.68","1.64","1.70","1.73","1.75","1.80","1.80","1.81","1.78","1.63","1.62","1.65","1.67","1.52","1.60","1.56","1.53","1.49"
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","4.97","4.97","4.95","4.89","4.74","4.64","4.59","4.54","4.28","4.27","4.24","4.21","4.32","4.27","4.18","4.16","4.17","4.17","4.23","4.22","4.13","4.29","4.13","4.08"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
