"Category","4 Agriculture"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","317.39","317.39","327.74","290.86","291.71","345.14","437.68","490.16","510.54","490.92","544.75","639.30","753.64","712.45","550.97","546.02","450.00","588.60","579.65","663.43","584.43","444.37","593.66","706.56"
"Austria","6.51","6.51","6.70","6.32","6.11","6.53","6.66","6.32","6.32","6.33","6.17","6.05","6.02","5.95","5.83","5.67","5.64","5.65","5.72","5.82","5.80","5.59","5.66","5.66"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","1.72","1.85","2.15","1.49","1.03","1.05","1.25","0.78","1.06","0.96","1.02","0.80","0.85","1.08","0.87","1.33","1.07","1.09","0.61","1.26","1.22","1.41","1.39","1.30"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.15","0.15","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0.08","0.08","0.07","0.08","0.08","0.07","0.07","0.06","0.04","0.05","0.05","0.04","0.04","0.03","0.03","0.04","0.02","0.02","0.01","0.01","0.01","0.01","0.00","0.01"
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.10","0.12","0.12","0.11","0.12","0.10","0.12","0.13","0.13","0.13","0.11","0.10","0.12","0.09","0.09","0.10"
"Estonia","0.07","0.07","0.07","0.05","0.06","0.04","0.04","0.05","0.05","0.04","0.03","0.05","0.04","0.03","0.03","0.03","0.04","0.03","","","","","",""
"European Union (15)","194.33","194.33","181.51","173.33","160.88","154.24","160.09","162.68","160.55","161.07","165.11","166.83","157.89","151.16","154.55","152.15","147.04","148.28","142.55","148.27","140.36","142.54","150.88","145.17"
"European Union (28)","202.36","202.36","189.91","179.88","167.48","161.41","167.89","168.76","168.62","167.83","172.26","172.21","165.15","157.79","160.77","161.28","154.82","155.41","146.99","155.19","146.88","149.68","158.96","151.24"
"Finland","0.06","0.06","0.01","0.00","0.01","0.00","0.01","0.02","0.01","0.01","0.00","0.03","0.01","0.02","0.02","0.01","0.01","0.01","0.02","0.02","0.02","0.01","0.01","0.01"
"France","0.05","0.05","0.06","0.06","0.08","0.14","0.09","0.08","0.07","0.08","0.12","0.11","0.08","0.07","0.06","0.06","0.07","0.07","0.08","0.07","0.09","0.08","0.09","0.09"
"Germany","138.30","138.30","126.56","122.47","117.76","109.30","116.19","115.73","114.23","115.38","119.64","123.40","117.49","114.06","113.51","114.19","112.32","111.74","104.91","113.27","103.37","103.75","112.17","106.69"
"Greece","1.17","1.17","1.58","1.32","1.27","1.36","1.27","1.28","1.30","1.20","1.19","1.25","1.29","1.25","1.19","1.31","1.33","1.23","1.21","1.45","1.36","1.36","1.40","1.43"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","0.47","0.47","0.50","0.49","0.48","0.48","0.46","0.49","0.46","0.51","0.51","0.47","0.45","0.50","0.47","0.55","0.52","0.51","0.52","0.53","0.52","0.51","0.50","0.52"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","7.98","7.98","8.51","8.66","8.45","7.91","7.86","7.51","7.32","7.19","7.28","6.81","6.60","6.56","5.64","5.93","6.21","6.00","6.45","6.65","6.73","6.77","7.10","6.79"
"New Zealand","1.52","1.52","1.63","1.31","1.38","1.16","0.87","1.07","1.11","0.83","0.79","0.95","0.93","0.97","0.90","0.73","0.89","0.93","1.27","1.05","0.76","0.91","0.73","0.88"
