"Category","6.C Waste Incineration"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","0.10","0.10","0.09","0.06","0.05","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.03","0.02","0.01","0.01","0.01"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.17","1.17","1.12","0.91","0.81","0.47","1.19","1.19","0.61","0.93","0.65","0.68","0.64","0.44","0.52","0.54","0.32","0.10","0.10","0.49","0.56","0.64","0.58","0.54"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","0.42","0.63","0.55","0.51","0.45","0.44","0.43","0.39","0.11","0.12","0.12"
"Denmark","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.09"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","18.03","18.03","18.64","18.26","17.70","16.22","15.47","15.22","11.66","11.38","10.41","9.96","9.93","8.87","8.92","8.96","8.63","7.88","7.71","8.44","7.77","8.29","7.92","7.86"
"European Union (28)","18.15","18.15","18.76","18.38","17.82","16.34","15.59","15.34","11.78","11.50","10.53","10.08","10.06","9.41","9.67","9.65","9.26","8.48","8.31","9.03","8.32","8.59","8.26","8.21"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","6.26","6.26","6.33","6.47","6.55","6.45","6.24","5.89","5.32","4.67","4.03","4.12","3.70","3.30","3.19","2.89","3.08","2.48","2.16","2.22","1.84","1.92","1.79","1.78"
"Germany","0.14","0.14","0.16","0.16","0.24","0.26","0.26","0.28","0.27","0.28","0.28","0.27","0.27","0.28","0.31","0.31","0.30","0.30","0.31","0.33","0.34","0.35","0.38","0.38"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.12","0.10","0.14","0.15","0.13","0.14","0.17","0.18","0.19"
"Iceland","0.07","0.07","0.07","0.07","0.06","0.05","0.05","0.04","0.04","0.04","0.03","0.03","0.03","0.02","0.02","0.03","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02"
"Ireland","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.01","0.01"
"Italy","2.76","2.76","3.33","3.08","3.02","3.04","2.89","2.84","2.97","2.99","3.04","2.42","2.45","2.46","2.44","2.82","2.64","2.61","2.56","2.56","2.52","2.43","2.41","2.39"
"Japan","32.76","32.76","38.43","39.68","37.23","40.21","41.39","41.77","41.28","40.74","64.17","59.75","56.85","52.68","49.03","47.36","45.77","44.20","42.59","41.59","39.04","37.75","38.16","38.33"
"Latvia","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.01","0.01","0.01","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01"
"Monaco","","","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.03","0.04","0.04","0.03","0.04"
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.09","0.09","0.09","0.09","0.09","0.09","0.10","0.10","0.10","0.10","0.10","0.10","0.11","0.12","0.15","0.28","0.41","0.55","0.69","1.07","0.85","1.23","1.04","1.00"
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Spain","1.43","1.43","1.47","1.66","1.57","1.39","0.68","0.60","0.41","0.41","0.40","0.40","0.21","0.24","0.23","0.12","0.12","0.12","0.25","0.25","0.17","0.18","0.18","0.21"
"Sweden","0.02","0.02","0.04","0.03","0.04","0.05","0.05","0.07","0.05","0.04","0.04","0.04","0.04","0.06","0.13","0.13","0.12","0.09","0.08","0.09","0.09","0.09","0.10","0.10"
"Switzerland","0.33","0.33","0.31","0.29","0.27","0.25","0.24","0.23","0.22","0.22","0.21","0.19","0.18","0.17","0.18","0.18","0.18","0.17","0.17","0.17","0.16","0.16","0.16","0.16"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","5.99","5.99","5.95","5.75","5.30","4.36","4.08","4.27","1.94","1.97","1.86","1.91","2.50","1.97","1.93","1.84","1.60","1.56","1.51","1.40","1.36","1.42","1.44","1.42"
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
