"Category","6 Waste"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","0.10","0.10","0.09","0.06","0.05","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.03","0.02","0.01","0.01","0.01"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","1.17","1.17","1.12","0.91","0.81","0.47","1.19","1.19","0.61","0.93","0.65","0.68","0.64","0.44","0.52","0.55","0.32","0.10","0.10","0.49","0.58","0.64","0.58","0.55"
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","0.42","0.63","0.55","0.51","0.45","0.44","0.43","0.39","0.12","0.12","0.12"
"Denmark","0.12","0.12","0.12","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.13","0.13","0.13","0.13","0.13","0.12"
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","22.64","22.64","22.98","22.25","21.34","19.82","18.97","18.06","14.01","12.83","12.78","11.46","12.48","11.46","10.91","11.31","9.89","9.00","8.90","9.71","9.39","9.71","9.48","9.66"
"European Union (28)","22.77","22.77","23.10","22.37","21.47","19.94","19.09","18.18","14.13","12.95","12.90","11.58","12.61","12.00","11.66","12.00","10.52","9.60","9.50","10.29","9.94","10.03","9.82","10.01"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","6.26","6.26","6.33","6.47","6.55","6.45","6.24","5.89","5.32","4.67","4.03","4.12","3.70","3.30","3.19","2.89","3.08","2.48","2.16","2.22","1.84","1.92","1.79","1.78"
"Germany","0.14","0.14","0.16","0.16","0.24","0.26","0.26","0.28","0.27","0.28","0.28","0.27","0.27","0.28","0.31","0.31","0.30","0.30","0.31","0.33","0.34","0.35","0.38","0.38"
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.12","0.10","0.14","0.15","0.13","0.14","0.17","0.18","0.19"
"Iceland","0.07","0.07","0.07","0.07","0.06","0.05","0.05","0.04","0.04","0.04","0.03","0.03","0.03","0.02","0.02","0.03","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02"
"Ireland","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.01","0.01"
"Italy","3.43","3.43","4.03","3.73","3.63","3.90","3.96","4.02","4.45","4.34","4.50","3.86","4.56","4.47","4.36","3.88","3.81","3.63","3.65","3.72","4.01","3.75","3.87","4.08"
"Japan","32.76","32.76","38.43","39.68","37.23","40.21","41.39","41.77","41.28","40.74","64.17","59.75","56.85","52.68","49.03","47.36","45.77","44.20","42.59","41.59","39.04","37.75","38.16","38.33"
"Latvia","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0.01","0.01","0.01","0.00","0.01","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01"
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01"
"Monaco","","","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.03","0.03","0.03","0.03","0.04","0.04","0.03","0.04"
"Netherlands","3.91","3.91","3.60","3.30","2.99","2.68","2.38","1.60","0.83","0.05","0.87","0.01","0.39","0.52","0.00","1.24","0.01","0.00","0.00","0.01","0.01","0.03","0.03","0.05"
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0.09","0.09","0.09","0.09","0.09","0.09","0.10","0.10","0.10","0.10","0.10","0.10","0.11","0.12","0.15","0.28","0.44","0.59","0.72","1.11","0.89","1.25","1.04","1.00"
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Spain","1.44","1.44","1.47","1.67","1.58","1.40","0.68","0.60","0.42","0.42","0.41","0.41","0.22","0.26","0.24","0.13","0.14","0.13","0.26","0.26","0.18","0.19","0.19","0.23"
"Sweden","0.02","0.02","0.04","0.03","0.04","0.05","0.05","0.07","0.05","0.04","0.04","0.04","0.04","0.06","0.13","0.13","0.12","0.09","0.08","0.09","0.09","0.09","0.10","0.10"
"Switzerland","0.52","0.52","0.51","0.49","0.47","0.43","0.42","0.42","0.42","0.42","0.40","0.39","0.39","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.36","0.37","0.37","0.38"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","5.99","5.99","5.95","5.75","5.30","4.36","4.08","4.27","1.94","1.97","1.86","1.91","2.50","1.97","1.93","1.84","1.60","1.56","1.51","1.40","1.36","1.42","1.44","1.42"
"United States of America","0.27","0.27","0.39","0.56","0.95","0.85","0.69","1.81","1.81","1.82","2.73","2.09","2.09","1.78","1.97","2.16","2.35","2.08","1.82","1.56","1.49","1.42","1.34","1.34"
