"Category","Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","22.19","22.19","23.09","24.52","26.61","27.40","30.03","32.37","33.56","37.15","37.19","37.49","39.90","34.22","30.22","36.31","42.04","42.48","47.43","46.93","48.13","52.40","52.79","48.94"
"Austria","2.77","2.77","3.12","3.40","3.61","3.77","4.23","4.66","4.85","5.01","4.92","7.05","6.89","6.43","6.01","7.09","7.82","8.32","8.87","8.82","7.71","8.50","9.05","8.71"
"Belarus","23.43","23.43","15.12","6.80","3.35","1.38","0.89","0.80","0.75","0.43","0.49","0.80","0.87","1.06","1.15","1.11","0.88","0.68","0.91","1.04","0.74","0.97","1.03","0.99"
"Belgium","1.00","1.00","1.02","1.03","1.07","1.17","1.23","1.38","1.56","1.94","2.42","2.86","2.95","3.10","3.78","3.80","3.13","3.52","4.11","4.54","4.74","5.93","6.50","5.41"
"Bulgaria","3.86","2.49","1.63","2.93","3.93","3.19","3.16","2.08","1.54","1.36","0.73","0.76","1.02","1.22","1.60","1.56","1.94","1.88","1.92","2.22","1.62","1.79","1.81","1.76"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.44","1.44","0.29","0.24","0.58","0.79","0.78","0.74","0.80","0.86","0.83","0.71","0.71","0.68","0.68","0.78","0.95","0.96","0.99","1.11","0.95","1.01","1.06","1.09"
"Cyprus","0.39","0.39","0.39","0.48","0.49","0.52","0.55","0.54","0.57","0.58","0.62","0.66","0.72","0.71","0.72","0.75","0.76","0.76","0.77","0.82","0.79","0.78","0.72","0.70"
"Czech Republic","3.75","3.75","","2.89","","1.72","2.25","2.79","2.47","1.37","3.27","2.08","","","","0.99","0.56","0.56","4.02","7.57","7.31","3.73","3.72","3.68"
"Denmark","7.02","7.02","6.59","6.85","6.70","7.32","7.52","7.90","8.06","8.66","9.20","9.45","9.60","8.72","9.08","10.47","11.02","11.16","11.40","11.29","9.84","10.11","10.47","10.63"
