"Category","International bunkers"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","76.87","76.87","72.69","72.20","74.22","81.08","101.43","105.25","100.66","96.22","103.12","112.08","109.81","110.07","103.94","111.23","112.39","125.50","116.15","125.77","121.17","110.86","104.74","120.25"
"Austria","3.17","3.17","3.47","3.74","3.96","4.23","4.75","5.19","5.37","5.59","5.50","7.68","7.56","7.20","6.63","7.82","8.52","8.94","9.52","9.41","8.21","9.08","9.55","9.22"
"Belarus","23.43","23.43","15.12","6.80","3.35","1.38","0.89","0.80","0.75","0.43","0.49","0.80","0.87","1.06","1.15","1.11","0.88","0.68","0.91","1.04","0.74","0.97","1.03","0.99"
"Belgium","20.57","20.57","20.54","20.00","19.51","19.96","20.20","20.26","21.75","22.19","23.18","22.47","23.31","23.89","23.50","22.89","22.74","22.76","24.71","25.03","22.26","24.95","25.01","23.17"
"Bulgaria","22.35","5.98","19.49","19.20","19.64","19.00","19.60","16.36","2.10","5.73","1.23","4.75","7.00","7.78","10.15","8.74","8.80","8.43","5.16","9.78","14.34","7.74","6.46","5.68"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","2.87","2.87","1.23","1.26","2.09","2.61","2.13","2.25","1.76","1.94","1.70","1.46","1.89","1.66","1.58","1.75","1.99","1.77","1.98","1.98","1.23","1.27","2.03","1.09"
"Cyprus","0.39","0.39","0.39","0.48","0.49","0.52","0.55","0.54","0.57","0.58","0.62","0.66","0.72","0.71","0.72","0.75","0.76","0.76","0.77","1.83","1.80","1.98","1.86","1.76"
"Czech Republic","3.75","3.75","","2.89","","1.72","2.25","2.79","2.47","1.37","3.27","2.08","","","","0.99","0.56","0.56","4.02","7.57","7.31","3.73","3.72","3.68"
"Denmark","67.65","67.65","60.53","62.65","94.55","106.61","112.63","108.41","101.30","101.02","98.35","101.09","85.03","69.11","74.42","67.22","70.76","92.02","98.28","85.19","48.28","65.59","68.02","51.12"
"Estonia","11.67","11.67","12.12","7.90","9.68","8.17","5.71","5.92","6.40","6.73","7.16","6.79","6.43","7.60","7.23","9.64","7.95","13.52","15.75","15.80","14.22","14.01","12.06","11.03"
"European Union (15)","1,492.96","1,492.96","1,448.55","1,486.87","1,556.60","1,523.83","1,586.12","1,680.03","1,826.01","1,943.27","1,880.12","1,970.33","1,958.71","1,895.69","2,030.42","2,140.50","2,168.48","2,340.36","2,437.82","2,445.79","2,280.70","2,216.58","2,238.76","2,082.85"
"European Union (28)","1,561.88","1,561.88","1,500.16","1,541.90","1,617.02","1,588.79","1,638.69","1,730.15","1,863.72","1,975.59","1,913.71","2,011.70","2,036.73","1,977.39","2,132.15","2,247.44","2,293.04","2,425.61","2,572.56","2,573.51","2,432.38","2,334.96","2,370.47","2,204.72"
