"Category","Marine"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","54.68","54.68","49.60","47.68","47.60","53.68","71.41","72.88","67.10","59.08","65.94","74.59","69.90","75.85","73.73","74.92","70.35","83.02","68.72","78.84","73.04","58.46","51.96","71.31"
"Austria","0.40","0.40","0.35","0.34","0.35","0.45","0.51","0.53","0.52","0.58","0.57","0.63","0.68","0.77","0.61","0.73","0.71","0.61","0.65","0.59","0.50","0.58","0.51","0.51"
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","19.57","19.57","19.52","18.97","18.43","18.79","18.97","18.88","20.20","20.26","20.76","19.61","20.36","20.79","19.71","19.09","19.61","19.23","20.60","20.49","17.52","19.02","18.50","17.76"
"Bulgaria","18.50","3.48","17.85","16.27","15.71","15.81","16.44","14.29","0.56","4.37","0.50","3.99","5.99","6.55","8.55","7.18","6.86","6.55","3.24","7.56","12.72","5.96","4.64","3.93"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","1.44","1.44","0.94","1.02","1.51","1.82","1.35","1.52","0.97","1.07","0.88","0.75","1.19","0.98","0.90","0.96","1.04","0.80","0.99","0.87","0.28","0.25","0.98",""
"Cyprus","","","","","","","","","","","","","","","","","","","","1.00","1.01","1.20","1.14","1.06"
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","60.64","60.64","53.94","55.81","87.85","99.30","105.11","100.51","93.24","92.36","89.14","91.64","75.43","60.38","65.34","56.75","59.74","80.86","86.88","73.90","38.44","55.48","57.55","40.49"
"Estonia","11.34","11.34","11.79","7.79","9.51","8.03","5.55","5.78","6.20","6.59","6.96","6.59","6.28","7.43","7.07","9.37","7.51","13.24","15.29","15.56","13.92","13.67","11.76","10.69"
"European Union (15)","1,253.83","1,253.83","1,216.44","1,234.40","1,289.13","1,243.15","1,289.66","1,368.51","1,500.69","1,590.04","1,500.03","1,564.41","1,562.51","1,516.00","1,639.65","1,719.10","1,721.95","1,874.35","1,957.65","1,968.85","1,832.54","1,769.01","1,775.68","1,622.81"
"European Union (28)","1,313.24","1,313.24","1,264.25","1,282.35","1,343.87","1,301.25","1,334.59","1,411.54","1,531.99","1,617.28","1,527.15","1,600.52","1,637.03","1,594.00","1,736.79","1,819.85","1,840.01","1,953.10","2,081.63","2,082.49","1,971.42","1,877.54","1,897.55","1,734.90"
"Finland","50.07","50.07","47.76","59.54","48.90","39.59","32.59","35.79","38.35","40.25","41.81","47.02","40.88","46.39","46.03","35.87","34.55","38.38","31.00","25.86","15.92","13.72","12.23","7.02"
"France","153.84","153.84","159.45","154.27","148.27","132.07","136.29","143.04","157.67","173.49","176.22","182.12","154.71","150.03","162.97","185.36","169.36","175.74","180.05","156.85","157.19","152.94","163.34","154.28"
"Germany","182.95","182.95","153.73","128.46","160.60","147.80","149.18","147.92","159.06","150.38","152.66","161.30","162.82","175.13","193.43","197.81","185.24","192.00","229.53","221.66","202.47","206.40","203.10","189.93"
"Greece","185.26","185.26","169.92","195.05","227.66","241.78","259.70","228.60","229.25","256.03","227.38","262.66","255.24","228.46","234.29","236.23","208.89","225.45","232.20","227.09","192.74","200.74","162.62","132.70"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","2.43","2.43","0.92","1.47","2.39","2.29","3.52","3.03","3.63","4.30","4.02","5.34","3.65","5.08","3.51","4.80","2.70","3.34","5.01","5.50","3.97","4.39","4.77","4.38"
"Ireland","1.02","1.02","1.94","0.97","3.07","2.22","6.66","9.00","8.60","9.00","9.79","8.60","9.17","8.20","9.74","8.54","5.94","7.28","6.45","3.99","5.47","7.74","6.01","7.14"
"Italy","84.52","84.52","69.04","66.52","70.88","70.11","77.74","55.07","58.95","61.61","63.67","80.58","92.72","106.91","120.96","130.98","133.17","143.23","149.21","162.30","139.61","134.13","138.30","108.66"
"Japan","432.34","432.34","456.18","458.82","516.57","515.31","520.88","306.70","399.32","425.40","403.04","421.22","363.86","381.70","419.43","439.11","495.64","466.20","463.19","424.65","375.17","364.65","327.95","323.61"
"Latvia","38.05","38.05","11.40","14.50","17.10","22.47","12.11","7.83","5.69","1.18","0.78","0.63","15.54","16.43","15.01","16.20","20.86","15.81","14.31","16.62","22.08","20.25","17.20","19.28"
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","8.04","5.39","8.32","8.01","6.94","5.16","7.41","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","5.11","5.11","5.82","8.37","10.91","9.96","9.49","13.61","17.88","11.99","18.00","24.14","45.53","46.61","57.58","61.65","73.47","31.11","74.85","59.91","78.22","65.01","82.96","72.18"
"Monaco","0.08","0.08","0.11","0.10","0.08","0.08","0.08","0.08","0.10","0.10","0.14","0.20","0.28","0.24","0.28","0.32","0.32","0.31","0.36","0.40","0.45","0.47","0.44","0.51"
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","19.88","19.88","17.28","15.72","18.65","25.13","20.52","19.95","21.23","23.94","19.92","14.25","15.52","19.18","17.75","18.01","18.68","18.59","18.09","21.04","20.84","22.41","20.72","25.70"
"Norway","26.38","26.38","22.32","27.96","29.87","32.91","40.12","44.54","54.16","51.68","47.80","47.26","47.22","37.18","36.71","34.97","39.76","39.51","35.64","33.70","26.58","20.21","18.69","16.27"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","32.43","32.43","32.17","32.10","27.05","24.60","25.86","27.28","26.60","26.81","35.06","38.63","26.89","28.49","35.19","41.12","36.01","39.31","41.35","45.80","41.73","37.92","45.30","48.89"
"Romania","","","","","","","","","","2.04","","","","","","","","0.84","4.47","1.68","0.62","0.69","0.57","0.90"
"Russian Federation","123.84","123.84","81.56","77.92","81.90","83.76","101.01","106.25","111.83","109.38","131.11","141.35","158.34","193.69","224.22","288.99","343.16","362.63","407.66","275.01","337.03","391.62","434.90","484.48"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","2.39","3.89","5.28","2.60","1.48","2.62","4.05"
"Spain","249.26","249.26","266.02","267.70","240.90","219.06","222.40","323.93","398.14","427.80","416.82","429.40","482.03","494.80","504.92","521.06","572.68","597.43","610.32","627.95","624.50","599.75","617.02","604.75"
"Sweden","46.30","46.30","55.94","63.50","63.97","75.72","74.85","78.61","92.14","105.82","104.83","100.94","98.03","85.15","115.43","137.75","136.52","147.35","150.60","143.75","150.33","134.62","119.24","115.08"
"Switzerland","0.79","0.79","0.73","0.75","0.74","0.80","0.74","0.65","0.65","0.53","0.54","0.51","0.41","0.33","0.40","0.40","0.46","0.41","0.41","0.39","0.36","0.37","0.32","0.28"
"Turkey","","","","","","","","","","","","","","","","","","","","21.41","17.17","15.24","119.72","50.52"
"Ukraine","30.04","30.04","","","","","","","","9.43","7.60","6.91","7.40","4.38","3.11","3.75","4.24","4.14","2.84","2.21","2.25","2.49","1.75","1.63"
"United Kingdom of Great Britain and Northern Ireland","193.08","193.08","192.08","196.18","194.71","174.98","183.33","202.97","222.09","229.88","166.06","147.06","149.16","116.39","137.56","157.84","168.96","216.53","228.24","267.86","254.91","216.94","243.22","205.93"
"United States of America","1,802.86","1,802.86","1,963.81","1,683.47","1,402.52","1,332.00","1,338.52","1,342.90","1,446.32","1,553.92","1,244.74","1,094.61","1,030.54","1,098.55","1,190.47","1,438.28","1,461.85","1,485.20","1,485.26","1,605.44","1,479.76","1,544.76","1,292.25","1,138.13"
