Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 238 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CH₄ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,1318.38408,1318.38408,1340.248767,1418.429111,1363.688129,1275.168125,1315.28753,1340.785335,1448.050717,1447.252111,1299.296291,1380.739808,1353.638152,1293.030805,1268.617873,1297.191811,1337.541462,1382.564943,1439.154136,1448.622643,1429.482328,1426.890414,1399.472107,1402.423454,1382.827254,1318.33672,1446.006581,1498.885883,1507.18277
Australia,1.AA  Fuel Combustion - Sectoral approach,127.2106849,127.2106849,129.7322039,133.1755002,134.1204554,131.8782051,129.1788112,126.3219508,123.4727915,117.3990189,110.3185264,105.2859522,102.5872932,90.1325535,88.51291663,86.42250851,81.37030635,79.6288259,76.84246927,74.51957494,80.21539023,76.86872917,68.62580667,71.68562581,69.45215842,72.72009821,74.16623977,81.33670684,78.86726611
Australia,1.A.1  Energy Industries,1.680761681,1.680761681,1.641614004,1.67684578,1.725889602,1.763942697,1.883795715,1.936528856,1.993005523,3.773731682,3.84326891,6.413691666,6.725091239,6.45656452,6.286214783,6.586049335,6.354118249,6.894626123,7.088971061,7.562660047,16.38699747,14.97288178,10.48662014,14.03215034,12.20794552,16.67317965,19.39367178,27.374898,25.35857253
Australia,1.A.1.a  Public Electricity and Heat Production,1.356749403,1.356749403,1.300025625,1.321839553,1.339240964,1.382255482,1.487418343,1.528756793,1.551876226,3.311683413,3.366362741,5.933298448,6.238582098,5.934406862,5.729190472,5.981287706,5.701166772,6.240731071,6.453898291,6.923326195,15.70178621,14.2737593,9.735369404,13.2276081,11.34636958,15.79279318,18.54148313,26.40887658,24.25982736
Australia,1.A.1.b  Petroleum Refining,0.061983799,0.061983799,0.063974759,0.063118914,0.066818603,0.068803767,0.06961812,0.069117862,0.065806318,0.065501569,0.076620844,0.072194646,0.074514709,0.07420878,0.07312173,0.067972736,0.068001087,0.062566135,0.066274166,0.063740319,0.08189923,0.081016523,0.087382984,0.083711126,0.080905041,0.074291757,0.06360425,0.046378663,0.051152042
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,0.262028479,0.262028479,0.277613619,0.291887313,0.319830035,0.312883448,0.326759252,0.338654201,0.375322979,0.3965467,0.400285325,0.408198573,0.411994432,0.447948878,0.48390258,0.536788894,0.58495039,0.591328917,0.568798604,0.575593533,0.603312038,0.618105956,0.663867747,0.720831123,0.780670893,0.806094716,0.788584395,0.919642758,1.047593135
Australia,1.A.1.c.i  Manufacture of Solid Fuels,0.029109669,0.029109669,0.035427279,0.03838593,0.035714319,0.024612978,0.019962309,0.012106679,0.027639329,0.019376683,0.02082117,0.015144491,0.012103592,0.013978387,0.020741259,0.021761267,0.01723704,0.020593351,0.023494756,0.023392088,0.013233311,0.017780968,0.019483064,0.017627995,0.018089423,0.015938759,0.011023903,0.011134452,0.010163088
Australia,1.A.1.c.ii  Oil and Gas Extraction,0.160775481,0.160775481,0.168894252,0.179803437,0.20431741,0.209215678,0.23044459,0.244987763,0.261555413,0.280139039,0.273027926,0.283252681,0.287452926,0.314655974,0.246552426,0.271724508,0.284108586,0.311626819,0.304885257,0.306068895,0.326295588,0.325171594,0.332898199,0.332669892,0.367486442,0.391315231,0.397922779,0.517210402,0.617834177
Australia,1.A.1.c.iii  Other Energy Industries,0.072143329,0.072143329,0.073292088,0.073697946,0.079798307,0.079054793,0.076352353,0.081559759,0.086128237,0.097030978,0.106436229,0.109801401,0.112437913,0.119314517,0.216608895,0.243303119,0.283604764,0.259108747,0.24041859,0.246132549,0.263783139,0.275153393,0.311486484,0.370533236,0.395095027,0.398840725,0.379637713,0.391297904,0.41959587
