Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 115 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,5262.64492,5262.64492,5288.121801,5471.385564,5608.942737,5678.769997,5766.050379,5762.15478,5668.597563,5373.778481,5191.521458,4845.634066,4572.628768,4420.716173,4225.662896,4043.739244,3607.913473,3484.478867,3172.434575,2968.641935,2842.829509,2703.727462,2535.745348,2497.372303,2451.454676,2408.609651,2375.67337,2331.770223,2314.020661
Australia,1.AA  Fuel Combustion - Sectoral approach,5238.732705,5238.732705,5265.818966,5448.745206,5587.515525,5659.265982,5745.618717,5742.844064,5651.663718,5364.654439,5175.634134,4827.290821,4553.572441,4403.970053,4211.023912,4028.873546,3593.894926,3469.977964,3156.105041,2952.087371,2833.53313,2693.872432,2527.798389,2486.95601,2441.108437,2398.499822,2360.613948,2311.620468,2286.819655
Australia,1.A.1  Energy Industries,69.84822215,69.84822215,71.67345318,69.1775524,72.72652429,73.85031223,80.33378628,76.58036147,83.15818093,93.80124138,96.22898486,101.7612528,100.4488413,107.7225414,134.9700764,151.6608393,173.078089,171.0908099,169.1730067,173.6909633,189.5717737,183.3919895,181.0364341,207.7288726,220.086144,236.2236939,246.6442243,260.8730028,266.9134877
Australia,1.A.1.a  Public Electricity and Heat Production,46.5969799,46.5969799,46.50433271,43.05829868,45.6282329,47.63158409,53.52985631,50.00311944,52.54730446,60.95097254,62.48420818,67.64788625,66.47688198,72.75412041,68.78811037,77.13399634,85.4044508,87.72481924,92.19263406,95.4011398,106.9907631,95.91719002,82.91001181,91.47118,87.17822579,100.8840149,119.4860683,132.5538627,128.4748194
Australia,1.A.1.b  Petroleum Refining,4.313393993,4.313393993,4.483743796,4.407551714,4.679204445,4.837152406,4.931172743,4.827814309,4.549388732,4.625245704,5.313077078,4.861253229,4.953133903,4.901593543,4.806090021,4.407442413,4.379437298,3.956822349,4.265012693,4.098657129,4.127081737,4.10534194,4.431092312,4.236833168,4.097597307,3.779816728,3.227818985,2.374804373,2.592608924
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,18.93784825,18.93784825,20.68537667,21.711702,22.41908695,21.38157573,21.87275723,21.74942772,26.06148774,28.22502314,28.43169961,29.25211336,29.01882541,30.0668274,61.37587602,70.11940052,83.2942009,79.40916829,72.7153599,74.19116638,78.45392884,83.36945757,93.69532998,112.0208594,128.8103209,131.5598623,123.930337,125.9443357,135.8460594
Australia,1.A.2  Manufacturing Industries and Construction,163.6783188,163.6783188,157.4062463,154.6985433,161.7545786,166.511258,167.6838839,171.5818193,167.9294624,166.9247469,168.6141676,166.6075934,158.8045805,168.3832458,161.483504,162.3681531,169.0089612,170.0062208,175.6083678,188.5270571,175.9326951,185.6330782,194.8902602,221.1137319,245.9730876,241.0854526,238.519409,232.2511055,231.7539899
Australia,1.A.2.a  Iron and Steel,6.667104367,6.667104367,6.821485513,7.074292086,7.439424433,7.929968635,8.548659632,9.017597681,8.771582921,8.663400131,8.503536462,8.230417681,5.542163021,6.214124418,4.238837486,4.598191792,4.963081926,4.621288055,4.522726191,5.002129713,4.108365908,4.133326646,3.11272563,3.743732298,2.845985408,2.826404568,2.851373493,2.743521747,3.048515768
Australia,1.A.2.b  Non-Ferrous Metals,12.11031674,12.11031674,12.68762567,12.62946545,12.95672815,12.81580235,12.12066659,13.11647553,12.22688842,11.81841503,12.65676086,13.24700843,12.90640269,13.17989176,15.2202179,15.14469351,15.98443741,15.6779765,17.38070242,21.59139398,17.12801279,14.78446264,14.04971,16.17569808,17.13207579,18.01484974,14.01580538,13.16168176,13.60956881
