Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 279 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,259089.0635,259089.0635,261077.8943,265636.3056,269692.6933,272493.5233,283546.7993,290186.9462,298419.5558,311658.248,320154.8441,326738.2134,334467.4183,338882.766,344699.0513,357307.1225,362401.8422,367646.6148,374036.3856,379435.628,385300.8116,380849.1894,378049.0923,383510.0745,376234.9938,372218.4051,380865.8213,391363.6067,394703.2223
Australia,1.AA  Fuel Combustion - Sectoral approach,251676.179,251676.179,253930.9648,258171.1095,262400.8418,265436.4945,276243.4155,283143.916,291385.0228,304390.1475,312666.1696,318461.1832,325972.1477,330511.8745,337196.4121,350140.122,355153.1513,360281.1082,366203.0877,371623.2731,376938.6692,372262.4795,369816.8948,374869.4156,367052.5932,362549.3824,369692.2741,378134.796,378658.5983
Australia,1.A.1  Energy Industries,142550.688,142550.688,145798.893,149113.824,150856.9136,151678.6593,157480.7633,162065.7759,168676.2909,181227.9689,188414.6767,191300.6148,198481.4328,200598.6798,203856.4915,212923.5757,215219.5841,219705.3387,222727.8922,224490.4144,230122.173,224253.205,219120.8489,220112.0867,209278.5536,203088.3603,210017.5772,218283,216468.2422
Australia,1.A.1.a  Public Electricity and Heat Production,129096.6081,129096.6081,131266.498,134115.566,135024.1985,136597.2293,142196.8249,147213.1991,152192.9849,164724.4512,170956.3745,174647.7981,181825.9399,183036.3598,185522.2871,193871.6598,195666.7143,200199.5559,202966.7192,204797.8331,210253.9934,203738.5773,197146.0149,197716.677,185720.3734,179408.6645,187753.38,193307.1596,188411.1634
Australia,1.A.1.b  Petroleum Refining,5512.070287,5512.070287,5741.477053,5637.98223,5990.356532,6199.494055,6333.404475,6176.0665,5802.589248,5935.291097,6782.599481,6152.227254,6264.26773,6190.786153,6045.75455,5521.265511,5463.884724,4907.450468,5319.774218,5110.705933,5191.892296,5285.287198,5684.298727,5141.383292,4899.393982,4582.602096,3853.209109,2951.891447,2982.321184
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,7942.009593,7942.009593,8790.917914,9360.275806,9842.358528,8881.935968,8950.533968,8676.510348,10680.71676,10568.22655,10675.70269,10500.58946,10391.22524,11371.53383,12288.44982,13530.65036,14088.9851,14598.33232,14441.39871,14581.87535,14676.28726,15229.34057,16290.53527,17254.02637,18658.78621,19097.09371,18410.98811,22023.94902,25074.75767
Australia,1.A.1.c.i  Manufacture of Solid Fuels,2463.001661,2463.001661,3079.434615,3350.408075,3089.399442,2008.658902,1553.422509,814.5369523,2288.456885,1488.224541,1633.190664,1120.418751,860.6483688,1023.362012,1661.457097,1766.077448,1309.960339,1671.774403,1954.484009,1953.332432,1136.402402,1533.816578,1685.142302,1531.424145,1570.406461,1377.438748,913.2332217,922.0697359,832.0694952
Australia,1.A.1.c.ii  Oil and Gas Extraction,4188.310333,4188.310333,4397.653623,4683.095822,5325.242153,5453.111472,6005.276475,6382.657194,6813.055997,7296.480518,7117.528794,7384.474377,7494.620841,8201.699518,6590.278821,7232.521698,7472.354556,8100.263134,7980.929202,8012.702366,8546.967201,8491.456064,8708.649758,8702.068231,9568.785549,10228.48976,10416.01839,13546.1265,16137.65678
Australia,1.A.1.c.iii  Other Energy Industries,1290.697599,1290.697599,1313.829677,1326.771909,1427.716933,1420.165594,1391.834984,1479.316202,1579.203874,1783.521493,1924.983236,1995.696328,2035.956027,2146.472299,4036.713902,4532.051219,5306.670207,4826.29478,4505.985496,4615.840551,4992.917659,5204.067925,5896.743211,7020.533996,7519.594203,7491.165203,7081.736494,7555.752785,8105.031391
Australia,1.A.2  Manufacturing Industries and Construction,35866.53863,35866.53863,35411.64279,34991.92526,35542.95072,36314.32575,37242.61739,37257.60792,37342.36258,37440.66474,37694.5848,38507.76508,38027.95694,38705.2387,39194.98775,40063.56503,41127.21052,40191.29482,40457.90615,42551.08063,41807.36021,40998.17402,40519.45839,43568.59224,45864.25252,45740.89035,43358.02907,41279.59919,40814.56267
Australia,1.A.2.a  Iron and Steel,2722.848027,2722.848027,2563.003899,2467.281691,2477.269873,2745.369367,2909.221859,2966.565037,2817.632488,2820.567426,2682.554471,2509.135989,2535.44596,2756.86493,2455.923558,2672.586906,2903.811467,2573.211131,2468.369153,2807.357392,2525.035456,2551.993316,1762.689193,2249.982501,1560.99591,1551.880424,1552.83543,1499.508658,1734.282797
Australia,1.A.2.b  Non-Ferrous Metals,11150.13484,11150.13484,11594.36117,11930.9392,12075.90132,12366.85291,12432.58068,12253.03085,12488.50414,12182.26962,12526.62472,13261.88729,12490.50356,12694.44555,12423.85234,12733.46625,13722.72653,13867.54406,14142.18615,14748.3629,13585.08842,13010.71126,12045.00975,13114.27437,14397.14801,15021.78427,13141.50324,12484.8776,12806.80595
Australia,1.A.2.c  Chemicals,5624.678151,5624.678151,5778.964324,5357.590485,5524.736372,5435.816298,5578.85962,5891.105523,5473.744918,6137.895882,5783.185899,6036.658139,6646.445129,6133.815649,6822.844082,7504.252104,6839.326083,6570.578446,6194.263496,6921.267472,6689.508807,6591.819803,7062.737012,8019.639761,8768.203581,8291.433064,8666.216541,7707.505919,6835.082558
Australia,"1.A.2.d  Pulp, Paper and Print",1289.606258,1289.606258,1153.698414,1170.321196,1356.462445,1295.461253,1328.18122,1299.343637,1376.484829,1284.231681,1476.841681,1448.962873,1463.622873,1463.622873,1500.222926,1616.610519,1766.32637,1770.959154,1707.817951,1652.902353,1655.349217,1685.140753,1453.419583,1345.682428,1543.601386,1390.583057,1342.201207,1317.06795,1340.148659
Australia,"1.A.2.e  Food Processing, Beverages and Tobacco",2895.946007,2895.946007,3005.066007,3001.160342,2982.926301,3109.360138,3214.908016,3200.994905,3144.093714,3124.72444,3062.397289,3079.405632,2480.746097,2489.601591,3258.2317,2965.391728,3394.254176,3309.006745,2999.019355,3061.862423,3333.737708,3258.052493,3409.398671,3185.992198,3141.029732,3159.751353,3045.613944,2984.564005,2740.049865
Australia,1.A.2.f  Non-metallic Minerals,5500.98888,5500.98888,4972.967835,4769.253068,4816.417835,5082.932864,5196.607166,4783.240794,4844.651411,4903.621411,5063.371672,5030.804071,5394.560949,5478.053656,6457.756187,6487.30745,6246.410379,6117.586488,6773.021816,6826.217647,6440.001043,6591.294971,6653.621572,6087.323148,5558.907808,5283.48861,5248.103777,5161.985198,4857.389468
Australia,1.A.2.g  Other,6682.33647,6682.33647,6343.581147,6295.37928,6309.236571,6278.532912,6582.258828,6863.327172,7197.251083,6987.354277,7099.609076,7140.911093,7016.632373,7688.834443,6276.156954,6083.950075,6254.355517,5982.408798,6173.228226,6533.110444,7578.639553,7309.161423,8132.582608,9565.697831,10894.36609,11041.96957,10361.55493,10124.08986,10500.80337
Australia,1.A.2.g.i  Manufacturing of Machinery,479.7077304,479.7077304,465.5665385,460.4253467,456.162963,457.0417712,447.6381957,447.6381957,427.0734284,417.6698529,407.3874692,386.8227019,317.3507835,311.3307835,309.6628917,368.2065135,373.0474754,328.2294773,349.5541197,351.8588351,365.9645965,368.0170603,386.3396351,373.9405612,319.9973292,276.2978188,245.0345698,210.1645868,189.2482014
Australia,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,2475.928929,2475.928929,2459.000758,2562.647233,2648.853333,2691.942057,3071.330357,3485.995851,3940.158106,3796.96534,4023.326098,4177.318842,4178.8223,4850.614625,3412.772102,3203.256406,3298.727883,3219.74081,3391.849996,3763.046064,4871.841461,4644.399824,5431.848614,6885.150701,8319.089753,8570.546257,7935.830733,7754.910033,8170.019777
Australia,1.A.2.g.v  Construction,2848.033215,2848.033215,2582.413215,2491.543215,2405.814407,2329.294407,2251.434407,2174.544407,2097.654407,2076.438709,2016.821092,1952.062284,1916.61586,1918.484154,1867.194287,1844.804004,1868.451542,1761.454009,1761.184855,1762.257125,1723.980163,1694.484014,1692.862443,1679.012896,1651.029965,1606.610235,1625.478785,1599.894513,1579.95883
Australia,1.A.2.g.vi  Textile and Leather,522.3474692,522.3474692,495.7050855,479.7150855,512.7810447,524.9122365,557.9570039,516.6734284,509.3134284,494.6722365,465.8898529,453.9462774,453.9462774,459.0874692,454.5495283,431.4302708,479.1165332,467.6733893,463.3113401,440.9022241,394.7887757,370.246981,373.9098085,376.4247536,377.6160806,373.3892016,353.8562513,355.8908327,362.0166433
Australia,1.A.2.g.viii  Other,356.3191264,356.3191264,340.8955509,301.0483999,285.6248244,275.3424407,253.8988652,238.4752897,223.0517142,201.6081387,186.1845632,170.7609877,149.8971531,149.3174122,231.9781449,236.2528811,235.0120833,205.3111119,207.3279155,215.0461955,222.0645563,232.0135431,247.6221076,251.1689187,226.6329616,215.1260557,201.3545909,203.2298955,199.5599193
Australia,1.A.3  Transport,59821.59518,59821.59518,59163.84901,60087.5808,61562.17588,62998.05703,66231.55254,68032.39766,69277.17517,69393.71305,70156.59713,71712.10569,71659.43565,73057.24836,75417.27574,78428.10687,79580.56756,80926.38254,83322.10164,84461.15729,84905.51548,86460.48622,89146.8353,89744.0609,90035.71858,91233.09296,93259.15157,94417.54599,96840.97738
Australia,1.A.3.a  Domestic Aviation,2614.888195,2614.888195,3246.650524,3521.271192,3693.008992,3915.53718,4614.032589,5064.617831,5405.29301,4903.11388,4747.669276,4935.917615,5482.631895,4929.317787,4708.616934,4930.306511,5360.229546,5638.016552,6112.76251,6620.285557,6653.222737,6766.94873,7591.195858,7925.933891,8410.906275,8505.110206,8532.879839,8734.254139,8735.672625
Australia,1.A.3.b  Road Transportation,52645.00913,52645.00913,51681.57356,52321.94337,53797.11872,55141.78992,57221.67549,58449.37562,59341.52088,60305.32705,61457.15846,62690.2078,62150.46552,63937.19914,66406.53622,68893.17733,69317.7701,70485.49855,71554.2789,72462.37267,73091.49408,74403.15382,76376.89255,76876.63095,76676.96941,77800.32471,79457.74118,80373.15934,82151.13105
