Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 43 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 3 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: NH₃ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,5.  Waste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Austria,1.  Energy,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Austria,2.  Industrial Processes and Product Use,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Austria,5.  Waste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belgium,1.  Energy,2.061257265,2.061257265,2.504641445,2.984443064,3.089023446,3.366911769,3.584914173,3.824722243,3.61008063,3.675651703,4.293936482,3.955097549,3.929999806,3.684436565,3.756313395,3.584498362,3.42694089,3.311807417,3.196266359,3.069903466,2.979853679,3.155043911,2.578925639,2.682741532,2.78929417,2.236166174,2.458843704,2.69992618,2.605463052
Belgium,2.  Industrial Processes and Product Use,2.361994942,2.361994942,2.271067835,2.269942067,2.548454475,1.932528639,1.694173015,1.623454668,1.669570538,1.379682878,1.435533224,1.610265505,1.451610057,1.455643467,1.666352084,1.874639545,1.722917716,1.905542606,2.038145466,1.749013405,1.396179275,1.511504556,2.196546268,1.727528642,1.882376307,1.53026095,1.635702214,1.702468354,1.671776408
Belgium,5.  Waste,0.000006861,0.000006861,0.000006861,0.000006861,0.000006861,0.000004575,0.000015621,0.004460243,0.047701768,0.048040246,0.05114,0.06378,0.06021,0.0666604,0.08692376,0.11950712,0.10322088,0.1139476,0.12162704,0.11759548,0.19681824,0.19199288,0.213366,0.19320856,0.15604512,0.143824,0.1655346,0.14576352,0.14928799
Belgium,6.  Other,117.7376777,117.7376777,115.9008687,116.1588992,118.3961728,118.513922,122.3592093,123.9786344,122.9482823,123.4640125,123.1936029,86.08315496,82.25393483,79.7125827,75.98392905,71.00933756,69.98999125,69.33142827,65.28334555,65.59232742,66.72850479,65.76644344,65.00409961,65.45405428,66.04819115,64.42275794,63.99369191,63.01285756,62.32250756
Bulgaria,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bulgaria,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bulgaria,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bulgaria,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Canada,2.  Industrial Processes and Product Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Canada,5.  Waste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Canada,6.  Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,1.  Energy,3.411335238,3.411335238,3.885958845,3.379324554,3.612634573,3.25805776,3.456039159,3.83169948,3.631563741,3.743477037,3.748306603,3.518300614,3.74991268,3.647310513,4.139435514,4.086465428,4.290397232,3.919785036,3.920524416,3.745177541,3.837152067,3.876825804,3.639428008,3.560009674,3.356753782,2.864738049,3.087687819,2.877919823,2.877919823
Croatia,2.  Industrial Processes and Product Use,3.5368291,3.5368291,3.52189222,4.53118418,3.14306028,3.4927053,3.57420231,3.57297831,3.62535586,4.05811957,2.92592089,3.39362922,2.63242367,2.78212051,3.481841784,4.42564869,3.610634973,2.43027903,2.560552908,2.053544878,1.519894744,2.501954726,2.529004129,2.707442479,1.849549504,1.499817824,2.486007146,2.179366282,2.645844532
Croatia,5.  Waste,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,0.002632,0.002568,0.002158,0.002329,0.002423,0.004486,0.006844,0.006863,0.014786,0.006585,0.006585
Croatia,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cyprus,1.  Energy,0.0679,0.0679,0.0752,0.0898,0.0981,0.1048,0.1157,0.1237,0.1355,0.1501,0.1652,0.1811,0.1938,0.203,0.2324,0.232,0.3001,0.2985,0.3067,0.3032,0.3002,0.2941,0.2765,0.2532,0.2272,0.2124,0.2147,,
Cyprus,2.  Industrial Processes and Product Use,0.0163,0.0163,0.0163,0.0177,0.0052,0.0052,0.0144,0.0153,0.017,0.0173,0.0241,0.0448,0.0141,0.0133,0.0097,0.0142,0.0124,0.0075,0.0078,0.0076,0.0084,0.009,0.0073,0.008,0.0063,0.0025,57,,
Cyprus,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0063144,0.0115008,0.0138648,0.011856,0.0155664,0.0187128,,
Czechia,1.  Energy,4.59583625,4.59583625,4.336251508,3.658349895,3.413595034,3.180349157,3.204712643,3.241715638,3.51945508,3.706562784,4.104836054,4.165698468,4.278525764,4.352947628,4.521000404,4.498151239,4.588924943,4.768504359,5.128206568,5.199790891,5.428842355,5.474422635,5.523536405,5.632571457,5.721984868,5.747875866,5.782124761,5.80894966,5.936860959
Czechia,2.  Industrial Processes and Product Use,1.129001869,1.129001869,0.897187125,5.914240371,5.657344736,5.562555681,2.626819077,1.041104759,1.162128732,0.876682789,0.567621183,0.564347674,0.446286664,0.482366531,0.495322127,0.39531591,0.422084586,0.397611447,0.324512174,0.444491303,0.319903439,0.274516052,0.309835261,0.297114847,0.23250404,0.21929926,0.228517871,0.292172657,0.195154128
Czechia,5.  Waste,"NE,NO","NE,NO","NE,NO","NE,NO","NE,NO",0.000006,"NE,NO",2.00E-07,0.00024572,0.00017271,0.000006,0.000089,0.00004046,0.00092044,0.000701,0.000019547,0.084821958,0.069320576,0.09493523,0.131138277,0.085583566,0.122170874,0.089887664,0.093420364,0.108590417,0.124903921,0.15019791,0.213437761,0.215742997
Czechia,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Denmark,1.  Energy,1.491437112,1.491437112,1.671194021,1.875190708,2.091680546,2.26278587,2.487332562,2.746860783,3.108752373,3.358255113,3.610785991,3.922660746,4.008719891,3.99997272,4.135909342,4.191100801,4.232954062,4.253492522,4.499048998,4.298625513,4.078902383,4.002744537,3.70626732,3.401900357,3.247098365,3.017796408,3.240960424,3.143619319,3.105735231
Denmark,2.  Industrial Processes and Product Use,0.67690919,0.67690919,0.69710933,0.711705691,0.727520869,0.765475699,0.735259895,0.66893406,0.705494453,0.687617116,0.700132297,0.626735161,0.636603658,0.605904135,0.614412262,0.70337763,0.642450519,0.656380854,0.671058521,0.554673273,0.584330266,0.509843789,0.394580375,0.42428377,0.367358964,0.381320046,0.468822385,0.331086776,0.325585613
Denmark,5.  Waste,0.206788953,0.206788953,0.22857781,0.250312077,0.272073439,0.293794452,0.273354978,0.322810117,0.375520509,0.405342818,0.485770078,0.539925643,0.5080371,0.5895111,0.60707006,0.494084138,0.528051319,0.564512624,0.633432045,0.58156513,0.625772849,0.606607483,0.586796117,0.561692534,0.600689936,0.593193983,0.635399721,0.655130972,0.680126549
Denmark,6.  Other,"NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO"
Estonia,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
