Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 116 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: NOₓ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,1555.219046,1555.219046,1531.970879,1576.916148,1615.880901,1609.258146,1652.905467,1670.19478,1717.070752,1759.470054,1785.786491,1820.93413,1881.529623,1961.186542,2052.077525,2086.741625,2135.274633,2138.860758,2172.362843,2222.853923,2196.469372,2310.15454,2216.256909,2375.891545,2473.384216,2496.110252,2513.753912,2570.984182,2627.537194
Australia,1.AA  Fuel Combustion - Sectoral approach,1551.096492,1551.096492,1528.125907,1573.012897,1612.186347,1605.89516,1649.38287,1666.865484,1714.151089,1755.78405,1783.047435,1817.77195,1878.244239,1958.299142,2049.548958,2084.166521,2132.849952,2136.360326,2169.547097,2219.99937,2194.866548,2308.426265,2214.857335,2374.066649,2471.570523,2494.367178,2511.15746,2566.970322,2622.801922
Australia,1.A.1  Energy Industries,497.224136,497.224136,500.4488285,509.5319269,532.4849704,508.3539481,515.2650691,507.4021815,528.9896516,587.2870178,616.1562672,651.9590568,679.4231819,719.6953325,798.0803662,830.1922878,878.7821748,913.9187147,925.8990817,936.0588699,963.0191285,1066.489454,933.52116,1017.496843,1039.407886,1053.590831,1070.724869,1123.659045,1150.603014
Australia,1.A.1.a  Public Electricity and Heat Production,398.3796604,398.3796604,394.5290669,400.6358875,418.6562163,397.5375598,402.3557629,395.3750851,403.1956698,454.8124595,476.9129342,512.1506222,539.5420321,576.0239722,555.312817,561.7041468,566.5609999,615.5602223,647.4056432,654.1310896,667.6283614,755.239979,585.1302212,610.5765345,579.2446354,587.6960755,633.6606949,684.8188564,674.7867141
Australia,1.A.1.b  Petroleum Refining,31.41122767,31.41122767,32.31027807,31.93405276,33.75987052,34.6974482,34.98105642,34.96442856,33.45206042,32.96218377,38.89407097,37.14801226,38.16646645,38.04277074,37.88569083,35.41153626,35.64209327,33.04345798,34.74939513,33.42877015,32.9012697,32.34986989,35.21190914,34.6333031,32.8462375,29.73108908,25.65157592,17.96647795,20.46153803
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,67.43324791,67.43324791,73.60948349,76.96198666,80.06888362,76.11894007,77.92824979,77.06266779,92.34192135,99.51237455,100.349262,102.6604223,101.7146833,105.6285896,204.8818583,233.0766048,276.5790816,265.3150344,243.7440434,248.4990101,262.4894974,278.8996049,313.1790296,372.2870054,427.3170133,436.1636669,411.4125978,420.8737111,455.3547616
Australia,1.A.2  Manufacturing Industries and Construction,489.650287,489.650287,473.2468221,467.0235781,475.039176,484.8382927,492.0221316,505.2582594,519.9793741,515.6051541,521.1114146,521.9020227,523.6955786,554.9537539,537.0232766,536.741746,546.0118179,530.1413178,553.9822628,591.6120722,571.5983788,576.3030707,613.5225998,691.9622488,766.0143203,764.3101227,735.4218573,711.6954972,716.217832
Australia,1.A.2.a  Iron and Steel,29.85040067,29.85040067,28.10693227,27.29879457,27.59360757,30.93397453,32.60513512,33.48341966,31.79650388,31.71810068,30.34913369,28.52961587,27.83199805,28.9986721,24.6109429,26.67733063,28.78980937,27.14115092,27.41322183,29.22625579,22.10601984,22.59894893,18.71754843,20.46404049,16.63913984,17.36629113,17.63750224,17.46058476,18.32937367
Australia,1.A.2.b  Non-Ferrous Metals,67.14398649,67.14398649,72.82151096,74.01415918,76.20821311,77.47487095,75.86193318,78.95041196,76.73248641,75.83095959,79.55770422,83.78449268,81.69293527,82.65019757,90.27502956,91.32987705,97.12004428,97.85863507,104.5300096,116.4586405,98.75131822,89.26696801,87.76196499,98.48566198,103.9405211,105.5586661,86.51147314,79.96096418,78.25017536
