Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 28 other(s) | Category: 1.  Energy and 85 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: SO₂ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Last Inventory Year (2017)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,560.3820583,560.3820583,559.7798035,554.7615913,557.5075605,552.8437094,576.6625115,594.5072463,630.6410801,625.632632,637.9692028,677.0796725,699.4147146,730.0429472,773.9972703,759.3080836,744.3085744,786.8913062,763.8698398,793.5027041,779.771416,761.2240811,733.8910374,727.6498677,700.6013432,679.9968463,662.5243705,644.2023959,640.7915633
Australia,1.AA  Fuel Combustion - Sectoral approach,560.3820583,560.3820583,559.7798035,554.7615913,557.5075605,552.8437094,576.6625115,594.5072463,630.6410801,625.632632,637.9692028,677.0796725,699.4147146,730.0429472,773.9972703,759.3080836,744.3085744,786.8913062,763.8698398,793.5027041,779.771416,761.2240811,733.8910374,727.6498677,700.6013432,679.9968463,662.5243705,644.2023959,640.7915633
Australia,1.A.1  Energy Industries,408.5529987,408.5529987,421.2290948,419.7672753,427.8686931,425.1402037,441.1272057,460.7765705,495.2528214,496.9940752,510.427532,538.0426323,572.1490394,599.7383677,646.3830627,628.7501248,608.8197599,652.5123108,630.5818048,654.9967905,649.0723546,630.1303296,608.8919302,601.6567084,575.9907397,559.789066,559.9167861,546.464783,541.9239908
Australia,1.A.1.a  Public Electricity and Heat Production,391.6118737,391.6118737,401.5874223,399.4093101,407.6988184,409.0550212,426.545508,449.6973319,478.4121286,482.7243372,494.9151826,525.4406981,560.1300251,587.0030303,630.5927443,613.391228,594.1626796,636.7878918,613.7411469,638.2898959,631.3943805,610.0803832,587.0258739,582.1497579,554.9429039,540.1008085,542.8002926,529.7328315,525.3050681
Australia,1.A.1.b  Petroleum Refining,4.358308421,4.358308421,4.589865965,4.481791228,4.782802105,4.979404211,5.144209298,4.911665789,4.54067193,4.798726667,5.333087018,4.607787018,5.240387834,5.26755998,4.530785695,4.051388366,3.758224054,3.245749343,3.650885287,3.500830116,8.744762819,9.072999385,9.792586109,7.396477036,7.737720042,7.169199036,6.429927539,5.615417265,5.357519995
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,12.58281652,12.58281652,15.05180653,15.87617401,15.38707254,11.10577827,9.437488462,6.167572821,12.30002083,9.471011379,10.17926241,7.994147215,6.778626448,7.467777361,11.25953267,11.30750838,10.89885625,12.47866967,13.18977267,13.20606443,8.93321134,10.97694693,12.07347014,12.11047343,13.31011576,12.51905853,10.68656593,11.11653433,11.2614027
Australia,1.A.2  Manufacturing Industries and Construction,108.1075226,108.1075226,99.56859709,96.73279289,94.32238109,95.16063805,96.50716326,93.71629393,95.93640263,93.38830765,95.79069821,105.0132003,94.06160413,97.21904042,93.66600685,95.24055313,99.69841839,99.30553448,95.51821502,103.6066418,95.17247388,95.4649499,89.76734484,91.81069728,93.75393617,88.27623526,69.90607862,64.203404,64.31955226
Australia,1.A.2.a  Iron and Steel,11.91378279,11.91378279,11.8230443,11.91834443,11.28330618,11.79948417,12.43785268,12.21775656,11.23291828,11.32519141,11.23374179,10.42710641,9.690274763,10.97197146,10.48822839,12.05126802,12.869968,11.39884005,10.69442008,11.96552186,10.59860033,12.1383123,9.545272437,10.88105435,8.211229964,7.405102863,7.38799364,7.130343411,8.448339888
Australia,1.A.2.b  Non-Ferrous Metals,61.76698166,61.76698166,54.97742233,53.68252673,52.05107357,51.951438,50.94459027,49.53728125,53.45055133,52.39646071,53.31276109,63.65559462,53.23876165,53.73471624,52.83755227,52.68363616,54.30526062,56.06341098,54.03940593,59.68065833,51.20573885,52.88599071,48.93094277,50.04712397,51.20189771,46.73525241,30.48802728,26.86846133,25.43451554
